,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:35:49.356000,44,,1,0 days 00:00:03.172000,,,0 days 00:00:43.946000,0 days 00:01:10.942000,,0 days 00:34:38.414000,0 days 00:35:49.417000,290,269,198,301,FALSE,ULTRASOFT,4,FALSE,1,0 days 00:33:34.462000,Mercedes,HAM,24,FALSE,13:34.5,32.1,39.6,1012.7,FALSE,34.3,302,0.9,21
1,0 days 00:38:37.707000,44,,2,,,0 days 00:00:30.577000,0 days 00:01:14.377000,0 days 00:01:03.343000,0 days 00:36:20.066000,0 days 00:37:34.364000,0 days 00:38:37.713000,245,173,152,173,FALSE,ULTRASOFT,5,FALSE,1,0 days 00:35:49.356000,Mercedes,HAM,4,FALSE,15:49.4,32.3,38.7,1012.8,FALSE,34.1,272,0.7,21
2,0 days 00:41:13.672000,44,,3,,,0 days 00:00:27.777000,0 days 00:01:04.853000,0 days 00:01:03.421000,0 days 00:39:05.580000,0 days 00:40:10.251000,0 days 00:41:13.966000,130,182,184,128,FALSE,ULTRASOFT,6,FALSE,1,0 days 00:38:37.707000,Mercedes,HAM,4,FALSE,18:37.8,32.5,38.2,1012.7,FALSE,34.7,225,1.5,21
3,0 days 00:43:57.920000,44,,4,,,0 days 00:00:34.198000,0 days 00:01:04.705000,0 days 00:01:05.335000,0 days 00:41:47.946000,0 days 00:42:52.671000,0 days 00:43:58.112000,88,164,216,202,FALSE,ULTRASOFT,7,FALSE,1,0 days 00:41:13.672000,Mercedes,HAM,4,FALSE,21:13.7,32.5,37.5,1012.7,FALSE,34.6,268,1.1,21
4,0 days 00:45:41.902000,44,0 days 00:01:43.982000,5,,,0 days 00:00:17.898000,0 days 00:00:44.206000,0 days 00:00:41.878000,0 days 00:44:15.818000,0 days 00:45:00.024000,0 days 00:45:41.902000,285,271,216,289,FALSE,ULTRASOFT,8,FALSE,1,0 days 00:43:57.920000,Mercedes,HAM,1,FALSE,23:58.0,32.6,37.7,1012.8,FALSE,34.6,267,0.8,21
5,0 days 00:47:26.588000,44,0 days 00:01:44.686000,6,,,0 days 00:00:18.471000,0 days 00:00:44.435000,0 days 00:00:41.780000,0 days 00:46:00.373000,0 days 00:46:44.808000,0 days 00:47:26.588000,272,278,216,292,FALSE,ULTRASOFT,9,FALSE,1,0 days 00:45:41.902000,Mercedes,HAM,1,TRUE,25:42.0,32.7,37.5,1012.8,FALSE,34.6,0,1.3,21
6,0 days 00:49:34.972000,44,0 days 00:02:08.384000,7,,0 days 00:49:33.868000,0 days 00:00:18.497000,0 days 00:00:54.519000,0 days 00:00:55.368000,0 days 00:47:45.085000,0 days 00:48:39.604000,0 days 00:49:34.972000,273,206,,172,FALSE,ULTRASOFT,10,FALSE,1,0 days 00:47:26.588000,Mercedes,HAM,26,FALSE,27:26.7,32.7,37.2,1012.8,FALSE,34.3,272,1.5,21
7,0 days 00:52:02.434000,44,0 days 00:02:27.462000,8,0 days 00:49:55.147000,,0 days 00:00:43.511000,0 days 00:00:56.998000,0 days 00:00:46.953000,0 days 00:50:18.483000,0 days 00:51:15.481000,0 days 00:52:02.434000,127,214,217,231,FALSE,SUPERSOFT,1,TRUE,2,0 days 00:49:34.972000,Mercedes,HAM,67,FALSE,29:35.0,33,36.5,1013,FALSE,34.4,274,1.6,21
8,0 days 00:53:47.329000,44,0 days 00:01:44.895000,9,,,0 days 00:00:17.783000,0 days 00:00:43.585000,0 days 00:00:43.527000,0 days 00:52:20.217000,0 days 00:53:03.802000,0 days 00:53:47.329000,292,293,211,323,FALSE,SUPERSOFT,2,TRUE,2,0 days 00:52:02.434000,Mercedes,HAM,1,TRUE,32:02.5,33.1,36.6,1013,FALSE,34.4,265,0.9,21
9,0 days 00:55:32.473000,44,0 days 00:01:45.144000,10,,,0 days 00:00:18.323000,0 days 00:00:44.579000,0 days 00:00:42.242000,0 days 00:54:05.652000,0 days 00:54:50.231000,0 days 00:55:32.473000,273,280,214,296,FALSE,SUPERSOFT,3,TRUE,2,0 days 00:53:47.329000,Mercedes,HAM,1,TRUE,33:47.4,33.1,36.7,1012.9,FALSE,34.1,0,1,21
