,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:10:12.379000,44,,1,0 days 00:00:04.180000,,,0 days 00:01:04.609000,0 days 00:00:42.450000,,0 days 00:09:29.929000,0 days 00:10:12.448000,179,141,169,189,FALSE,,,,,0 days 00:07:42.253000,Mercedes,HAM,24,FALSE,13:42.3,17.1,46.6,1021.8,FALSE,27.7,92,3,3
1,0 days 00:13:21.027000,44,,2,,,0 days 00:01:15.079000,0 days 00:01:02.616000,0 days 00:00:50.914000,0 days 00:11:27.597000,0 days 00:12:30.113000,0 days 00:13:21.071000,124,149,200,158,FALSE,SUPERSOFT,6,FALSE,1,0 days 00:10:12.379000,Mercedes,HAM,4,FALSE,16:12.5,17,46.5,1021.5,FALSE,28,62,3.2,3
2,0 days 00:15:54.456000,44,,3,,,0 days 00:00:55.886000,0 days 00:01:03.323000,0 days 00:00:34.157000,0 days 00:14:17.120000,0 days 00:15:20.299000,0 days 00:15:54.671000,109,133,259,258,FALSE,SUPERSOFT,7,FALSE,1,0 days 00:13:21.027000,Mercedes,HAM,4,FALSE,19:21.1,16.9,47.1,1021.7,FALSE,27.7,275,1.9,3
3,0 days 00:18:29.126000,44,,4,,,0 days 00:00:56.593000,0 days 00:01:01.167000,0 days 00:00:36.908000,0 days 00:16:51.055000,0 days 00:17:52.218000,0 days 00:18:29.192000,138,139,244,218,FALSE,SUPERSOFT,8,FALSE,1,0 days 00:15:54.456000,Mercedes,HAM,4,FALSE,21:54.5,16.7,47.8,1021.6,FALSE,27.5,46,1.9,3
4,0 days 00:21:30.975000,44,,5,,,0 days 00:00:53.581000,0 days 00:01:05.503000,0 days 00:01:02.857000,0 days 00:19:22.794000,0 days 00:20:28.256000,0 days 00:21:31.145000,123,101,288,86,FALSE,SUPERSOFT,9,FALSE,1,0 days 00:18:29.126000,Mercedes,HAM,4,FALSE,24:29.2,16.9,47.5,1021.8,FALSE,27.5,87,2.3,3
5,0 days 00:23:24.436000,44,0 days 00:01:53.461000,6,,,0 days 00:00:41.255000,0 days 00:00:45.554000,0 days 00:00:26.652000,0 days 00:22:12.230000,0 days 00:22:57.784000,0 days 00:23:24.436000,180,203,307,305,FALSE,SUPERSOFT,10,FALSE,1,0 days 00:21:30.975000,Mercedes,HAM,1,FALSE,27:31.1,16.8,47.1,1021.6,FALSE,27.1,69,2.9,3
6,0 days 00:25:14.298000,44,0 days 00:01:49.862000,7,,,0 days 00:00:39.190000,0 days 00:00:44.398000,0 days 00:00:26.274000,0 days 00:24:03.626000,0 days 00:24:48.024000,0 days 00:25:14.298000,193,205,305,307,FALSE,SUPERSOFT,11,FALSE,1,0 days 00:23:24.436000,Mercedes,HAM,1,TRUE,29:24.5,16.9,46.7,1021.8,FALSE,26.9,68,2.7,3
7,0 days 00:27:02.674000,44,0 days 00:01:48.376000,8,,,0 days 00:00:38.250000,0 days 00:00:43.920000,0 days 00:00:26.206000,0 days 00:25:52.548000,0 days 00:26:36.468000,0 days 00:27:02.674000,198,201,310,310,FALSE,SUPERSOFT,12,FALSE,1,0 days 00:25:14.298000,Mercedes,HAM,1,TRUE,31:14.4,16.6,47.5,1021.8,FALSE,26.8,286,1.7,3
8,0 days 00:28:50.488000,44,0 days 00:01:47.814000,9,,,0 days 00:00:37.999000,0 days 00:00:43.559000,0 days 00:00:26.256000,0 days 00:27:40.673000,0 days 00:28:24.232000,0 days 00:28:50.488000,211,203,309,309,FALSE,SUPERSOFT,13,FALSE,1,0 days 00:27:02.674000,Mercedes,HAM,1,TRUE,33:02.8,16.5,47.2,1021.5,FALSE,26.7,228,2.2,3
9,0 days 00:30:37.680000,44,0 days 00:01:47.192000,10,,,0 days 00:00:37.598000,0 days 00:00:43.366000,0 days 00:00:26.228000,0 days 00:29:28.086000,0 days 00:30:11.452000,0 days 00:30:37.680000,190,208,306,308,FALSE,SUPERSOFT,14,FALSE,1,0 days 00:28:50.488000,Mercedes,HAM,2,TRUE,34:50.6,16.8,47.1,1021.7,FALSE,26.5,74,2,3
10,0 days 00:32:24.733000,44,0 days 00:01:47.053000,11,,,0 days 00:00:37.794000,0 days 00:00:43.229000,0 days 00:00:26.030000,0 days 00:31:15.474000,0 days 00:31:58.703000,0 days 00:32:24.733000,199,213,310,309,FALSE,SUPERSOFT,15,FALSE,1,0 days 00:30:37.680000,Mercedes,HAM,2,TRUE,36:37.8,16.8,47.1,1021.8,FALSE,26.4,80,2.2,3
11,0 days 00:34:12.722000,44,0 days 00:01:47.989000,12,,,0 days 00:00:37.825000,0 days 00:00:44.147000,0 days 00:00:26.017000,0 days 00:33:02.558000,0 days 00:33:46.705000,0 days 00:34:12.722000,189,215,308,308,FALSE,SUPERSOFT,16,FALSE,1,0 days 00:32:24.733000,Mercedes,HAM,1,TRUE,38:24.8,16.8,46.8,1021.7,FALSE,26.3,314,2.5,3
12,0 days 00:35:59.736000,44,0 days 00:01:47.014000,13,,,0 days 00:00:37.812000,0 days 00:00:43.099000,0 days 00:00:26.103000,0 days 00:34:50.534000,0 days 00:35:33.633000,0 days 00:35:59.736000,192,213,311,308,FALSE,SUPERSOFT,17,FALSE,1,0 days 00:34:12.722000,Mercedes,HAM,1,TRUE,40:12.8,16.7,46.9,1021.7,FALSE,26.1,53,3.2,3
13,0 days 00:37:47.160000,44,0 days 00:01:47.424000,14,,,0 days 00:00:37.654000,0 days 00:00:43.733000,0 days 00:00:26.037000,0 days 00:36:37.390000,0 days 00:37:21.123000,0 days 00:37:47.160000,202,214,310,308,FALSE,SUPERSOFT,18,FALSE,1,0 days 00:35:59.736000,Mercedes,HAM,1,TRUE,41:59.8,16.6,47.3,1021.9,FALSE,26,71,1.1,3
14,0 days 00:39:34.970000,44,0 days 00:01:47.810000,15,,,0 days 00:00:37.682000,0 days 00:00:43.016000,0 days 00:00:27.112000,0 days 00:38:24.842000,0 days 00:39:07.858000,0 days 00:39:34.970000,195,219,311,309,FALSE,SUPERSOFT,19,FALSE,1,0 days 00:37:47.160000,Mercedes,HAM,2,TRUE,43:47.2,16.6,47.5,1021.8,FALSE,25.7,27,2,3
15,0 days 00:41:22.023000,44,0 days 00:01:47.053000,16,,,0 days 00:00:37.608000,0 days 00:00:42.965000,0 days 00:00:26.480000,0 days 00:40:12.578000,0 days 00:40:55.543000,0 days 00:41:22.023000,203,215,310,309,FALSE,SUPERSOFT,20,FALSE,1,0 days 00:39:34.970000,Mercedes,HAM,1,TRUE,45:35.0,16.7,47.4,1021.7,FALSE,25.7,76,2.8,3
16,0 days 00:43:09.040000,44,0 days 00:01:47.017000,17,,,0 days 00:00:37.660000,0 days 00:00:43.155000,0 days 00:00:26.202000,0 days 00:41:59.683000,0 days 00:42:42.838000,0 days 00:43:09.040000,,208,306,310,FALSE,SUPERSOFT,21,FALSE,1,0 days 00:41:22.023000,Mercedes,HAM,1,TRUE,47:22.1,16.7,46.8,1021.9,FALSE,25.7,137,3.9,3
17,0 days 00:44:55.637000,44,0 days 00:01:46.597000,18,,,0 days 00:00:37.677000,0 days 00:00:42.914000,0 days 00:00:26.006000,0 days 00:43:46.717000,0 days 00:44:29.631000,0 days 00:44:55.637000,201,213,311,310,FALSE,SUPERSOFT,22,FALSE,1,0 days 00:43:09.040000,Mercedes,HAM,2,TRUE,49:09.1,16.5,47.5,1021.8,FALSE,25.5,45,3.5,3
18,0 days 00:46:41.968000,44,0 days 00:01:46.331000,19,,,0 days 00:00:37.460000,0 days 00:00:42.831000,0 days 00:00:26.040000,0 days 00:45:33.097000,0 days 00:46:15.928000,0 days 00:46:41.968000,202,212,306,309,FALSE,SUPERSOFT,23,FALSE,1,0 days 00:44:55.637000,Mercedes,HAM,1,TRUE,50:55.7,16.4,47.5,1021.9,FALSE,25.4,62,2,3
19,0 days 00:48:28.088000,44,0 days 00:01:46.120000,20,,,0 days 00:00:37.383000,0 days 00:00:42.815000,0 days 00:00:25.922000,0 days 00:47:19.351000,0 days 00:48:02.166000,0 days 00:48:28.088000,,211,313,310,FALSE,SUPERSOFT,24,FALSE,1,0 days 00:46:41.968000,Mercedes,HAM,1,TRUE,52:42.0,16.5,47.5,1021.9,FALSE,25.3,71,1.6,3
20,0 days 00:50:14.403000,44,0 days 00:01:46.315000,21,,,0 days 00:00:37.385000,0 days 00:00:43.051000,0 days 00:00:25.879000,0 days 00:49:05.473000,0 days 00:49:48.524000,0 days 00:50:14.403000,195,218,304,309,FALSE,SUPERSOFT,25,FALSE,1,0 days 00:48:28.088000,Mercedes,HAM,2,TRUE,54:28.2,16.5,47.1,1022,FALSE,25.3,25,2.7,3
21,0 days 00:52:09.574000,44,0 days 00:01:55.171000,22,,0 days 00:52:08.205000,0 days 00:00:40.878000,0 days 00:00:43.704000,0 days 00:00:30.589000,0 days 00:50:55.281000,0 days 00:51:38.985000,0 days 00:52:09.574000,184,211,,309,FALSE,SUPERSOFT,26,FALSE,1,0 days 00:50:14.403000,Mercedes,HAM,1,FALSE,56:14.5,16.5,47.1,1022,FALSE,25.1,274,2.9,3
22,0 days 00:54:13.789000,44,0 days 00:02:04.215000,23,0 days 00:52:28.551000,,0 days 00:00:54.274000,0 days 00:00:43.853000,0 days 00:00:26.088000,0 days 00:53:03.848000,0 days 00:53:47.701000,0 days 00:54:13.789000,195,206,300,309,FALSE,SOFT,1,TRUE,2,0 days 00:52:09.574000,Mercedes,HAM,1,FALSE,58:09.7,16.4,46.9,1022.1,FALSE,25.1,96,2,3
