,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:21:03.948000,5,,1,0 days 00:00:05.934000,0 days 00:21:00.165000,,0 days 00:01:09.227000,0 days 00:00:46.208000,,0 days 00:20:17.740000,0 days 00:21:04.132000,315,145,,306,FALSE,,,,,0 days 00:18:34.162000,Ferrari,VET,24,FALSE,13:34.2,17.3,38.7,967.1,FALSE,29.7,161,2.3,5
1,0 days 00:24:03.979000,5,,2,0 days 00:21:19.726000,,0 days 00:00:59.569000,0 days 00:01:15.386000,0 days 00:00:45.096000,0 days 00:22:03.497000,0 days 00:23:18.972000,0 days 00:24:04.100000,204,132,157,167,FALSE,,,,,0 days 00:21:03.948000,Ferrari,VET,4,FALSE,16:04.0,17.3,38.1,967.1,FALSE,29.7,140,3.3,5
2,0 days 00:26:55.038000,5,,3,,,0 days 00:00:53.832000,0 days 00:01:14.346000,0 days 00:00:42.881000,0 days 00:24:57.887000,0 days 00:26:12.157000,0 days 00:26:55.162000,,161,152,222,FALSE,SUPERSOFT,5,FALSE,2,0 days 00:24:03.979000,Ferrari,VET,4,FALSE,19:04.0,17.7,38.1,967,FALSE,30.3,174,1.7,5
3,0 days 00:29:56.542000,5,,4,,,0 days 00:00:50.630000,0 days 00:01:13.585000,0 days 00:00:57.284000,0 days 00:27:45.728000,0 days 00:28:59.322000,0 days 00:29:56.734000,201,96,224,182,FALSE,SUPERSOFT,6,FALSE,2,0 days 00:26:55.038000,Ferrari,VET,4,FALSE,21:55.1,18.3,36.2,967.1,FALSE,29.9,171,3,5
4,0 days 00:31:45.198000,5,0 days 00:01:48.656000,5,,,0 days 00:00:31.560000,0 days 00:00:47.948000,0 days 00:00:29.148000,0 days 00:30:28.102000,0 days 00:31:16.050000,0 days 00:31:45.198000,311,203,220,303,FALSE,SUPERSOFT,7,FALSE,2,0 days 00:29:56.542000,Ferrari,VET,1,FALSE,24:56.6,17.7,35.5,967,FALSE,29.3,175,2.9,5
5,0 days 00:33:34.121000,5,0 days 00:01:48.923000,6,,,0 days 00:00:31.706000,0 days 00:00:47.823000,0 days 00:00:29.394000,0 days 00:32:16.904000,0 days 00:33:04.727000,0 days 00:33:34.121000,309,199,219,304,FALSE,SUPERSOFT,8,FALSE,2,0 days 00:31:45.198000,Ferrari,VET,1,TRUE,26:45.2,17.6,35.3,967,FALSE,29.1,156,2.6,5
6,0 days 00:35:22.816000,5,0 days 00:01:48.695000,7,,,0 days 00:00:31.747000,0 days 00:00:47.660000,0 days 00:00:29.288000,0 days 00:34:05.868000,0 days 00:34:53.528000,0 days 00:35:22.816000,308,199,218,,FALSE,SUPERSOFT,9,FALSE,2,0 days 00:33:34.121000,Ferrari,VET,1,TRUE,28:34.1,17.3,34.5,967,FALSE,28.9,155,2.8,5
7,0 days 00:37:11.462000,5,0 days 00:01:48.646000,8,,,0 days 00:00:31.609000,0 days 00:00:47.746000,0 days 00:00:29.291000,0 days 00:35:54.425000,0 days 00:36:42.171000,0 days 00:37:11.462000,309,200,218,,FALSE,SUPERSOFT,10,FALSE,2,0 days 00:35:22.816000,Ferrari,VET,1,TRUE,30:22.8,17.4,35,967.1,FALSE,28.8,156,2.8,5
8,0 days 00:39:00.508000,5,0 days 00:01:49.046000,9,,,0 days 00:00:31.690000,0 days 00:00:47.915000,0 days 00:00:29.441000,0 days 00:37:43.152000,0 days 00:38:31.067000,0 days 00:39:00.508000,,200,217,306,FALSE,SUPERSOFT,11,FALSE,2,0 days 00:37:11.462000,Ferrari,VET,1,TRUE,32:11.5,17.2,35.4,966.8,FALSE,28.4,156,0.9,5
9,0 days 00:40:49.257000,5,0 days 00:01:48.749000,10,,,0 days 00:00:31.662000,0 days 00:00:47.794000,0 days 00:00:29.293000,0 days 00:39:32.170000,0 days 00:40:19.964000,0 days 00:40:49.257000,311,198,218,307,FALSE,SUPERSOFT,12,FALSE,2,0 days 00:39:00.508000,Ferrari,VET,1,TRUE,34:00.5,17,37.6,966.9,FALSE,28.3,177,2.3,5
