,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:34:41.418000,44,,1,0 days 00:00:01.348000,,,0 days 00:00:37.964000,0 days 00:00:16.858000,,0 days 00:34:24.585000,0 days 00:34:41.490000,307,252,295,214,FALSE,SUPERSOFT,4,FALSE,1,0 days 00:33:23.305000,Mercedes,HAM,1,FALSE,13:23.4,24.7,70.6,924.2,FALSE,41.2,202,2.4,6
1,0 days 00:35:56.189000,44,0 days 00:01:14.771000,2,,,0 days 00:00:19.357000,0 days 00:00:38.576000,0 days 00:00:16.838000,0 days 00:35:00.775000,0 days 00:35:39.351000,0 days 00:35:56.189000,303,242,306,273,FALSE,SUPERSOFT,5,FALSE,1,0 days 00:34:41.418000,Mercedes,HAM,1,TRUE,14:41.5,24.5,71.5,924.1,FALSE,40,0,1.9,6
2,0 days 00:37:10.176000,44,0 days 00:01:13.987000,3,,,0 days 00:00:19.319000,0 days 00:00:37.823000,0 days 00:00:16.845000,0 days 00:36:15.508000,0 days 00:36:53.331000,0 days 00:37:10.176000,307,255,306,276,FALSE,SUPERSOFT,6,FALSE,1,0 days 00:35:56.189000,Mercedes,HAM,1,TRUE,15:56.3,24.6,71.4,924.2,FALSE,40,148,2.9,6
3,0 days 00:38:24.277000,44,0 days 00:01:14.101000,4,,,0 days 00:00:18.875000,0 days 00:00:38.433000,0 days 00:00:16.793000,0 days 00:37:29.051000,0 days 00:38:07.484000,0 days 00:38:24.277000,306,249,309,300,FALSE,SUPERSOFT,7,FALSE,1,0 days 00:37:10.176000,Mercedes,HAM,1,TRUE,17:10.3,24.4,72.2,924.2,FALSE,40.1,153,3.5,6
4,0 days 00:39:38.439000,44,0 days 00:01:14.162000,5,,,0 days 00:00:19.096000,0 days 00:00:38.181000,0 days 00:00:16.885000,0 days 00:38:43.373000,0 days 00:39:21.554000,0 days 00:39:38.439000,308,254,308,280,FALSE,SUPERSOFT,8,FALSE,1,0 days 00:38:24.277000,Mercedes,HAM,1,TRUE,18:24.4,23.9,74.3,924.2,FALSE,39.2,144,3,6
5,0 days 00:40:52.757000,44,0 days 00:01:14.318000,6,,,0 days 00:00:19.078000,0 days 00:00:38.385000,0 days 00:00:16.855000,0 days 00:39:57.517000,0 days 00:40:35.902000,0 days 00:40:52.757000,,250,307,290,FALSE,SUPERSOFT,9,FALSE,1,0 days 00:39:38.439000,Mercedes,HAM,1,TRUE,19:38.5,24.2,73.1,924.2,FALSE,40.9,162,2.2,6
6,0 days 00:42:07.129000,44,0 days 00:01:14.372000,7,,,0 days 00:00:19.080000,0 days 00:00:38.440000,0 days 00:00:16.852000,0 days 00:41:11.837000,0 days 00:41:50.277000,0 days 00:42:07.129000,305,251,307,297,FALSE,SUPERSOFT,10,FALSE,1,0 days 00:40:52.757000,Mercedes,HAM,1,TRUE,20:52.9,24.5,72.2,924.1,FALSE,41.1,170,1.6,6
7,0 days 00:43:21.646000,44,0 days 00:01:14.517000,8,,,0 days 00:00:19.028000,0 days 00:00:38.553000,0 days 00:00:16.936000,0 days 00:42:26.157000,0 days 00:43:04.710000,0 days 00:43:21.646000,309,253,308,291,FALSE,SUPERSOFT,11,FALSE,1,0 days 00:42:07.129000,Mercedes,HAM,1,TRUE,22:07.2,24.4,72.1,924.1,FALSE,40.3,150,1.9,6
8,0 days 00:44:36.445000,44,0 days 00:01:14.799000,9,,,0 days 00:00:19.031000,0 days 00:00:38.885000,0 days 00:00:16.883000,0 days 00:43:40.677000,0 days 00:44:19.562000,0 days 00:44:36.445000,307,249,307,290,FALSE,SUPERSOFT,12,FALSE,1,0 days 00:43:21.646000,Mercedes,HAM,1,TRUE,23:21.8,24.4,72.4,924.1,FALSE,40.2,151,1.5,6
9,0 days 00:45:50.823000,44,0 days 00:01:14.378000,10,,,0 days 00:00:18.991000,0 days 00:00:38.507000,0 days 00:00:16.880000,0 days 00:44:55.436000,0 days 00:45:33.943000,0 days 00:45:50.823000,,253,308,291,FALSE,SUPERSOFT,13,FALSE,1,0 days 00:44:36.445000,Mercedes,HAM,1,TRUE,24:36.6,24.5,72.1,924.1,FALSE,40.3,172,2,6
10,0 days 00:47:05.227000,44,0 days 00:01:14.404000,11,,,0 days 00:00:18.877000,0 days 00:00:38.680000,0 days 00:00:16.847000,0 days 00:46:09.700000,0 days 00:46:48.380000,0 days 00:47:05.227000,,252,307,302,FALSE,SUPERSOFT,14,FALSE,1,0 days 00:45:50.823000,Mercedes,HAM,1,TRUE,25:50.9,24.5,72,924.2,FALSE,39.9,190,1.3,6
11,0 days 00:48:19.526000,44,0 days 00:01:14.299000,12,,,0 days 00:00:18.882000,0 days 00:00:38.628000,0 days 00:00:16.789000,0 days 00:47:24.109000,0 days 00:48:02.737000,0 days 00:48:19.526000,304,251,309,299,FALSE,SUPERSOFT,15,FALSE,1,0 days 00:47:05.227000,Mercedes,HAM,1,TRUE,27:05.3,24.4,73,924,FALSE,39.8,123,2.6,6
12,0 days 00:49:33.518000,44,0 days 00:01:13.992000,13,,,0 days 00:00:18.996000,0 days 00:00:38.181000,0 days 00:00:16.815000,0 days 00:48:38.522000,0 days 00:49:16.703000,0 days 00:49:33.518000,309,251,308,,FALSE,SUPERSOFT,16,FALSE,1,0 days 00:48:19.526000,Mercedes,HAM,1,TRUE,28:19.6,24.5,72.8,924,FALSE,39.4,183,1.6,6
13,0 days 00:50:47.741000,44,0 days 00:01:14.223000,14,,,0 days 00:00:19.153000,0 days 00:00:38.240000,0 days 00:00:16.830000,0 days 00:49:52.671000,0 days 00:50:30.911000,0 days 00:50:47.741000,311,253,309,293,FALSE,SUPERSOFT,17,FALSE,1,0 days 00:49:33.518000,Mercedes,HAM,1,TRUE,29:33.6,24.9,70.9,924,FALSE,39.7,172,0.7,6
14,0 days 00:52:01.684000,44,0 days 00:01:13.943000,15,,,0 days 00:00:18.884000,0 days 00:00:38.140000,0 days 00:00:16.919000,0 days 00:51:06.625000,0 days 00:51:44.765000,0 days 00:52:01.684000,308,250,307,301,FALSE,SUPERSOFT,18,FALSE,1,0 days 00:50:47.741000,Mercedes,HAM,1,TRUE,30:47.8,24.7,71.5,924,FALSE,41,190,1.8,6
