,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:08:52.619000,5,,1,0 days 00:00:01.499000,,,0 days 00:00:37.545000,0 days 00:00:25.481000,,0 days 00:08:27.170000,0 days 00:08:52.702000,290,254,244,304,FALSE,,,,,0 days 00:07:17.544000,Ferrari,VET,2,FALSE,13:17.6,26.9,39.2,1008.2,FALSE,53.3,354,1.3,7
1,0 days 00:10:25.537000,5,0 days 00:01:32.918000,2,,,0 days 00:00:29.696000,0 days 00:00:37.802000,0 days 00:00:25.420000,0 days 00:09:22.315000,0 days 00:10:00.117000,0 days 00:10:25.537000,288,254,245,303,FALSE,,,,,0 days 00:08:52.619000,Ferrari,VET,2,TRUE,14:52.6,27.1,38.7,1008.4,FALSE,53.1,357,1.4,7
2,0 days 00:11:58.260000,5,0 days 00:01:32.723000,3,,,0 days 00:00:29.537000,0 days 00:00:37.802000,0 days 00:00:25.384000,0 days 00:10:55.074000,0 days 00:11:32.876000,0 days 00:11:58.260000,289,257,245,304,FALSE,SOFT,4,FALSE,1,0 days 00:10:25.537000,Ferrari,VET,2,TRUE,16:25.5,27.1,39.1,1008.4,FALSE,53.1,212,0.9,7
3,0 days 00:13:31.368000,5,0 days 00:01:33.108000,4,,,0 days 00:00:29.773000,0 days 00:00:37.917000,0 days 00:00:25.418000,0 days 00:12:28.033000,0 days 00:13:05.950000,0 days 00:13:31.368000,286,253,246,306,FALSE,SOFT,5,FALSE,1,0 days 00:11:58.260000,Ferrari,VET,1,TRUE,17:58.3,27.2,39.4,1008.4,FALSE,53,59,1,7
4,0 days 00:15:04.359000,5,0 days 00:01:32.991000,5,,,0 days 00:00:29.818000,0 days 00:00:37.829000,0 days 00:00:25.344000,0 days 00:14:01.186000,0 days 00:14:39.015000,0 days 00:15:04.359000,287,254,246,307,FALSE,SOFT,6,FALSE,1,0 days 00:13:31.368000,Ferrari,VET,1,TRUE,19:31.4,27.2,39.4,1008.4,FALSE,52.6,151,1.8,7
5,0 days 00:16:37.718000,5,0 days 00:01:33.359000,6,,,0 days 00:00:29.951000,0 days 00:00:37.874000,0 days 00:00:25.534000,0 days 00:15:34.310000,0 days 00:16:12.184000,0 days 00:16:37.718000,290,254,245,306,FALSE,SOFT,7,FALSE,1,0 days 00:15:04.359000,Ferrari,VET,1,TRUE,21:04.4,27.4,39.1,1008.3,FALSE,53.3,75,1.2,7
6,0 days 00:18:11.033000,5,0 days 00:01:33.315000,7,,,0 days 00:00:29.930000,0 days 00:00:37.796000,0 days 00:00:25.589000,0 days 00:17:07.648000,0 days 00:17:45.444000,0 days 00:18:11.033000,292,255,245,306,FALSE,SOFT,8,FALSE,1,0 days 00:16:37.718000,Ferrari,VET,1,TRUE,22:37.7,27.5,38.7,1008.4,FALSE,53.3,123,1.5,7
7,0 days 00:19:44.335000,5,0 days 00:01:33.302000,8,,,0 days 00:00:29.885000,0 days 00:00:37.844000,0 days 00:00:25.573000,0 days 00:18:40.918000,0 days 00:19:18.762000,0 days 00:19:44.335000,291,254,246,304,FALSE,SOFT,9,FALSE,1,0 days 00:18:11.033000,Ferrari,VET,1,TRUE,24:11.0,27.5,38.8,1008.4,FALSE,53.7,58,1.4,7
8,0 days 00:21:17.433000,5,0 days 00:01:33.098000,9,,,0 days 00:00:29.750000,0 days 00:00:37.910000,0 days 00:00:25.438000,0 days 00:20:14.085000,0 days 00:20:51.995000,0 days 00:21:17.433000,,255,248,304,FALSE,SOFT,10,FALSE,1,0 days 00:19:44.335000,Ferrari,VET,1,TRUE,25:44.3,27.3,38.4,1008.2,FALSE,53.1,73,1.6,7
9,0 days 00:22:50.789000,5,0 days 00:01:33.356000,10,,,0 days 00:00:29.849000,0 days 00:00:38.062000,0 days 00:00:25.445000,0 days 00:21:47.282000,0 days 00:22:25.344000,0 days 00:22:50.789000,292,256,247,305,FALSE,SOFT,11,FALSE,1,0 days 00:21:17.433000,Ferrari,VET,1,TRUE,27:17.4,26.9,39.8,1008.2,FALSE,52.7,314,2.1,7
