,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:08:37.853000,5,,1,0 days 00:00:02.456000,,,0 days 00:00:28.184000,0 days 00:00:47.241000,,0 days 00:07:50.748000,0 days 00:08:37.921000,252,93,188,183,FALSE,,,,,0 days 00:06:56.859000,Ferrari,VET,24,FALSE,12:56.9,19.9,28.6,1017.9,FALSE,42.1,21,1.2,8
1,0 days 00:10:49.471000,5,0 days 00:02:11.618000,2,,,0 days 00:00:34.873000,0 days 00:00:49.848000,0 days 00:00:46.897000,0 days 00:09:12.726000,0 days 00:10:02.574000,0 days 00:10:49.471000,83,180,184,190,FALSE,,,,,0 days 00:08:37.853000,Ferrari,VET,4,FALSE,14:37.9,19.9,27.8,1017.9,FALSE,41.5,349,1,8
2,0 days 00:12:54.275000,5,0 days 00:02:04.804000,3,,,0 days 00:00:36.480000,0 days 00:00:42.161000,0 days 00:00:46.163000,0 days 00:11:25.951000,0 days 00:12:08.112000,0 days 00:12:54.275000,67,168,188,162,FALSE,ULTRASOFT,4,FALSE,1,0 days 00:10:49.471000,Ferrari,VET,4,FALSE,16:49.5,20.1,27.7,1017.9,FALSE,41.2,355,1.2,8
3,0 days 00:15:00.481000,5,0 days 00:02:06.206000,4,,,0 days 00:00:34.541000,0 days 00:00:39.136000,0 days 00:00:52.529000,0 days 00:13:28.816000,0 days 00:14:07.952000,0 days 00:15:00.481000,76,140,279,247,FALSE,ULTRASOFT,5,FALSE,1,0 days 00:12:54.275000,Ferrari,VET,4,FALSE,18:54.3,20,28.2,1017.9,FALSE,40.2,26,2,8
4,0 days 00:16:17.426000,5,0 days 00:01:16.945000,5,,,0 days 00:00:21.333000,0 days 00:00:24.651000,0 days 00:00:30.961000,0 days 00:15:21.814000,0 days 00:15:46.465000,0 days 00:16:17.426000,250,275,276,300,FALSE,ULTRASOFT,6,FALSE,1,0 days 00:15:00.481000,Ferrari,VET,1,FALSE,21:00.5,20,28.4,1017.8,FALSE,40.1,18,0.9,8
5,0 days 00:17:33.741000,5,0 days 00:01:16.315000,6,,,0 days 00:00:21.158000,0 days 00:00:24.602000,0 days 00:00:30.555000,0 days 00:16:38.584000,0 days 00:17:03.186000,0 days 00:17:33.741000,243,274,277,302,FALSE,ULTRASOFT,7,FALSE,1,0 days 00:16:17.426000,Ferrari,VET,1,TRUE,22:17.5,20,28.4,1017.8,FALSE,40.1,18,0.9,8
6,0 days 00:18:49.557000,5,0 days 00:01:15.816000,7,,,0 days 00:00:21.023000,0 days 00:00:24.488000,0 days 00:00:30.305000,0 days 00:17:54.764000,0 days 00:18:19.252000,0 days 00:18:49.557000,250,276,280,305,FALSE,ULTRASOFT,8,FALSE,1,0 days 00:17:33.741000,Ferrari,VET,1,TRUE,23:33.8,20.4,28.1,1017.8,FALSE,40.5,28,3.7,8
7,0 days 00:20:05.505000,5,0 days 00:01:15.948000,8,,,0 days 00:00:20.981000,0 days 00:00:24.505000,0 days 00:00:30.462000,0 days 00:19:10.538000,0 days 00:19:35.043000,0 days 00:20:05.505000,246,275,279,303,FALSE,ULTRASOFT,9,FALSE,1,0 days 00:18:49.557000,Ferrari,VET,1,TRUE,24:49.6,20.6,27.3,1017.8,FALSE,40.1,359,2,8
8,0 days 00:21:21.360000,5,0 days 00:01:15.855000,9,,,0 days 00:00:20.973000,0 days 00:00:24.403000,0 days 00:00:30.479000,0 days 00:20:26.478000,0 days 00:20:50.881000,0 days 00:21:21.360000,247,276,278,304,FALSE,ULTRASOFT,10,FALSE,1,0 days 00:20:05.505000,Ferrari,VET,1,TRUE,26:05.6,20.6,27.3,1017.8,FALSE,40.1,359,2,8
9,0 days 00:22:36.835000,5,0 days 00:01:15.475000,10,,,0 days 00:00:20.826000,0 days 00:00:24.298000,0 days 00:00:30.351000,0 days 00:21:42.186000,0 days 00:22:06.484000,0 days 00:22:36.835000,249,276,280,304,FALSE,ULTRASOFT,11,FALSE,1,0 days 00:21:21.360000,Ferrari,VET,1,TRUE,27:21.4,20.7,27.8,1017.8,FALSE,39.2,358,3.5,8
