,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:09:21.122000,3,,1,0 days 00:00:03.737000,,,0 days 00:00:31.387000,0 days 00:00:43.435000,,0 days 00:08:38.223000,0 days 00:09:21.210000,269,261,250,322,FALSE,,,,,0 days 00:07:35.940000,Red Bull Racing,RIC,1,FALSE,13:36.1,19.6,23.4,1018.4,FALSE,38.6,48,3.1,9
1,0 days 00:11:01.602000,3,0 days 00:01:40.480000,2,,,0 days 00:00:26.789000,0 days 00:00:30.247000,0 days 00:00:43.444000,0 days 00:09:47.911000,0 days 00:10:18.158000,0 days 00:11:01.602000,,263,252,312,FALSE,ULTRASOFT,4,FALSE,1,0 days 00:09:21.122000,Red Bull Racing,RIC,1,TRUE,15:21.2,19.6,23.6,1018.3,FALSE,38.5,35,1.3,9
2,0 days 00:12:41.661000,3,0 days 00:01:40.059000,3,,,0 days 00:00:26.645000,0 days 00:00:30.241000,0 days 00:00:43.173000,0 days 00:11:28.247000,0 days 00:11:58.488000,0 days 00:12:41.661000,,263,251,311,FALSE,ULTRASOFT,5,FALSE,1,0 days 00:11:01.602000,Red Bull Racing,RIC,1,TRUE,17:01.7,19.6,23.5,1018.4,FALSE,38.2,96,1.7,9
3,0 days 00:14:21.746000,3,0 days 00:01:40.085000,4,,,0 days 00:00:26.764000,0 days 00:00:30.243000,0 days 00:00:43.078000,0 days 00:13:08.425000,0 days 00:13:38.668000,0 days 00:14:21.746000,268,262,251,308,FALSE,ULTRASOFT,6,FALSE,1,0 days 00:12:41.661000,Red Bull Racing,RIC,1,TRUE,18:41.8,19.5,23.3,1018.3,FALSE,38,0,1.1,9
4,0 days 00:16:01.461000,3,0 days 00:01:39.715000,5,,,0 days 00:00:26.655000,0 days 00:00:30.072000,0 days 00:00:42.988000,0 days 00:14:48.401000,0 days 00:15:18.473000,0 days 00:16:01.461000,,263,252,,FALSE,ULTRASOFT,7,FALSE,1,0 days 00:14:21.746000,Red Bull Racing,RIC,1,TRUE,20:21.9,19.8,22.9,1018.3,FALSE,38.1,241,1,9
5,0 days 00:17:40.686000,3,0 days 00:01:39.225000,6,,,0 days 00:00:26.595000,0 days 00:00:29.895000,0 days 00:00:42.735000,0 days 00:16:28.056000,0 days 00:16:57.951000,0 days 00:17:40.686000,272,265,253,312,FALSE,ULTRASOFT,8,FALSE,1,0 days 00:16:01.461000,Red Bull Racing,RIC,1,TRUE,22:01.6,19.9,23.4,1018.4,FALSE,38,85,2.1,9
6,0 days 00:19:19.908000,3,0 days 00:01:39.222000,7,,,0 days 00:00:26.502000,0 days 00:00:29.763000,0 days 00:00:42.957000,0 days 00:18:07.188000,0 days 00:18:36.951000,0 days 00:19:19.908000,274,265,254,313,FALSE,ULTRASOFT,9,FALSE,1,0 days 00:17:40.686000,Red Bull Racing,RIC,1,TRUE,23:40.8,20.2,21.8,1018.3,FALSE,37.9,252,1.7,9
7,0 days 00:20:59.119000,3,0 days 00:01:39.211000,8,,,0 days 00:00:26.507000,0 days 00:00:29.740000,0 days 00:00:42.964000,0 days 00:19:46.415000,0 days 00:20:16.155000,0 days 00:20:59.119000,273,267,253,310,FALSE,ULTRASOFT,10,FALSE,1,0 days 00:19:19.908000,Red Bull Racing,RIC,1,TRUE,25:20.0,20,21.3,1018.3,FALSE,38,239,1.9,9
8,0 days 00:22:38.374000,3,0 days 00:01:39.255000,9,,,0 days 00:00:26.571000,0 days 00:00:29.860000,0 days 00:00:42.824000,0 days 00:21:25.690000,0 days 00:21:55.550000,0 days 00:22:38.374000,270,266,253,308,FALSE,ULTRASOFT,11,FALSE,1,0 days 00:20:59.119000,Red Bull Racing,RIC,1,TRUE,26:59.2,19.4,22.8,1018.3,FALSE,37.9,77,0.9,9
9,0 days 00:24:17.540000,3,0 days 00:01:39.166000,10,,,0 days 00:00:26.490000,0 days 00:00:29.935000,0 days 00:00:42.741000,0 days 00:23:04.864000,0 days 00:23:34.799000,0 days 00:24:17.540000,273,265,254,312,FALSE,ULTRASOFT,12,FALSE,1,0 days 00:22:38.374000,Red Bull Racing,RIC,1,TRUE,28:38.5,19.4,23.3,1018.3,FALSE,38.2,143,2.2,9
