,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:09:36.099000,44,,1,0 days 00:00:08.014000,,,0 days 00:00:42.579000,0 days 00:00:56.132000,,0 days 00:08:39.967000,0 days 00:09:37.641000,109,152,245,307,FALSE,,,,,0 days 00:07:26.483000,Mercedes,HAM,24,FALSE,13:26.5,24.3,50.4,966.4,FALSE,42.6,108,1.8,10
1,0 days 00:12:15.026000,44,,2,,,0 days 00:00:50.981000,0 days 00:00:43.049000,0 days 00:01:04.959000,0 days 00:10:27.077000,0 days 00:11:10.157000,0 days 00:12:15.104000,77,140,251,198,FALSE,,,,,0 days 00:09:36.099000,Mercedes,HAM,4,FALSE,15:36.1,24.2,51.3,966.4,FALSE,41.4,97,2.1,10
2,0 days 00:14:44.182000,44,0 days 00:02:29.156000,3,,,0 days 00:00:41.667000,0 days 00:00:41.991000,0 days 00:01:05.498000,0 days 00:12:56.693000,0 days 00:13:38.684000,0 days 00:14:44.182000,103,201,237,231,FALSE,SUPERSOFT,4,FALSE,1,0 days 00:12:15.026000,Mercedes,HAM,4,FALSE,18:15.1,24.5,49.9,966.6,FALSE,42.1,110,2.1,10
3,0 days 00:17:13.405000,44,0 days 00:02:29.223000,4,,,0 days 00:00:38.881000,0 days 00:00:42.936000,0 days 00:01:07.406000,0 days 00:15:23.063000,0 days 00:16:05.999000,0 days 00:17:13.405000,98,171,236,198,FALSE,SUPERSOFT,5,FALSE,1,0 days 00:14:44.182000,Mercedes,HAM,4,FALSE,20:44.2,24.2,49.8,966.4,FALSE,42.4,140,1.7,10
4,0 days 00:19:37.539000,44,0 days 00:02:24.134000,5,,,0 days 00:00:34.963000,0 days 00:00:43.594000,0 days 00:01:05.577000,0 days 00:17:48.368000,0 days 00:18:31.962000,0 days 00:19:37.539000,92,207,288,264,FALSE,SUPERSOFT,6,FALSE,1,0 days 00:17:13.405000,Mercedes,HAM,4,FALSE,23:13.4,24.7,48.6,966.4,FALSE,44.2,111,2.4,10
5,0 days 00:21:15.227000,44,0 days 00:01:37.688000,6,,,0 days 00:00:24.901000,0 days 00:00:29.605000,0 days 00:00:43.182000,0 days 00:20:02.440000,0 days 00:20:32.045000,0 days 00:21:15.227000,110,275,289,302,FALSE,SUPERSOFT,7,FALSE,1,0 days 00:19:37.539000,Mercedes,HAM,2,FALSE,25:37.6,24.6,48.5,966.4,FALSE,44.6,118,3.1,10
6,0 days 00:22:52.681000,44,0 days 00:01:37.454000,7,,,0 days 00:00:24.553000,0 days 00:00:29.561000,0 days 00:00:43.340000,0 days 00:21:39.780000,0 days 00:22:09.341000,0 days 00:22:52.681000,113,276,289,299,FALSE,SUPERSOFT,8,FALSE,1,0 days 00:21:15.227000,Mercedes,HAM,1,TRUE,27:15.3,24.6,48.5,966.2,FALSE,44.6,124,1.9,10
7,0 days 00:24:29.614000,44,0 days 00:01:36.933000,8,,,0 days 00:00:24.482000,0 days 00:00:29.488000,0 days 00:00:42.963000,0 days 00:23:17.163000,0 days 00:23:46.651000,0 days 00:24:29.614000,117,276,290,299,FALSE,SUPERSOFT,9,FALSE,1,0 days 00:22:52.681000,Mercedes,HAM,1,TRUE,28:52.7,24.9,48,966.3,FALSE,45.2,140,2.5,10
8,0 days 00:26:06.999000,44,0 days 00:01:37.385000,9,,,0 days 00:00:24.323000,0 days 00:00:29.601000,0 days 00:00:43.461000,0 days 00:24:53.937000,0 days 00:25:23.538000,0 days 00:26:06.999000,112,276,288,298,FALSE,SUPERSOFT,10,FALSE,1,0 days 00:24:29.614000,Mercedes,HAM,1,TRUE,30:29.6,24.9,47.5,966.3,FALSE,45,115,3.6,10
9,0 days 00:27:44.460000,44,0 days 00:01:37.461000,10,,,0 days 00:00:24.536000,0 days 00:00:29.709000,0 days 00:00:43.216000,0 days 00:26:31.535000,0 days 00:27:01.244000,0 days 00:27:44.460000,111,276,287,299,FALSE,SUPERSOFT,11,FALSE,1,0 days 00:26:06.999000,Mercedes,HAM,1,TRUE,32:07.0,25.1,45.4,966.3,FALSE,45,121,3.3,10
10,0 days 00:29:21.958000,44,0 days 00:01:37.498000,11,,,0 days 00:00:24.561000,0 days 00:00:29.577000,0 days 00:00:43.360000,0 days 00:28:09.021000,0 days 00:28:38.598000,0 days 00:29:21.958000,110,276,290,300,FALSE,SUPERSOFT,12,FALSE,1,0 days 00:27:44.460000,Mercedes,HAM,1,TRUE,33:44.5,25.3,44.6,966.3,FALSE,44.6,128,3.6,10
11,0 days 00:30:59.300000,44,0 days 00:01:37.342000,12,,,0 days 00:00:24.529000,0 days 00:00:29.590000,0 days 00:00:43.223000,0 days 00:29:46.487000,0 days 00:30:16.077000,0 days 00:30:59.300000,107,277,290,302,FALSE,SUPERSOFT,13,FALSE,1,0 days 00:29:21.958000,Mercedes,HAM,1,TRUE,35:22.0,24.9,47.8,966.3,FALSE,44.8,106,2,10
12,0 days 00:32:36.319000,44,0 days 00:01:37.019000,13,,,0 days 00:00:24.530000,0 days 00:00:29.553000,0 days 00:00:42.936000,0 days 00:31:23.830000,0 days 00:31:53.383000,0 days 00:32:36.319000,108,277,290,303,FALSE,SUPERSOFT,14,FALSE,1,0 days 00:30:59.300000,Mercedes,HAM,1,TRUE,36:59.3,25.1,48.1,966.2,FALSE,44.7,114,2.2,10
13,0 days 00:34:13.304000,44,0 days 00:01:36.985000,14,,,0 days 00:00:24.429000,0 days 00:00:29.521000,0 days 00:00:43.035000,0 days 00:33:00.748000,0 days 00:33:30.269000,0 days 00:34:13.304000,111,277,290,301,FALSE,SUPERSOFT,15,FALSE,1,0 days 00:32:36.319000,Mercedes,HAM,1,TRUE,38:36.3,25.1,48.5,966.2,FALSE,44.5,114,3.7,10
14,0 days 00:35:50.268000,44,0 days 00:01:36.964000,15,,,0 days 00:00:24.451000,0 days 00:00:29.566000,0 days 00:00:42.947000,0 days 00:34:37.755000,0 days 00:35:07.321000,0 days 00:35:50.268000,109,278,289,301,FALSE,SUPERSOFT,16,FALSE,1,0 days 00:34:13.304000,Mercedes,HAM,1,TRUE,40:13.3,24.9,48.9,966.2,FALSE,44.3,117,3.7,10
15,0 days 00:37:27.297000,44,0 days 00:01:37.029000,16,,,0 days 00:00:24.536000,0 days 00:00:29.735000,0 days 00:00:42.758000,0 days 00:36:14.804000,0 days 00:36:44.539000,0 days 00:37:27.297000,110,278,289,302,FALSE,SUPERSOFT,17,FALSE,1,0 days 00:35:50.268000,Mercedes,HAM,1,TRUE,41:50.3,24.9,48.9,966.2,FALSE,44.3,117,3.7,10
16,0 days 00:39:03.934000,44,0 days 00:01:36.637000,17,,,0 days 00:00:24.406000,0 days 00:00:29.560000,0 days 00:00:42.671000,0 days 00:37:51.703000,0 days 00:38:21.263000,0 days 00:39:03.934000,,278,289,300,FALSE,SUPERSOFT,18,FALSE,1,0 days 00:37:27.297000,Mercedes,HAM,1,TRUE,43:27.3,24.9,48.7,966.1,FALSE,44.7,126,2.1,10
17,0 days 00:40:40.412000,44,0 days 00:01:36.478000,18,,,0 days 00:00:24.262000,0 days 00:00:29.520000,0 days 00:00:42.696000,0 days 00:39:28.196000,0 days 00:39:57.716000,0 days 00:40:40.412000,,278,288,303,FALSE,SUPERSOFT,19,FALSE,1,0 days 00:39:03.934000,Mercedes,HAM,1,TRUE,45:04.0,25,48.6,966.2,FALSE,42.5,120,2.5,10
18,0 days 00:42:16.860000,44,0 days 00:01:36.448000,19,,,0 days 00:00:24.269000,0 days 00:00:29.464000,0 days 00:00:42.715000,0 days 00:41:04.681000,0 days 00:41:34.145000,0 days 00:42:16.860000,111,279,288,300,FALSE,SUPERSOFT,20,FALSE,1,0 days 00:40:40.412000,Mercedes,HAM,1,TRUE,46:40.4,24.6,49.5,966.1,FALSE,42.5,148,1.8,10
19,0 days 00:43:53.247000,44,0 days 00:01:36.387000,20,,,0 days 00:00:24.221000,0 days 00:00:29.463000,0 days 00:00:42.703000,0 days 00:42:41.081000,0 days 00:43:10.544000,0 days 00:43:53.247000,110,279,287,304,FALSE,SUPERSOFT,21,FALSE,1,0 days 00:42:16.860000,Mercedes,HAM,1,TRUE,48:16.9,24.7,49.6,966.2,FALSE,44.5,14,1.9,10
20,0 days 00:45:30.124000,44,0 days 00:01:36.877000,21,,,0 days 00:00:24.483000,0 days 00:00:29.701000,0 days 00:00:42.693000,0 days 00:44:17.730000,0 days 00:44:47.431000,0 days 00:45:30.124000,109,277,288,302,FALSE,SUPERSOFT,22,FALSE,1,0 days 00:43:53.247000,Mercedes,HAM,1,TRUE,49:53.3,25,48.7,966,FALSE,44.7,26,1.4,10
21,0 days 00:47:06.686000,44,0 days 00:01:36.562000,22,,,0 days 00:00:24.438000,0 days 00:00:29.551000,0 days 00:00:42.573000,0 days 00:45:54.562000,0 days 00:46:24.113000,0 days 00:47:06.686000,110,277,289,301,FALSE,SUPERSOFT,23,FALSE,1,0 days 00:45:30.124000,Mercedes,HAM,1,TRUE,51:30.1,25.2,48,966.1,FALSE,44.7,348,1.5,10
22,0 days 00:48:43.061000,44,0 days 00:01:36.375000,23,,,0 days 00:00:24.257000,0 days 00:00:29.397000,0 days 00:00:42.721000,0 days 00:47:30.943000,0 days 00:48:00.340000,0 days 00:48:43.061000,108,280,290,303,FALSE,SUPERSOFT,24,FALSE,1,0 days 00:47:06.686000,Mercedes,HAM,1,TRUE,53:06.7,25.5,47.4,966.2,FALSE,44.3,123,1.4,10
23,0 days 00:50:19.239000,44,0 days 00:01:36.178000,24,,,0 days 00:00:24.223000,0 days 00:00:29.416000,0 days 00:00:42.539000,0 days 00:49:07.284000,0 days 00:49:36.700000,0 days 00:50:19.239000,109,279,289,302,FALSE,SUPERSOFT,25,FALSE,1,0 days 00:48:43.061000,Mercedes,HAM,1,TRUE,54:43.1,25.6,45.8,966.2,FALSE,44.6,76,2.1,10
24,0 days 00:51:55.603000,44,0 days 00:01:36.364000,25,,,0 days 00:00:24.197000,0 days 00:00:29.402000,0 days 00:00:42.765000,0 days 00:50:43.436000,0 days 00:51:12.838000,0 days 00:51:55.603000,112,279,289,304,FALSE,SUPERSOFT,26,FALSE,1,0 days 00:50:19.239000,Mercedes,HAM,1,TRUE,56:19.3,24.9,47.8,966.1,FALSE,44.1,140,1.1,10
25,0 days 00:53:31.266000,44,0 days 00:01:35.663000,26,,,0 days 00:00:24.074000,0 days 00:00:29.283000,0 days 00:00:42.306000,0 days 00:52:19.677000,0 days 00:52:48.960000,0 days 00:53:31.266000,,280,290,306,FALSE,SUPERSOFT,27,FALSE,1,0 days 00:51:55.603000,Mercedes,HAM,1,TRUE,57:55.6,25.3,46.1,966,FALSE,43.7,83,2.3,10
