,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:08:26.874000,44,,1,0 days 00:00:02.379000,,,0 days 00:00:38.607000,0 days 00:00:25.958000,,0 days 00:08:00.926000,0 days 00:08:26.973000,205,249,270,322,FALSE,,,,,0 days 00:06:56.587000,Mercedes,HAM,1,FALSE,13:03.6,26.5,51.6,1001.4,FALSE,44.3,342,2.2,11
1,0 days 00:09:47.908000,44,0 days 00:01:21.034000,2,,,0 days 00:00:17.963000,0 days 00:00:37.716000,0 days 00:00:25.355000,0 days 00:08:44.837000,0 days 00:09:22.553000,0 days 00:09:47.908000,200,253,267,313,FALSE,SOFT,1,TRUE,1,0 days 00:08:26.874000,Mercedes,HAM,1,TRUE,14:33.9,26.7,50.6,1001.6,FALSE,44.5,353,1.1,11
2,0 days 00:11:07.880000,44,0 days 00:01:19.972000,3,,,0 days 00:00:17.900000,0 days 00:00:37.274000,0 days 00:00:24.798000,0 days 00:10:05.808000,0 days 00:10:43.082000,0 days 00:11:07.880000,207,254,273,335,FALSE,SOFT,2,TRUE,1,0 days 00:09:47.908000,Mercedes,HAM,1,TRUE,15:54.9,26.9,49.3,1001.5,FALSE,44.5,316,3.1,11
3,0 days 00:12:27.556000,44,0 days 00:01:19.676000,4,,,0 days 00:00:17.656000,0 days 00:00:36.942000,0 days 00:00:25.078000,0 days 00:11:25.536000,0 days 00:12:02.478000,0 days 00:12:27.556000,197,256,271,346,FALSE,SOFT,3,TRUE,1,0 days 00:11:07.880000,Mercedes,HAM,1,TRUE,17:14.9,26.7,50.4,1001.5,FALSE,44.8,98,1.1,11
4,0 days 00:13:48,44,0 days 00:01:20.444000,5,,,0 days 00:00:17.617000,0 days 00:00:37.453000,0 days 00:00:25.374000,0 days 00:12:45.173000,0 days 00:13:22.626000,0 days 00:13:48,204,254,268,331,FALSE,SOFT,4,TRUE,1,0 days 00:12:27.556000,Mercedes,HAM,1,TRUE,18:34.6,27,49.4,1001.5,FALSE,44.1,333,2,11
5,0 days 00:15:07.236000,44,0 days 00:01:19.236000,6,,,0 days 00:00:17.589000,0 days 00:00:36.744000,0 days 00:00:24.903000,0 days 00:14:05.589000,0 days 00:14:42.333000,0 days 00:15:07.236000,206,254,267,346,FALSE,SOFT,5,TRUE,1,0 days 00:13:48,Mercedes,HAM,1,TRUE,19:55.0,27,49.5,1001.5,FALSE,43.7,185,2,11
6,0 days 00:16:27.885000,44,0 days 00:01:20.649000,7,,,0 days 00:00:17.714000,0 days 00:00:37.558000,0 days 00:00:25.377000,0 days 00:15:24.950000,0 days 00:16:02.508000,0 days 00:16:27.885000,203,256,269,331,FALSE,SOFT,6,TRUE,1,0 days 00:15:07.236000,Mercedes,HAM,1,TRUE,21:14.3,26.9,50.1,1001.5,FALSE,44,327,2.2,11
7,0 days 00:17:47.250000,44,0 days 00:01:19.365000,8,,,0 days 00:00:17.901000,0 days 00:00:36.985000,0 days 00:00:24.479000,0 days 00:16:45.786000,0 days 00:17:22.771000,0 days 00:17:47.250000,199,254,268,338,FALSE,SOFT,7,TRUE,1,0 days 00:16:27.885000,Mercedes,HAM,1,TRUE,22:34.9,26.8,50.8,1001.5,FALSE,44.1,340,2.5,11
8,0 days 00:19:06.651000,44,0 days 00:01:19.401000,9,,,0 days 00:00:17.674000,0 days 00:00:36.725000,0 days 00:00:25.002000,0 days 00:18:04.924000,0 days 00:18:41.649000,0 days 00:19:06.651000,202,255,268,337,FALSE,SOFT,8,TRUE,1,0 days 00:17:47.250000,Mercedes,HAM,1,TRUE,23:54.3,26.9,50.4,1001.5,FALSE,44,325,1.5,11
9,0 days 00:20:26.732000,44,0 days 00:01:20.081000,10,,,0 days 00:00:17.639000,0 days 00:00:37.644000,0 days 00:00:24.798000,0 days 00:19:24.290000,0 days 00:20:01.934000,0 days 00:20:26.732000,200,254,267,307,FALSE,SOFT,9,TRUE,1,0 days 00:19:06.651000,Mercedes,HAM,1,TRUE,25:13.7,27,50.1,1001.4,FALSE,43.1,341,1.9,11
10,0 days 00:21:45.339000,44,0 days 00:01:18.607000,11,,,0 days 00:00:17.369000,0 days 00:00:36.772000,0 days 00:00:24.466000,0 days 00:20:44.101000,0 days 00:21:20.873000,0 days 00:21:45.339000,203,253,264,337,FALSE,SOFT,10,TRUE,1,0 days 00:20:26.732000,Mercedes,HAM,1,TRUE,26:33.8,27.2,49.2,1001.5,FALSE,43.1,195,2.3,11
11,0 days 00:23:04.212000,44,0 days 00:01:18.873000,12,,,0 days 00:00:17.350000,0 days 00:00:37.273000,0 days 00:00:24.250000,0 days 00:22:02.689000,0 days 00:22:39.962000,0 days 00:23:04.212000,204,255,267,302,FALSE,SOFT,11,TRUE,1,0 days 00:21:45.339000,Mercedes,HAM,1,TRUE,27:52.4,27.1,49.9,1001.4,FALSE,43.9,267,1.1,11
12,0 days 00:24:23.513000,44,0 days 00:01:19.301000,13,,,0 days 00:00:17.220000,0 days 00:00:37.342000,0 days 00:00:24.739000,0 days 00:23:21.432000,0 days 00:23:58.774000,0 days 00:24:23.513000,201,256,271,309,FALSE,SOFT,12,TRUE,1,0 days 00:23:04.212000,Mercedes,HAM,1,TRUE,29:11.2,27.1,49,1001.4,FALSE,43.5,169,2,11
13,0 days 00:25:41.542000,44,0 days 00:01:18.029000,14,,,0 days 00:00:17.356000,0 days 00:00:36.621000,0 days 00:00:24.052000,0 days 00:24:40.869000,0 days 00:25:17.490000,0 days 00:25:41.542000,207,254,264,325,FALSE,SOFT,13,TRUE,1,0 days 00:24:23.513000,Mercedes,HAM,1,TRUE,30:30.5,26.9,49.9,1001.4,FALSE,43.5,40,1,11
14,0 days 00:27:00.199000,44,0 days 00:01:18.657000,15,,,0 days 00:00:17.445000,0 days 00:00:37.078000,0 days 00:00:24.134000,0 days 00:25:58.987000,0 days 00:26:36.065000,0 days 00:27:00.199000,205,256,264,307,FALSE,SOFT,14,TRUE,1,0 days 00:25:41.542000,Mercedes,HAM,1,TRUE,31:48.6,27.3,48.6,1001.4,FALSE,44.4,153,1.8,11
15,0 days 00:28:18.379000,44,0 days 00:01:18.180000,16,,,0 days 00:00:17.172000,0 days 00:00:37.033000,0 days 00:00:23.975000,0 days 00:27:17.371000,0 days 00:27:54.404000,0 days 00:28:18.379000,204,256,266,304,FALSE,SOFT,15,TRUE,1,0 days 00:27:00.199000,Mercedes,HAM,1,TRUE,33:07.2,27.1,49.7,1001.4,FALSE,44.2,281,1.8,11
16,0 days 00:29:36.400000,44,0 days 00:01:18.021000,17,,,0 days 00:00:17.195000,0 days 00:00:36.825000,0 days 00:00:24.001000,0 days 00:28:35.574000,0 days 00:29:12.399000,0 days 00:29:36.400000,206,258,266,311,FALSE,SOFT,16,TRUE,1,0 days 00:28:18.379000,Mercedes,HAM,1,TRUE,34:25.4,27.4,49.4,1001.2,FALSE,44.2,341,1.4,11
17,0 days 00:30:54.546000,44,0 days 00:01:18.146000,18,,,0 days 00:00:17.139000,0 days 00:00:36.999000,0 days 00:00:24.008000,0 days 00:29:53.539000,0 days 00:30:30.538000,0 days 00:30:54.546000,205,257,265,307,FALSE,SOFT,17,TRUE,1,0 days 00:29:36.400000,Mercedes,HAM,1,TRUE,35:43.4,27.7,48.3,1001.3,FALSE,44.9,146,1.2,11
18,0 days 00:32:12.611000,44,0 days 00:01:18.065000,19,,,0 days 00:00:17.164000,0 days 00:00:36.828000,0 days 00:00:24.073000,0 days 00:31:11.710000,0 days 00:31:48.538000,0 days 00:32:12.611000,207,257,265,311,FALSE,SOFT,18,TRUE,1,0 days 00:30:54.546000,Mercedes,HAM,1,TRUE,37:01.6,27.9,48,1001.4,FALSE,45.5,1,1.3,11
19,0 days 00:33:30.747000,44,0 days 00:01:18.136000,20,,,0 days 00:00:17.230000,0 days 00:00:36.939000,0 days 00:00:23.967000,0 days 00:32:29.841000,0 days 00:33:06.780000,0 days 00:33:30.747000,,258,266,310,FALSE,SOFT,19,TRUE,1,0 days 00:32:12.611000,Mercedes,HAM,1,TRUE,38:19.6,27.8,47.7,1001.5,FALSE,45.3,296,3,11
20,0 days 00:34:48.676000,44,0 days 00:01:17.929000,21,,,0 days 00:00:17.118000,0 days 00:00:36.786000,0 days 00:00:24.025000,0 days 00:33:47.865000,0 days 00:34:24.651000,0 days 00:34:48.676000,206,259,264,311,FALSE,SOFT,20,TRUE,1,0 days 00:33:30.747000,Mercedes,HAM,1,TRUE,39:37.8,27.3,48.9,1001.4,FALSE,44.9,348,2.8,11
21,0 days 00:36:06.738000,44,0 days 00:01:18.062000,22,,,0 days 00:00:17.147000,0 days 00:00:36.946000,0 days 00:00:23.969000,0 days 00:35:05.823000,0 days 00:35:42.769000,0 days 00:36:06.738000,208,257,266,310,FALSE,SOFT,21,TRUE,1,0 days 00:34:48.676000,Mercedes,HAM,1,TRUE,40:55.7,27.2,48.8,1001.4,FALSE,44.8,320,3,11
22,0 days 00:37:24.686000,44,0 days 00:01:17.948000,23,,,0 days 00:00:17.085000,0 days 00:00:36.896000,0 days 00:00:23.967000,0 days 00:36:23.823000,0 days 00:37:00.719000,0 days 00:37:24.686000,203,259,265,309,FALSE,SOFT,22,TRUE,1,0 days 00:36:06.738000,Mercedes,HAM,1,TRUE,42:13.8,27.1,49.3,1001.4,FALSE,44.8,50,1.1,11
23,0 days 00:38:42.485000,44,0 days 00:01:17.799000,24,,,0 days 00:00:17.111000,0 days 00:00:36.764000,0 days 00:00:23.924000,0 days 00:37:41.797000,0 days 00:38:18.561000,0 days 00:38:42.485000,205,259,267,310,FALSE,SOFT,23,TRUE,1,0 days 00:37:24.686000,Mercedes,HAM,1,TRUE,43:31.7,27.3,48.9,1001.4,FALSE,44.8,334,1.7,11
24,0 days 00:40:00.319000,44,0 days 00:01:17.834000,25,,,0 days 00:00:17.215000,0 days 00:00:36.844000,0 days 00:00:23.775000,0 days 00:38:59.700000,0 days 00:39:36.544000,0 days 00:40:00.319000,,259,266,309,FALSE,SOFT,24,TRUE,1,0 days 00:38:42.485000,Mercedes,HAM,1,TRUE,44:49.5,27.3,49.1,1001.4,FALSE,44.4,112,1.6,11
