,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:08:24.027000,44,,1,0 days 00:00:00.908000,,,0 days 00:00:30.062000,0 days 00:00:23.430000,,0 days 00:08:00.706000,0 days 00:08:24.206000,258,236,250,250,FALSE,,,,,0 days 00:06:57.186000,Mercedes,HAM,1,FALSE,12:57.4,32.4,35.9,983.8,FALSE,57,103,0.8,12
1,0 days 00:09:47.211000,44,0 days 00:01:23.184000,2,,,0 days 00:00:29.843000,0 days 00:00:30.135000,0 days 00:00:23.206000,0 days 00:08:53.870000,0 days 00:09:24.005000,0 days 00:09:47.211000,273,236,250,289,FALSE,,,,,0 days 00:08:24.027000,Mercedes,HAM,1,TRUE,14:24.2,32.3,36.1,983.7,FALSE,51.1,231,0.6,12
2,0 days 00:11:10.104000,44,0 days 00:01:22.893000,3,,,0 days 00:00:29.583000,0 days 00:00:29.993000,0 days 00:00:23.317000,0 days 00:10:16.794000,0 days 00:10:46.787000,0 days 00:11:10.104000,275,237,249,290,FALSE,ULTRASOFT,1,TRUE,1,0 days 00:09:47.211000,Mercedes,HAM,1,TRUE,15:47.4,32.7,36.1,983.7,FALSE,51.8,232,0.5,12
3,0 days 00:12:33.055000,44,0 days 00:01:22.951000,4,,,0 days 00:00:29.636000,0 days 00:00:30.063000,0 days 00:00:23.252000,0 days 00:11:39.740000,0 days 00:12:09.803000,0 days 00:12:33.055000,269,239,249,,FALSE,ULTRASOFT,2,TRUE,1,0 days 00:11:10.104000,Mercedes,HAM,1,TRUE,17:10.3,33.1,34.7,983.7,FALSE,52.3,282,1.3,12
4,0 days 00:13:56.698000,44,0 days 00:01:23.643000,5,,,0 days 00:00:29.762000,0 days 00:00:30.460000,0 days 00:00:23.421000,0 days 00:13:02.817000,0 days 00:13:33.277000,0 days 00:13:56.698000,275,236,248,291,FALSE,ULTRASOFT,3,TRUE,1,0 days 00:12:33.055000,Mercedes,HAM,1,TRUE,18:33.2,33,36.4,983.7,FALSE,52.3,202,1.8,12
5,0 days 00:15:24.072000,44,0 days 00:01:27.374000,6,,,0 days 00:00:29.753000,0 days 00:00:30.190000,0 days 00:00:27.431000,0 days 00:14:26.451000,0 days 00:14:56.641000,0 days 00:15:24.072000,269,236,144,290,FALSE,ULTRASOFT,4,TRUE,1,0 days 00:13:56.698000,Mercedes,HAM,26,FALSE,19:56.9,33.1,34.4,983.7,FALSE,51.6,310,1.4,12
6,0 days 00:17:00.261000,44,0 days 00:01:36.189000,7,,,0 days 00:00:39.064000,0 days 00:00:33.662000,0 days 00:00:23.463000,0 days 00:16:03.136000,0 days 00:16:36.798000,0 days 00:17:00.261000,211,237,248,221,FALSE,ULTRASOFT,5,TRUE,1,0 days 00:15:24.072000,Mercedes,HAM,67,FALSE,21:24.2,33,35.6,983.8,FALSE,51.6,213,1,12
7,0 days 00:18:23.578000,44,0 days 00:01:23.317000,8,,,0 days 00:00:29.686000,0 days 00:00:30.123000,0 days 00:00:23.508000,0 days 00:17:29.947000,0 days 00:18:00.070000,0 days 00:18:23.578000,270,236,248,290,FALSE,ULTRASOFT,6,TRUE,1,0 days 00:17:00.261000,Mercedes,HAM,1,TRUE,23:00.4,33,35.5,983.7,FALSE,48.9,199,0.5,12
8,0 days 00:19:47.145000,44,0 days 00:01:23.567000,9,,,0 days 00:00:29.664000,0 days 00:00:30.054000,0 days 00:00:23.849000,0 days 00:18:53.242000,0 days 00:19:23.296000,0 days 00:19:47.145000,275,238,247,289,FALSE,ULTRASOFT,7,TRUE,1,0 days 00:18:23.578000,Mercedes,HAM,1,TRUE,24:23.8,33.1,35.3,983.7,FALSE,48.5,182,0.6,12
9,0 days 00:21:10.409000,44,0 days 00:01:23.264000,10,,,0 days 00:00:29.588000,0 days 00:00:30.138000,0 days 00:00:23.538000,0 days 00:20:16.733000,0 days 00:20:46.871000,0 days 00:21:10.409000,274,239,248,290,FALSE,ULTRASOFT,8,TRUE,1,0 days 00:19:47.145000,Mercedes,HAM,1,TRUE,25:47.3,33.5,35.2,983.7,FALSE,48.5,127,0.6,12
10,0 days 00:22:33.475000,44,0 days 00:01:23.066000,11,,,0 days 00:00:29.518000,0 days 00:00:30.071000,0 days 00:00:23.477000,0 days 00:21:39.927000,0 days 00:22:09.998000,0 days 00:22:33.475000,276,237,248,,FALSE,ULTRASOFT,9,TRUE,1,0 days 00:21:10.409000,Mercedes,HAM,1,TRUE,27:10.6,33.5,35.9,983.7,FALSE,50.4,40,0.4,12
11,0 days 00:23:56.766000,44,0 days 00:01:23.291000,12,,,0 days 00:00:29.644000,0 days 00:00:30.125000,0 days 00:00:23.522000,0 days 00:23:03.119000,0 days 00:23:33.244000,0 days 00:23:56.766000,272,237,248,,FALSE,ULTRASOFT,10,TRUE,1,0 days 00:22:33.475000,Mercedes,HAM,1,TRUE,28:33.7,33.6,36,983.8,FALSE,49.3,11,0.7,12
12,0 days 00:25:19.822000,44,0 days 00:01:23.056000,13,,,0 days 00:00:29.528000,0 days 00:00:29.982000,0 days 00:00:23.546000,0 days 00:24:26.294000,0 days 00:24:56.276000,0 days 00:25:19.822000,277,238,246,291,FALSE,ULTRASOFT,11,TRUE,1,0 days 00:23:56.766000,Mercedes,HAM,1,TRUE,29:56.9,33.4,36.5,983.6,FALSE,47.9,0,0.3,12
13,0 days 00:26:42.605000,44,0 days 00:01:22.783000,14,,,0 days 00:00:29.515000,0 days 00:00:29.826000,0 days 00:00:23.442000,0 days 00:25:49.337000,0 days 00:26:19.163000,0 days 00:26:42.605000,278,239,247,,FALSE,ULTRASOFT,12,TRUE,1,0 days 00:25:19.822000,Mercedes,HAM,1,TRUE,31:20.0,33.3,36.6,983.7,FALSE,46.9,124,0,12
