,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:20:20.823000,44,,1,0 days 00:00:04.950000,,,0 days 00:00:30.140000,0 days 00:00:50.522000,,0 days 00:19:30.337000,0 days 00:20:20.920000,333,323,156,297,FALSE,,,,,0 days 00:18:30.135000,Mercedes,HAM,26,FALSE,13:30.2,21.8,66.2,995.4,TRUE,29.5,225,1,13
1,0 days 00:22:36.574000,44,0 days 00:02:15.751000,2,,,0 days 00:00:44.461000,0 days 00:00:44.951000,0 days 00:00:46.339000,0 days 00:21:05.284000,0 days 00:21:50.235000,0 days 00:22:36.574000,106,268,238,185,FALSE,SUPERSOFT,4,FALSE,1,0 days 00:20:20.823000,Mercedes,HAM,67,FALSE,15:20.8,21.7,67,995.4,TRUE,29.5,174,0.4,13
2,0 days 00:24:44.478000,44,0 days 00:02:07.904000,3,,,0 days 00:00:45.471000,0 days 00:00:44.529000,0 days 00:00:37.904000,0 days 00:23:22.045000,0 days 00:24:06.574000,0 days 00:24:44.478000,216,107,316,128,FALSE,SUPERSOFT,5,FALSE,1,0 days 00:22:36.574000,Mercedes,HAM,74,FALSE,17:36.6,21.8,66.2,995.4,FALSE,30.3,187,0.8,13
3,0 days 00:26:10.487000,44,0 days 00:01:26.009000,4,,,0 days 00:00:27.655000,0 days 00:00:30.086000,0 days 00:00:28.268000,0 days 00:25:12.133000,0 days 00:25:42.219000,0 days 00:26:10.487000,312,328,311,334,FALSE,SUPERSOFT,6,FALSE,1,0 days 00:24:44.478000,Mercedes,HAM,1,TRUE,19:44.5,21.9,65.9,995.3,FALSE,30.5,0,1.3,13
4,0 days 00:27:35.514000,44,0 days 00:01:25.027000,5,,,0 days 00:00:27.861000,0 days 00:00:29.086000,0 days 00:00:28.080000,0 days 00:26:38.348000,0 days 00:27:07.434000,0 days 00:27:35.514000,311,318,312,338,FALSE,SUPERSOFT,7,FALSE,1,0 days 00:26:10.487000,Mercedes,HAM,1,TRUE,21:10.5,22.2,64.3,995.3,FALSE,30.9,251,0.8,13
5,0 days 00:29:00.341000,44,0 days 00:01:24.827000,6,,,0 days 00:00:27.878000,0 days 00:00:28.908000,0 days 00:00:28.041000,0 days 00:28:03.392000,0 days 00:28:32.300000,0 days 00:29:00.341000,316,325,312,327,FALSE,SUPERSOFT,8,FALSE,1,0 days 00:27:35.514000,Mercedes,HAM,1,TRUE,22:35.5,22.3,63.7,995.3,FALSE,30.9,317,1.5,13
6,0 days 00:30:25.092000,44,0 days 00:01:24.751000,7,,,0 days 00:00:27.755000,0 days 00:00:28.914000,0 days 00:00:28.082000,0 days 00:29:28.096000,0 days 00:29:57.010000,0 days 00:30:25.092000,312,318,313,335,FALSE,SUPERSOFT,9,FALSE,1,0 days 00:29:00.341000,Mercedes,HAM,1,TRUE,24:00.4,22.3,64.1,995.3,FALSE,30.2,197,0.7,13
7,0 days 00:31:49.649000,44,0 days 00:01:24.557000,8,,,0 days 00:00:27.790000,0 days 00:00:28.812000,0 days 00:00:27.955000,0 days 00:30:52.882000,0 days 00:31:21.694000,0 days 00:31:49.649000,310,320,313,327,FALSE,SUPERSOFT,10,FALSE,1,0 days 00:30:25.092000,Mercedes,HAM,1,TRUE,25:25.1,22.3,64.3,995.3,FALSE,30.4,181,2.6,13
8,0 days 00:33:13.998000,44,0 days 00:01:24.349000,9,,,0 days 00:00:27.540000,0 days 00:00:28.704000,0 days 00:00:28.105000,0 days 00:32:17.189000,0 days 00:32:45.893000,0 days 00:33:13.998000,319,331,312,333,FALSE,SUPERSOFT,11,FALSE,1,0 days 00:31:49.649000,Mercedes,HAM,1,TRUE,26:49.7,22.4,64,995.2,FALSE,30.4,201,2,13
9,0 days 00:34:38.916000,44,0 days 00:01:24.918000,10,,,0 days 00:00:27.730000,0 days 00:00:29.048000,0 days 00:00:28.140000,0 days 00:33:41.728000,0 days 00:34:10.776000,0 days 00:34:38.916000,315,321,311,337,FALSE,SUPERSOFT,12,FALSE,1,0 days 00:33:13.998000,Mercedes,HAM,1,TRUE,28:14.0,22.5,64.3,995.2,FALSE,30.4,138,1.8,13
10,0 days 00:36:03.739000,44,0 days 00:01:24.823000,11,,,0 days 00:00:27.733000,0 days 00:00:28.994000,0 days 00:00:28.096000,0 days 00:35:06.649000,0 days 00:35:35.643000,0 days 00:36:03.739000,317,322,312,338,FALSE,SUPERSOFT,13,FALSE,1,0 days 00:34:38.916000,Mercedes,HAM,1,TRUE,29:38.9,22.5,64.1,995.2,FALSE,30.4,0,1,13
11,0 days 00:37:28.578000,44,0 days 00:01:24.839000,12,,,0 days 00:00:27.578000,0 days 00:00:29.127000,0 days 00:00:28.134000,0 days 00:36:31.317000,0 days 00:37:00.444000,0 days 00:37:28.578000,,322,313,341,FALSE,SUPERSOFT,14,FALSE,1,0 days 00:36:03.739000,Mercedes,HAM,1,TRUE,31:03.8,22.5,63.7,995.3,FALSE,30.3,199,2.8,13
12,0 days 00:38:53.287000,44,0 days 00:01:24.709000,13,,,0 days 00:00:27.735000,0 days 00:00:28.953000,0 days 00:00:28.021000,0 days 00:37:56.313000,0 days 00:38:25.266000,0 days 00:38:53.287000,,323,314,340,FALSE,SUPERSOFT,15,FALSE,1,0 days 00:37:28.578000,Mercedes,HAM,1,TRUE,32:28.6,22.2,64.9,995.2,FALSE,30.2,183,3.7,13
13,0 days 00:40:17.953000,44,0 days 00:01:24.666000,14,,,0 days 00:00:27.615000,0 days 00:00:28.892000,0 days 00:00:28.159000,0 days 00:39:20.902000,0 days 00:39:49.794000,0 days 00:40:17.953000,,324,314,330,FALSE,SUPERSOFT,16,FALSE,1,0 days 00:38:53.287000,Mercedes,HAM,1,TRUE,33:53.3,22.2,64.6,995.2,FALSE,30.1,192,3.3,13
14,0 days 00:41:42.700000,44,0 days 00:01:24.747000,15,,,0 days 00:00:27.651000,0 days 00:00:29.027000,0 days 00:00:28.069000,0 days 00:40:45.604000,0 days 00:41:14.631000,0 days 00:41:42.700000,315,321,313,334,FALSE,SUPERSOFT,17,FALSE,1,0 days 00:40:17.953000,Mercedes,HAM,1,TRUE,35:18.0,22.1,64.8,995.2,FALSE,30.1,191,3.1,13
15,0 days 00:43:07.374000,44,0 days 00:01:24.674000,16,,,0 days 00:00:27.689000,0 days 00:00:28.974000,0 days 00:00:28.011000,0 days 00:42:10.389000,0 days 00:42:39.363000,0 days 00:43:07.374000,316,326,314,331,FALSE,SUPERSOFT,18,FALSE,1,0 days 00:41:42.700000,Mercedes,HAM,1,TRUE,36:42.7,22.2,64.9,995.1,FALSE,30.2,176,2.2,13
16,0 days 00:44:31.919000,44,0 days 00:01:24.545000,17,,,0 days 00:00:27.733000,0 days 00:00:28.809000,0 days 00:00:28.003000,0 days 00:43:35.107000,0 days 00:44:03.916000,0 days 00:44:31.919000,,332,315,335,FALSE,SUPERSOFT,19,FALSE,1,0 days 00:43:07.374000,Mercedes,HAM,1,TRUE,38:07.4,22.4,63.9,995.2,FALSE,30.4,18,2.1,13
17,0 days 00:45:56.744000,44,0 days 00:01:24.825000,18,,,0 days 00:00:27.621000,0 days 00:00:28.990000,0 days 00:00:28.214000,0 days 00:44:59.540000,0 days 00:45:28.530000,0 days 00:45:56.744000,,331,314,340,FALSE,SUPERSOFT,20,FALSE,1,0 days 00:44:31.919000,Mercedes,HAM,1,TRUE,39:31.9,22.4,64.2,995.1,FALSE,30.1,194,2.6,13
