,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:20:06.617000,44,,1,0 days 00:00:05.627000,,,0 days 00:00:42.032000,0 days 00:00:18.095000,,0 days 00:19:48.544000,0 days 00:20:06.714000,279,306,262,296,FALSE,,,,,0 days 00:18:31.869000,Mercedes,HAM,1,FALSE,13:32.0,28.7,48.9,1008.2,FALSE,39.3,334,2.4,14
1,0 days 00:21:41.084000,44,0 days 00:01:34.467000,2,,,0 days 00:00:33.750000,0 days 00:00:42.325000,0 days 00:00:18.392000,0 days 00:20:40.367000,0 days 00:21:22.692000,0 days 00:21:41.084000,271,308,261,296,FALSE,,,,,0 days 00:20:06.617000,Mercedes,HAM,1,TRUE,15:06.7,28.5,49.9,1008.2,FALSE,39,330,1.6,14
2,0 days 00:23:16.468000,44,0 days 00:01:35.384000,3,,,0 days 00:00:34.145000,0 days 00:00:42.804000,0 days 00:00:18.435000,0 days 00:22:15.229000,0 days 00:22:58.033000,0 days 00:23:16.468000,272,306,261,295,FALSE,SOFT,4,FALSE,1,0 days 00:21:41.084000,Mercedes,HAM,1,TRUE,16:41.2,28.7,49.3,1008.1,FALSE,39.2,293,1.1,14
3,0 days 00:25:25.851000,44,0 days 00:02:09.383000,4,,,0 days 00:00:41.442000,0 days 00:00:56.041000,0 days 00:00:31.900000,0 days 00:23:57.910000,0 days 00:24:53.951000,0 days 00:25:25.851000,220,216,202,131,FALSE,SOFT,5,FALSE,1,0 days 00:23:16.468000,Mercedes,HAM,4,FALSE,18:16.6,29.2,47.7,1008.1,FALSE,39.1,176,1.1,14
4,0 days 00:27:52.840000,44,0 days 00:02:26.989000,5,,,0 days 00:00:53.187000,0 days 00:01:03.760000,0 days 00:00:30.042000,0 days 00:26:19.038000,0 days 00:27:22.798000,0 days 00:27:52.840000,163,208,137,155,FALSE,SOFT,6,FALSE,1,0 days 00:25:25.851000,Mercedes,HAM,4,FALSE,20:26.0,29.1,48,1008.2,FALSE,38.9,335,1.3,14
5,0 days 00:30:21.065000,44,0 days 00:02:28.225000,6,,,0 days 00:00:57.934000,0 days 00:01:03.358000,0 days 00:00:26.933000,0 days 00:28:50.774000,0 days 00:29:54.132000,0 days 00:30:21.065000,132,273,227,185,FALSE,SOFT,7,FALSE,1,0 days 00:27:52.840000,Mercedes,HAM,4,FALSE,22:53.0,28.9,47.4,1008.2,FALSE,38.3,341,2.8,14
6,0 days 00:32:50.609000,44,0 days 00:02:29.544000,7,,,0 days 00:00:54.539000,0 days 00:01:13.783000,0 days 00:00:21.222000,0 days 00:31:15.604000,0 days 00:32:29.387000,0 days 00:32:50.609000,178,133,262,265,FALSE,SOFT,8,FALSE,1,0 days 00:30:21.065000,Mercedes,HAM,4,FALSE,25:21.2,28.3,49.7,1008.1,FALSE,37.8,343,2.4,14
7,0 days 00:34:25.046000,44,0 days 00:01:34.437000,8,,,0 days 00:00:33.940000,0 days 00:00:42.352000,0 days 00:00:18.145000,0 days 00:33:24.549000,0 days 00:34:06.901000,0 days 00:34:25.046000,280,306,264,296,FALSE,SOFT,9,FALSE,1,0 days 00:32:50.609000,Mercedes,HAM,2,FALSE,27:50.7,28.1,50.7,1008.2,FALSE,37.7,325,1.9,14
8,0 days 00:35:59.392000,44,0 days 00:01:34.346000,9,,,0 days 00:00:33.848000,0 days 00:00:42.318000,0 days 00:00:18.180000,0 days 00:34:58.894000,0 days 00:35:41.212000,0 days 00:35:59.392000,272,307,263,298,FALSE,SOFT,10,FALSE,1,0 days 00:34:25.046000,Mercedes,HAM,1,TRUE,29:25.2,28.4,50.1,1008.2,FALSE,38,326,1.9,14
9,0 days 00:37:33.910000,44,0 days 00:01:34.518000,10,,,0 days 00:00:33.943000,0 days 00:00:42.355000,0 days 00:00:18.220000,0 days 00:36:33.335000,0 days 00:37:15.690000,0 days 00:37:33.910000,271,307,264,293,FALSE,SOFT,11,FALSE,1,0 days 00:35:59.392000,Mercedes,HAM,1,TRUE,30:59.5,28.4,49.9,1008.2,FALSE,37.7,314,1.6,14
