,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:34:21.946000,33,,1,0 days 00:00:05.915000,,,0 days 00:00:31.201000,0 days 00:00:20.741000,,0 days 00:34:01.236000,0 days 00:34:22.046000,292,278,248,310,FALSE,ULTRASOFT,4,FALSE,1,0 days 00:32:58.703000,Red Bull Racing,VER,1,FALSE,12:58.8,19.6,52.9,784.7,FALSE,32.7,290,1.6,15
1,0 days 00:35:42.905000,33,0 days 00:01:20.959000,2,,,0 days 00:00:29.192000,0 days 00:00:31.076000,0 days 00:00:20.691000,0 days 00:34:51.138000,0 days 00:35:22.214000,0 days 00:35:42.905000,291,278,247,320,FALSE,ULTRASOFT,5,FALSE,1,0 days 00:34:21.946000,Red Bull Racing,VER,1,TRUE,14:22.0,19.2,54.2,784.7,FALSE,32.8,271,1.8,15
2,0 days 00:37:03.996000,33,0 days 00:01:21.091000,3,,,0 days 00:00:28.851000,0 days 00:00:31.336000,0 days 00:00:20.904000,0 days 00:36:11.756000,0 days 00:36:43.092000,0 days 00:37:03.996000,282,277,246,318,FALSE,ULTRASOFT,6,FALSE,1,0 days 00:35:42.905000,Red Bull Racing,VER,1,TRUE,15:43.0,19.4,53.2,784.7,FALSE,33.1,83,0.6,15
3,0 days 00:38:25.158000,33,0 days 00:01:21.162000,4,,,0 days 00:00:28.895000,0 days 00:00:31.335000,0 days 00:00:20.932000,0 days 00:37:32.891000,0 days 00:38:04.226000,0 days 00:38:25.158000,280,279,246,317,FALSE,ULTRASOFT,7,FALSE,1,0 days 00:37:03.996000,Red Bull Racing,VER,1,TRUE,17:04.1,19.3,53.4,784.6,FALSE,33.1,189,1,15
4,0 days 00:40:03.859000,33,0 days 00:01:38.701000,5,,,0 days 00:00:28.924000,0 days 00:00:43.290000,0 days 00:00:26.487000,0 days 00:38:54.082000,0 days 00:39:37.372000,0 days 00:40:03.859000,277,195,182,318,FALSE,ULTRASOFT,8,FALSE,1,0 days 00:38:25.158000,Red Bull Racing,VER,267,FALSE,18:25.3,19.5,52.8,784.6,FALSE,33.4,273,1.9,15
5,0 days 00:41:27.324000,33,0 days 00:01:23.465000,6,,,0 days 00:00:31.327000,0 days 00:00:31.302000,0 days 00:00:20.836000,0 days 00:40:35.186000,0 days 00:41:06.488000,0 days 00:41:27.324000,279,278,247,310,FALSE,ULTRASOFT,9,FALSE,1,0 days 00:40:03.859000,Red Bull Racing,VER,7,FALSE,20:04.0,19.5,52.8,784.6,FALSE,33.4,273,1.9,15
6,0 days 00:42:48.501000,33,0 days 00:01:21.177000,7,,,0 days 00:00:28.855000,0 days 00:00:31.303000,0 days 00:00:21.019000,0 days 00:41:56.179000,0 days 00:42:27.482000,0 days 00:42:48.501000,281,277,246,321,FALSE,ULTRASOFT,10,FALSE,1,0 days 00:41:27.324000,Red Bull Racing,VER,1,TRUE,21:27.4,19.5,52.8,784.6,FALSE,33.4,273,1.9,15
7,0 days 00:44:09.424000,33,0 days 00:01:20.923000,8,,,0 days 00:00:28.820000,0 days 00:00:31.287000,0 days 00:00:20.816000,0 days 00:43:17.321000,0 days 00:43:48.608000,0 days 00:44:09.424000,282,277,246,,FALSE,ULTRASOFT,11,FALSE,1,0 days 00:42:48.501000,Red Bull Racing,VER,1,TRUE,22:48.6,19.5,52.8,784.6,FALSE,33.4,273,1.9,15
8,0 days 00:45:30.673000,33,0 days 00:01:21.249000,9,,,0 days 00:00:28.901000,0 days 00:00:31.276000,0 days 00:00:21.072000,0 days 00:44:38.325000,0 days 00:45:09.601000,0 days 00:45:30.673000,,278,246,,FALSE,ULTRASOFT,12,FALSE,1,0 days 00:44:09.424000,Red Bull Racing,VER,1,TRUE,24:09.5,19.5,52.8,784.6,FALSE,33.4,273,1.9,15
9,0 days 00:46:52.307000,33,0 days 00:01:21.634000,10,,,0 days 00:00:29.008000,0 days 00:00:31.551000,0 days 00:00:21.075000,0 days 00:45:59.681000,0 days 00:46:31.232000,0 days 00:46:52.307000,281,277,246,322,FALSE,ULTRASOFT,13,FALSE,1,0 days 00:45:30.673000,Red Bull Racing,VER,1,TRUE,25:30.8,19.5,52.8,784.6,FALSE,33.4,273,1.9,15
