,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:20:15.616000,44,,1,0 days 00:00:05.591000,,,0 days 00:00:34.767000,0 days 00:00:29.295000,,0 days 00:19:46.360000,0 days 00:20:15.692000,255,315,157,311,FALSE,,,,,0 days 00:18:33.680000,Mercedes,HAM,2,FALSE,13:33.7,25.1,56.2,1016.7,FALSE,29.8,153,1.9,17
1,0 days 00:21:55.748000,44,0 days 00:01:40.132000,2,,,0 days 00:00:35.884000,0 days 00:00:34.653000,0 days 00:00:29.595000,0 days 00:20:51.500000,0 days 00:21:26.153000,0 days 00:21:55.748000,243,309,159,296,FALSE,ULTRASOFT,4,FALSE,1,0 days 00:20:15.616000,Mercedes,HAM,1,TRUE,15:15.7,24.9,55,1016.6,FALSE,28.8,42,1.7,17
2,0 days 00:23:35.664000,44,0 days 00:01:39.916000,3,,,0 days 00:00:35.784000,0 days 00:00:34.589000,0 days 00:00:29.543000,0 days 00:22:31.532000,0 days 00:23:06.121000,0 days 00:23:35.664000,251,309,155,294,FALSE,ULTRASOFT,5,FALSE,1,0 days 00:21:55.748000,Mercedes,HAM,1,TRUE,16:55.8,25,55.6,1016.7,FALSE,29.1,3,1.8,17
3,0 days 00:25:15.434000,44,0 days 00:01:39.770000,4,,,0 days 00:00:35.681000,0 days 00:00:34.547000,0 days 00:00:29.542000,0 days 00:24:11.345000,0 days 00:24:45.892000,0 days 00:25:15.434000,249,306,157,293,FALSE,ULTRASOFT,6,FALSE,1,0 days 00:23:35.664000,Mercedes,HAM,2,TRUE,18:35.7,25.2,57.4,1016.6,FALSE,29.4,33,1.6,17
4,0 days 00:26:55.560000,44,0 days 00:01:40.126000,5,,,0 days 00:00:35.988000,0 days 00:00:34.585000,0 days 00:00:29.553000,0 days 00:25:51.422000,0 days 00:26:26.007000,0 days 00:26:55.560000,250,309,159,295,FALSE,ULTRASOFT,7,FALSE,1,0 days 00:25:15.434000,Mercedes,HAM,1,TRUE,20:15.5,25.4,56.4,1016.6,FALSE,29.4,134,1.3,17
5,0 days 00:28:35.304000,44,0 days 00:01:39.744000,6,,,0 days 00:00:35.615000,0 days 00:00:34.593000,0 days 00:00:29.536000,0 days 00:27:31.175000,0 days 00:28:05.768000,0 days 00:28:35.304000,249,308,158,300,FALSE,ULTRASOFT,8,FALSE,1,0 days 00:26:55.560000,Mercedes,HAM,1,TRUE,21:55.6,25.3,56.6,1016.5,FALSE,29,74,1,17
6,0 days 00:30:14.960000,44,0 days 00:01:39.656000,7,,,0 days 00:00:35.589000,0 days 00:00:34.439000,0 days 00:00:29.628000,0 days 00:29:10.893000,0 days 00:29:45.332000,0 days 00:30:14.960000,254,307,157,301,FALSE,ULTRASOFT,9,FALSE,1,0 days 00:28:35.304000,Mercedes,HAM,1,TRUE,23:35.3,25.6,55.6,1016.4,FALSE,30.1,49,1,17
7,0 days 00:31:54.789000,44,0 days 00:01:39.829000,8,,,0 days 00:00:35.541000,0 days 00:00:34.582000,0 days 00:00:29.706000,0 days 00:30:50.501000,0 days 00:31:25.083000,0 days 00:31:54.789000,256,309,159,297,FALSE,ULTRASOFT,10,FALSE,1,0 days 00:30:14.960000,Mercedes,HAM,1,TRUE,25:15.0,25.7,54.2,1016.5,FALSE,30.3,179,1.5,17
8,0 days 00:33:35.015000,44,0 days 00:01:40.226000,9,,,0 days 00:00:35.694000,0 days 00:00:34.656000,0 days 00:00:29.876000,0 days 00:32:30.483000,0 days 00:33:05.139000,0 days 00:33:35.015000,255,310,152,299,FALSE,ULTRASOFT,11,FALSE,1,0 days 00:31:54.789000,Mercedes,HAM,1,TRUE,26:54.8,25.6,53.9,1016.5,FALSE,30.7,80,2,17
9,0 days 00:35:15.364000,44,0 days 00:01:40.349000,10,,,0 days 00:00:35.640000,0 days 00:00:34.741000,0 days 00:00:29.968000,0 days 00:34:10.655000,0 days 00:34:45.396000,0 days 00:35:15.364000,262,308,159,290,FALSE,ULTRASOFT,12,FALSE,1,0 days 00:33:35.015000,Mercedes,HAM,1,TRUE,28:35.1,25.7,53.6,1016.5,FALSE,31.1,37,1.4,17
10,0 days 00:36:55.656000,44,0 days 00:01:40.292000,11,,,0 days 00:00:35.539000,0 days 00:00:34.672000,0 days 00:00:30.081000,0 days 00:35:50.903000,0 days 00:36:25.575000,0 days 00:36:55.656000,254,308,156,299,FALSE,ULTRASOFT,13,FALSE,1,0 days 00:35:15.364000,Mercedes,HAM,1,TRUE,30:15.4,25.9,55.2,1016.5,FALSE,31.5,166,0.7,17
11,0 days 00:38:35.668000,44,0 days 00:01:40.012000,12,,,0 days 00:00:35.519000,0 days 00:00:34.572000,0 days 00:00:29.921000,0 days 00:37:31.175000,0 days 00:38:05.747000,0 days 00:38:35.668000,251,305,162,303,FALSE,ULTRASOFT,14,FALSE,1,0 days 00:36:55.656000,Mercedes,HAM,1,TRUE,31:55.7,26,57,1016.5,FALSE,31.3,161,1.6,17
12,0 days 00:40:15.221000,44,0 days 00:01:39.553000,13,,,0 days 00:00:35.337000,0 days 00:00:34.218000,0 days 00:00:29.998000,0 days 00:39:11.005000,0 days 00:39:45.223000,0 days 00:40:15.221000,265,316,157,299,FALSE,ULTRASOFT,15,FALSE,1,0 days 00:38:35.668000,Mercedes,HAM,1,TRUE,33:35.7,25.6,62.1,1016.6,FALSE,30.9,165,2.5,17
13,0 days 00:41:59.838000,44,0 days 00:01:44.617000,14,,0 days 00:41:51.684000,0 days 00:00:35.685000,0 days 00:00:34.337000,0 days 00:00:34.595000,0 days 00:40:50.906000,0 days 00:41:25.243000,0 days 00:41:59.838000,259,313,,312,FALSE,ULTRASOFT,16,FALSE,1,0 days 00:40:15.221000,Mercedes,HAM,1,FALSE,35:15.3,25.5,62.9,1016.5,FALSE,31,179,3.1,17
14,0 days 00:43:59.499000,44,0 days 00:01:59.661000,15,0 days 00:42:21.270000,,0 days 00:00:55.737000,0 days 00:00:34.280000,0 days 00:00:29.644000,0 days 00:42:55.575000,0 days 00:43:29.855000,0 days 00:43:59.499000,251,327,157,303,FALSE,SOFT,1,TRUE,2,0 days 00:41:59.838000,Mercedes,HAM,1,FALSE,36:59.9,25.2,63.5,1016.6,FALSE,30.8,184,2.7,17
15,0 days 00:45:39.115000,44,0 days 00:01:39.616000,16,,,0 days 00:00:36.116000,0 days 00:00:34.383000,0 days 00:00:29.117000,0 days 00:44:35.615000,0 days 00:45:09.998000,0 days 00:45:39.115000,253,308,162,314,FALSE,SOFT,2,TRUE,2,0 days 00:43:59.499000,Mercedes,HAM,1,TRUE,38:59.5,25.3,63.1,1016.6,FALSE,31.1,161,2.7,17
