,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:35:17.581000,7,,1,0 days 00:00:04.011000,,,0 days 00:00:39.399000,0 days 00:00:33.028000,,0 days 00:34:44.906000,0 days 00:35:17.712000,218,183,204,309,FALSE,ULTRASOFT,4,FALSE,1,0 days 00:33:38.006000,Ferrari,RAI,2,FALSE,13:38.1,21.3,39.1,1006.6,FALSE,29.3,83,2.2,20
1,0 days 00:36:57.949000,7,0 days 00:01:40.368000,2,,,0 days 00:00:26.779000,0 days 00:00:40.066000,0 days 00:00:33.523000,0 days 00:35:44.360000,0 days 00:36:24.426000,0 days 00:36:57.949000,,180,201,304,FALSE,ULTRASOFT,5,FALSE,1,0 days 00:35:17.581000,Ferrari,RAI,1,TRUE,15:17.6,21.1,38.6,1006.5,FALSE,29.5,89,1.9,20
2,0 days 00:38:38.341000,7,0 days 00:01:40.392000,3,,,0 days 00:00:27.058000,0 days 00:00:40.001000,0 days 00:00:33.333000,0 days 00:37:25.007000,0 days 00:38:05.008000,0 days 00:38:38.341000,,184,204,304,FALSE,ULTRASOFT,6,FALSE,1,0 days 00:36:57.949000,Ferrari,RAI,2,TRUE,16:58.0,21,40.2,1006.4,FALSE,29.7,121,3.3,20
3,0 days 00:40:19.308000,7,0 days 00:01:40.967000,4,,,0 days 00:00:26.881000,0 days 00:00:40.182000,0 days 00:00:33.904000,0 days 00:39:05.222000,0 days 00:39:45.404000,0 days 00:40:19.308000,217,183,201,304,FALSE,ULTRASOFT,7,FALSE,1,0 days 00:38:38.341000,Ferrari,RAI,1,TRUE,18:38.4,21.2,39.5,1006.4,FALSE,29.7,86,2.4,20
4,0 days 00:41:59.434000,7,0 days 00:01:40.126000,5,,,0 days 00:00:27.061000,0 days 00:00:39.881000,0 days 00:00:33.184000,0 days 00:40:46.369000,0 days 00:41:26.250000,0 days 00:41:59.434000,218,185,204,305,FALSE,ULTRASOFT,8,FALSE,1,0 days 00:40:19.308000,Ferrari,RAI,1,TRUE,20:19.4,21.5,39.5,1006.3,FALSE,30.2,82,2.8,20
5,0 days 00:43:39.685000,7,0 days 00:01:40.251000,6,,,0 days 00:00:26.815000,0 days 00:00:40.022000,0 days 00:00:33.414000,0 days 00:42:26.249000,0 days 00:43:06.271000,0 days 00:43:39.685000,220,186,203,307,FALSE,ULTRASOFT,9,FALSE,1,0 days 00:41:59.434000,Ferrari,RAI,1,TRUE,21:59.5,21.8,39.5,1006.3,FALSE,30.3,87,3,20
6,0 days 00:45:20.219000,7,0 days 00:01:40.534000,7,,,0 days 00:00:26.822000,0 days 00:00:40.203000,0 days 00:00:33.509000,0 days 00:44:06.507000,0 days 00:44:46.710000,0 days 00:45:20.219000,219,185,202,305,FALSE,ULTRASOFT,10,FALSE,1,0 days 00:43:39.685000,Ferrari,RAI,1,TRUE,23:39.7,21.8,38.7,1006.3,FALSE,30.5,89,2.7,20
7,0 days 00:47:01.455000,7,0 days 00:01:41.236000,8,,,0 days 00:00:27.262000,0 days 00:00:40.243000,0 days 00:00:33.731000,0 days 00:45:47.481000,0 days 00:46:27.724000,0 days 00:47:01.455000,218,185,204,305,FALSE,ULTRASOFT,11,FALSE,1,0 days 00:45:20.219000,Ferrari,RAI,1,TRUE,25:20.3,21.7,38.3,1006.2,FALSE,30.3,99,2.2,20
8,0 days 00:48:42.474000,7,0 days 00:01:41.019000,9,,,0 days 00:00:27.181000,0 days 00:00:40.207000,0 days 00:00:33.631000,0 days 00:47:28.636000,0 days 00:48:08.843000,0 days 00:48:42.474000,213,187,204,299,FALSE,ULTRASOFT,12,FALSE,1,0 days 00:47:01.455000,Ferrari,RAI,2,TRUE,27:01.5,21.7,37.9,1006.1,FALSE,30.2,97,2.1,20
9,0 days 00:50:23.297000,7,0 days 00:01:40.823000,10,,,0 days 00:00:26.861000,0 days 00:00:40.420000,0 days 00:00:33.542000,0 days 00:49:09.335000,0 days 00:49:49.755000,0 days 00:50:23.297000,221,186,204,304,FALSE,ULTRASOFT,13,FALSE,1,0 days 00:48:42.474000,Ferrari,RAI,2,TRUE,28:42.5,21.6,38.1,1006.2,FALSE,30.4,107,2.2,20
