,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:35:15.764000,44,,1,0 days 00:00:04.732000,,,0 days 00:00:43.430000,0 days 00:00:40.714000,,0 days 00:34:35.110000,0 days 00:35:15.912000,279,289,219,293,FALSE,MEDIUM,4,FALSE,1,0 days 00:33:31.194000,Mercedes,HAM,2,FALSE,13:31.4,26.4,60.4,1015.2,FALSE,30.7,218,1.4,21
1,0 days 00:36:58.504000,44,0 days 00:01:42.740000,2,,,0 days 00:00:18.140000,0 days 00:00:43.937000,0 days 00:00:40.663000,0 days 00:35:33.904000,0 days 00:36:17.841000,0 days 00:36:58.504000,269,273,217,286,FALSE,MEDIUM,5,FALSE,1,0 days 00:35:15.764000,Mercedes,HAM,1,TRUE,15:16.0,26.4,59.9,1015,FALSE,30.5,185,1.5,21
2,0 days 00:38:41.007000,44,0 days 00:01:42.503000,3,,,0 days 00:00:18.213000,0 days 00:00:43.681000,0 days 00:00:40.609000,0 days 00:37:16.717000,0 days 00:38:00.398000,0 days 00:38:41.007000,271,280,216,291,FALSE,MEDIUM,6,FALSE,1,0 days 00:36:58.504000,Mercedes,HAM,1,TRUE,16:58.7,26.4,60.7,1015,FALSE,30.6,235,1.9,21
3,0 days 00:40:23.923000,44,0 days 00:01:42.916000,4,,,0 days 00:00:18.293000,0 days 00:00:43.899000,0 days 00:00:40.724000,0 days 00:38:59.300000,0 days 00:39:43.199000,0 days 00:40:23.923000,267,279,216,287,FALSE,MEDIUM,7,FALSE,1,0 days 00:38:41.007000,Mercedes,HAM,1,TRUE,18:41.2,26.4,60.7,1015,FALSE,30.3,156,1.5,21
4,0 days 00:42:07.053000,44,0 days 00:01:43.130000,5,,,0 days 00:00:18.129000,0 days 00:00:43.867000,0 days 00:00:41.134000,0 days 00:40:42.052000,0 days 00:41:25.919000,0 days 00:42:07.053000,273,286,218,296,FALSE,MEDIUM,8,FALSE,1,0 days 00:40:23.923000,Mercedes,HAM,1,TRUE,20:24.1,26.5,61.8,1015,FALSE,30.3,94,0.9,21
5,0 days 00:43:49.911000,44,0 days 00:01:42.858000,6,,,0 days 00:00:18.138000,0 days 00:00:43.956000,0 days 00:00:40.764000,0 days 00:42:25.191000,0 days 00:43:09.147000,0 days 00:43:49.911000,271,279,217,291,FALSE,MEDIUM,9,FALSE,1,0 days 00:42:07.053000,Mercedes,HAM,1,TRUE,22:07.3,26.5,61.8,1015.1,FALSE,30.2,198,1.5,21
6,0 days 00:45:32.792000,44,0 days 00:01:42.881000,7,,,0 days 00:00:18.224000,0 days 00:00:43.978000,0 days 00:00:40.679000,0 days 00:44:08.135000,0 days 00:44:52.113000,0 days 00:45:32.792000,,280,217,288,FALSE,MEDIUM,10,FALSE,1,0 days 00:43:49.911000,Mercedes,HAM,1,TRUE,23:50.1,26.3,61.9,1015,FALSE,30.8,264,0.7,21
7,0 days 00:47:15.525000,44,0 days 00:01:42.733000,8,,,,0 days 00:00:44.056000,0 days 00:00:40.453000,,0 days 00:46:35.118000,0 days 00:47:15.656000,,280,217,284,FALSE,MEDIUM,11,FALSE,1,0 days 00:45:32.792000,Mercedes,HAM,1,FALSE,25:33.0,26.4,62.3,1015.1,FALSE,30.3,163,1.6,21
8,0 days 00:48:58.399000,44,0 days 00:01:42.874000,9,,,0 days 00:00:18.053000,0 days 00:00:44.144000,0 days 00:00:40.677000,0 days 00:47:33.578000,0 days 00:48:17.722000,0 days 00:48:58.399000,270,280,217,288,FALSE,MEDIUM,12,FALSE,1,0 days 00:47:15.525000,Mercedes,HAM,1,TRUE,27:15.7,26.4,61.9,1015.1,FALSE,30.5,136,0.7,21
9,0 days 00:50:41.306000,44,0 days 00:01:42.907000,10,,,0 days 00:00:18.148000,0 days 00:00:44.096000,0 days 00:00:40.663000,0 days 00:49:16.547000,0 days 00:50:00.643000,0 days 00:50:41.306000,271,280,217,290,FALSE,MEDIUM,13,FALSE,1,0 days 00:48:58.399000,Mercedes,HAM,1,TRUE,28:58.6,26.1,62.6,1015.1,FALSE,30.2,224,0.9,21
10,0 days 00:52:24.085000,44,0 days 00:01:42.779000,11,,,0 days 00:00:18.081000,0 days 00:00:44.061000,0 days 00:00:40.637000,0 days 00:50:59.387000,0 days 00:51:43.448000,0 days 00:52:24.085000,274,281,216,291,FALSE,MEDIUM,14,FALSE,1,0 days 00:50:41.306000,Mercedes,HAM,1,TRUE,30:41.5,26.1,62.9,1015.2,FALSE,30.2,178,0.9,21
11,0 days 00:54:07.152000,44,0 days 00:01:43.067000,12,,,0 days 00:00:18.125000,0 days 00:00:44.127000,0 days 00:00:40.815000,0 days 00:52:42.210000,0 days 00:53:26.337000,0 days 00:54:07.152000,272,279,217,289,FALSE,MEDIUM,15,FALSE,1,0 days 00:52:24.085000,Mercedes,HAM,1,TRUE,32:24.3,26.1,62.8,1015.3,FALSE,29.9,267,1,21
12,0 days 00:55:49.772000,44,0 days 00:01:42.620000,13,,,0 days 00:00:18.081000,0 days 00:00:43.951000,0 days 00:00:40.588000,0 days 00:54:25.233000,0 days 00:55:09.184000,0 days 00:55:49.772000,273,283,216,289,FALSE,MEDIUM,16,FALSE,1,0 days 00:54:07.152000,Mercedes,HAM,1,TRUE,34:07.4,26.1,64,1015.2,FALSE,30,229,1.4,21
13,0 days 00:57:32.307000,44,0 days 00:01:42.535000,14,,,0 days 00:00:17.943000,0 days 00:00:43.991000,0 days 00:00:40.601000,0 days 00:56:07.715000,0 days 00:56:51.706000,0 days 00:57:32.307000,,284,217,289,FALSE,MEDIUM,17,FALSE,1,0 days 00:55:49.772000,Mercedes,HAM,1,TRUE,35:50.0,26.1,64,1015.2,FALSE,30.1,258,1,21
14,0 days 00:59:14.751000,44,0 days 00:01:42.444000,15,,,0 days 00:00:17.874000,0 days 00:00:44.089000,0 days 00:00:40.481000,0 days 00:57:50.181000,0 days 00:58:34.270000,0 days 00:59:14.751000,277,287,217,289,FALSE,MEDIUM,18,FALSE,1,0 days 00:57:32.307000,Mercedes,HAM,1,TRUE,37:32.5,26.1,64.2,1015.3,FALSE,30,199,1.2,21
15,0 days 01:00:57.043000,44,0 days 00:01:42.292000,16,,,0 days 00:00:17.898000,0 days 00:00:43.926000,0 days 00:00:40.468000,0 days 00:59:32.649000,0 days 01:00:16.575000,0 days 01:00:57.043000,274,285,218,290,FALSE,MEDIUM,19,FALSE,1,0 days 00:59:14.751000,Mercedes,HAM,1,TRUE,39:15.0,26.1,64.5,1015.2,FALSE,30,212,1.2,21
16,0 days 01:02:39.517000,44,0 days 00:01:42.474000,17,,,0 days 00:00:17.912000,0 days 00:00:44.050000,0 days 00:00:40.512000,0 days 01:01:14.955000,0 days 01:01:59.005000,0 days 01:02:39.517000,275,285,217,292,FALSE,MEDIUM,20,FALSE,1,0 days 01:00:57.043000,Mercedes,HAM,1,TRUE,40:57.2,26.1,64.7,1015.3,FALSE,30.2,228,1.1,21
17,0 days 01:04:21.927000,44,0 days 00:01:42.410000,18,,,0 days 00:00:17.950000,0 days 00:00:43.942000,0 days 00:00:40.518000,0 days 01:02:57.467000,0 days 01:03:41.409000,0 days 01:04:21.927000,274,286,217,290,FALSE,MEDIUM,21,FALSE,1,0 days 01:02:39.517000,Mercedes,HAM,1,TRUE,42:39.7,26,65.2,1015.3,FALSE,29.9,248,1.1,21
18,0 days 01:06:04.156000,44,0 days 00:01:42.229000,19,,,0 days 00:00:17.881000,0 days 00:00:43.903000,0 days 00:00:40.445000,0 days 01:04:39.808000,0 days 01:05:23.711000,0 days 01:06:04.156000,276,287,217,294,FALSE,MEDIUM,22,FALSE,1,0 days 01:04:21.927000,Mercedes,HAM,1,TRUE,44:22.1,26,65.6,1015.3,FALSE,29.6,233,1.3,21
19,0 days 01:07:46.813000,44,0 days 00:01:42.657000,20,,,0 days 00:00:17.887000,0 days 00:00:43.880000,0 days 00:00:40.890000,0 days 01:06:22.043000,0 days 01:07:05.923000,0 days 01:07:46.813000,275,288,217,294,FALSE,MEDIUM,23,FALSE,1,0 days 01:06:04.156000,Mercedes,HAM,1,TRUE,46:04.4,25.9,65.9,1015.4,FALSE,29.4,260,1.3,21
20,0 days 01:09:30.493000,44,0 days 00:01:43.680000,21,,,0 days 00:00:17.838000,0 days 00:00:44.066000,0 days 00:00:41.776000,0 days 01:08:04.651000,0 days 01:08:48.717000,0 days 01:09:30.493000,277,293,215,296,FALSE,MEDIUM,24,FALSE,1,0 days 01:07:46.813000,Mercedes,HAM,1,TRUE,47:47.0,25.9,66.2,1015.4,FALSE,29.6,235,1.4,21
