,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:35:06.798000,77,,1,0 days 00:00:07.056000,,,0 days 00:00:23.615000,0 days 00:00:35.507000,,0 days 00:34:31.449000,0 days 00:35:06.857000,271,279,281,242,FALSE,SOFT,4,FALSE,1,0 days 00:33:32.727000,Mercedes,BOT,2,FALSE,13:33.0,23.7,70.3,1015.4,FALSE,43.6,176,1.4,1
1,0 days 00:36:36.460000,77,0 days 00:01:29.662000,2,,,0 days 00:00:30.155000,0 days 00:00:23.778000,0 days 00:00:35.729000,0 days 00:35:36.953000,0 days 00:36:00.731000,0 days 00:36:36.460000,262,274,281,289,FALSE,SOFT,5,FALSE,1,0 days 00:35:06.798000,Mercedes,BOT,1,TRUE,15:07.1,23.6,69.7,1015.5,FALSE,43.5,158,1.2,1
2,0 days 00:38:05.706000,77,0 days 00:01:29.246000,3,,,0 days 00:00:29.808000,0 days 00:00:23.702000,0 days 00:00:35.736000,0 days 00:37:06.268000,0 days 00:37:29.970000,0 days 00:38:05.706000,261,271,282,283,FALSE,SOFT,6,FALSE,1,0 days 00:36:36.460000,Mercedes,BOT,1,TRUE,16:36.8,23.5,70.5,1015.4,FALSE,43.4,68,1.3,1
3,0 days 00:39:34.347000,77,0 days 00:01:28.641000,4,,,0 days 00:00:29.564000,0 days 00:00:23.568000,0 days 00:00:35.509000,0 days 00:38:35.270000,0 days 00:38:58.838000,0 days 00:39:34.347000,266,275,282,291,FALSE,SOFT,7,FALSE,1,0 days 00:38:05.706000,Mercedes,BOT,1,TRUE,18:06.0,23.6,70.3,1015.4,FALSE,43.4,194,0.8,1
4,0 days 00:41:03.106000,77,0 days 00:01:28.759000,5,,,0 days 00:00:29.504000,0 days 00:00:23.798000,0 days 00:00:35.457000,0 days 00:40:03.851000,0 days 00:40:27.649000,0 days 00:41:03.106000,,,282,285,FALSE,SOFT,8,FALSE,1,0 days 00:39:34.347000,Mercedes,BOT,1,TRUE,19:34.6,23.7,69.1,1015.4,FALSE,43,149,1.2,1
5,0 days 00:42:32.140000,77,0 days 00:01:29.034000,6,,,0 days 00:00:29.782000,0 days 00:00:23.747000,0 days 00:00:35.505000,0 days 00:41:32.888000,0 days 00:41:56.635000,0 days 00:42:32.140000,265,275,281,291,FALSE,SOFT,9,FALSE,1,0 days 00:41:03.106000,Mercedes,BOT,1,TRUE,21:03.4,23.6,69.4,1015.3,FALSE,43,184,1.6,1
6,0 days 00:44:00.923000,77,0 days 00:01:28.783000,7,,,0 days 00:00:29.606000,0 days 00:00:23.601000,0 days 00:00:35.576000,0 days 00:43:01.746000,0 days 00:43:25.347000,0 days 00:44:00.923000,266,277,282,290,FALSE,SOFT,10,FALSE,1,0 days 00:42:32.140000,Mercedes,BOT,1,TRUE,22:32.4,23.4,70.8,1015.3,FALSE,42.9,0,1.4,1
7,0 days 00:45:29.574000,77,0 days 00:01:28.651000,8,,,0 days 00:00:29.703000,0 days 00:00:23.574000,0 days 00:00:35.374000,0 days 00:44:30.626000,0 days 00:44:54.200000,0 days 00:45:29.574000,,279,283,293,FALSE,SOFT,11,FALSE,1,0 days 00:44:00.923000,Mercedes,BOT,1,TRUE,24:01.2,23.4,70.8,1015.3,FALSE,42.5,193,1,1
8,0 days 00:46:58.238000,77,0 days 00:01:28.664000,9,,,0 days 00:00:29.655000,0 days 00:00:23.646000,0 days 00:00:35.363000,0 days 00:45:59.229000,0 days 00:46:22.875000,0 days 00:46:58.238000,,279,284,289,FALSE,SOFT,12,FALSE,1,0 days 00:45:29.574000,Mercedes,BOT,1,TRUE,25:29.9,23.5,70,1015.3,FALSE,42.8,152,1.7,1
9,0 days 00:48:27.266000,77,0 days 00:01:29.028000,10,,,0 days 00:00:29.769000,0 days 00:00:23.756000,0 days 00:00:35.503000,0 days 00:47:28.007000,0 days 00:47:51.763000,0 days 00:48:27.266000,265,275,282,296,FALSE,SOFT,13,FALSE,1,0 days 00:46:58.238000,Mercedes,BOT,1,TRUE,26:58.5,23.5,69.7,1015.4,FALSE,42.8,198,0.9,1
10,0 days 00:49:56.251000,77,0 days 00:01:28.985000,11,,,0 days 00:00:29.669000,0 days 00:00:23.605000,0 days 00:00:35.711000,0 days 00:48:56.935000,0 days 00:49:20.540000,0 days 00:49:56.251000,,275,282,291,FALSE,SOFT,14,FALSE,1,0 days 00:48:27.266000,Mercedes,BOT,1,TRUE,28:27.6,23.5,70.2,1015.4,FALSE,42.3,184,0.9,1
11,0 days 00:51:24.884000,77,0 days 00:01:28.633000,12,,,0 days 00:00:29.696000,0 days 00:00:23.583000,0 days 00:00:35.354000,0 days 00:50:25.947000,0 days 00:50:49.530000,0 days 00:51:24.884000,266,275,281,287,FALSE,SOFT,15,FALSE,1,0 days 00:49:56.251000,Mercedes,BOT,1,TRUE,29:56.6,23.6,69.8,1015.4,FALSE,42,192,1.1,1
12,0 days 00:52:53.510000,77,0 days 00:01:28.626000,13,,,0 days 00:00:29.579000,0 days 00:00:23.537000,0 days 00:00:35.510000,0 days 00:51:54.463000,0 days 00:52:18,0 days 00:52:53.510000,,275,282,292,FALSE,SOFT,16,FALSE,1,0 days 00:51:24.884000,Mercedes,BOT,1,TRUE,31:25.2,23.4,70.8,1015.3,FALSE,41.5,187,1.4,1
13,0 days 00:54:21.810000,77,0 days 00:01:28.300000,14,,,0 days 00:00:29.549000,0 days 00:00:23.489000,0 days 00:00:35.262000,0 days 00:53:23.059000,0 days 00:53:46.548000,0 days 00:54:21.810000,268,281,283,,FALSE,SOFT,17,FALSE,1,0 days 00:52:53.510000,Mercedes,BOT,1,TRUE,32:53.8,23.3,70.5,1015.3,FALSE,41.9,178,1.7,1
14,0 days 00:55:50.027000,77,0 days 00:01:28.217000,15,,,0 days 00:00:29.598000,0 days 00:00:23.418000,0 days 00:00:35.201000,0 days 00:54:51.408000,0 days 00:55:14.826000,0 days 00:55:50.027000,269,277,283,293,FALSE,SOFT,18,FALSE,1,0 days 00:54:21.810000,Mercedes,BOT,1,TRUE,34:22.1,23.4,69.9,1015.4,FALSE,41.5,200,1.2,1
15,0 days 00:57:18.265000,77,0 days 00:01:28.238000,16,,,0 days 00:00:29.616000,0 days 00:00:23.429000,0 days 00:00:35.193000,0 days 00:56:19.643000,0 days 00:56:43.072000,0 days 00:57:18.265000,268,282,284,290,FALSE,SOFT,19,FALSE,1,0 days 00:55:50.027000,Mercedes,BOT,1,TRUE,35:50.3,23.4,70.5,1015.3,FALSE,41.5,0,1.5,1
