,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:34:09.224000,33,,1,0 days 00:00:08.390000,,,0 days 00:00:32.619000,0 days 00:00:22.277000,,0 days 00:33:46.977000,0 days 00:34:09.394000,312,225,274,314,FALSE,MEDIUM,4,FALSE,1,0 days 00:32:52.408000,Red Bull Racing,VER,1,FALSE,12:52.4,33.9,19.8,941,FALSE,51.2,260,1.2,2
1,0 days 00:35:20.719000,33,0 days 00:01:11.495000,2,,,0 days 00:00:17.950000,0 days 00:00:31.755000,0 days 00:00:21.790000,0 days 00:34:27.174000,0 days 00:34:58.929000,0 days 00:35:20.719000,297,226,272,292,FALSE,MEDIUM,5,FALSE,1,0 days 00:34:09.224000,Red Bull Racing,VER,1,TRUE,14:09.3,33.8,19.1,941,FALSE,51.4,239,1.8,2
2,0 days 00:36:31.718000,33,0 days 00:01:10.999000,3,,,0 days 00:00:17.477000,0 days 00:00:31.601000,0 days 00:00:21.921000,0 days 00:35:38.196000,0 days 00:36:09.797000,0 days 00:36:31.718000,316,229,278,310,FALSE,MEDIUM,6,FALSE,1,0 days 00:35:20.719000,Red Bull Racing,VER,1,TRUE,15:20.7,33.9,19.4,941,FALSE,51.3,14,0.8,2
3,0 days 00:37:42.818000,33,0 days 00:01:11.100000,4,,,0 days 00:00:17.384000,0 days 00:00:31.655000,0 days 00:00:22.061000,0 days 00:36:49.102000,0 days 00:37:20.757000,0 days 00:37:42.818000,309,220,277,303,FALSE,MEDIUM,7,FALSE,1,0 days 00:36:31.718000,Red Bull Racing,VER,1,TRUE,16:31.7,34.1,18.9,941,FALSE,51.3,129,0.7,2
4,0 days 00:38:53.657000,33,0 days 00:01:10.839000,5,,,0 days 00:00:17.175000,0 days 00:00:31.891000,0 days 00:00:21.773000,0 days 00:37:59.993000,0 days 00:38:31.884000,0 days 00:38:53.657000,325,228,280,309,FALSE,MEDIUM,8,FALSE,1,0 days 00:37:42.818000,Red Bull Racing,VER,1,TRUE,17:42.8,34.2,19,940.9,FALSE,51.2,19,1.2,2
5,0 days 00:40:04.093000,33,0 days 00:01:10.436000,6,,,0 days 00:00:17.405000,0 days 00:00:31.538000,0 days 00:00:21.493000,0 days 00:39:11.062000,0 days 00:39:42.600000,0 days 00:40:04.093000,307,227,280,306,FALSE,MEDIUM,9,FALSE,1,0 days 00:38:53.657000,Red Bull Racing,VER,1,TRUE,18:53.7,34.6,18.8,941,FALSE,51.4,10,0.7,2
6,0 days 00:41:13.836000,33,0 days 00:01:09.743000,7,,,0 days 00:00:17.303000,0 days 00:00:31.206000,0 days 00:00:21.234000,0 days 00:40:21.396000,0 days 00:40:52.602000,0 days 00:41:13.836000,316,230,273,304,FALSE,MEDIUM,10,FALSE,1,0 days 00:40:04.093000,Red Bull Racing,VER,1,TRUE,20:04.1,34.7,18.1,940.9,FALSE,51.3,25,0.9,2
7,0 days 00:42:24.410000,33,0 days 00:01:10.574000,8,,,0 days 00:00:17.397000,0 days 00:00:31.332000,0 days 00:00:21.845000,0 days 00:41:31.233000,0 days 00:42:02.565000,0 days 00:42:24.410000,306,228,279,301,FALSE,MEDIUM,11,FALSE,1,0 days 00:41:13.836000,Red Bull Racing,VER,1,TRUE,21:13.9,34.6,18.7,941,FALSE,51.1,274,1.2,2
8,0 days 00:43:34.354000,33,0 days 00:01:09.944000,9,,,0 days 00:00:17.560000,0 days 00:00:31.177000,0 days 00:00:21.207000,0 days 00:42:41.970000,0 days 00:43:13.147000,0 days 00:43:34.354000,,227,273,294,FALSE,MEDIUM,12,FALSE,1,0 days 00:42:24.410000,Red Bull Racing,VER,1,TRUE,22:24.4,34.6,18.5,940.9,FALSE,51.1,56,1.2,2
9,0 days 00:44:44.225000,33,0 days 00:01:09.871000,10,,,0 days 00:00:17.706000,0 days 00:00:31.055000,0 days 00:00:21.110000,0 days 00:43:52.060000,0 days 00:44:23.115000,0 days 00:44:44.225000,281,234,271,281,FALSE,MEDIUM,13,FALSE,1,0 days 00:43:34.354000,Red Bull Racing,VER,1,TRUE,23:34.4,34.9,18.1,940.9,FALSE,51.1,81,1.2,2
