,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:35:28.554000,77,,1,0 days 00:00:04.160000,,,0 days 00:00:42.877000,0 days 00:00:26.101000,,0 days 00:35:02.500000,0 days 00:35:28.716000,215,225,303,307,FALSE,SOFT,4,FALSE,1,0 days 00:33:37.411000,Mercedes,BOT,1,FALSE,13:37.7,20,48.4,1013.9,FALSE,42.4,0,0.8,3
1,0 days 00:37:16.146000,77,0 days 00:01:47.592000,2,,,0 days 00:00:38.172000,0 days 00:00:43.289000,0 days 00:00:26.131000,0 days 00:36:06.726000,0 days 00:36:50.015000,0 days 00:37:16.146000,209,214,301,307,FALSE,SOFT,5,FALSE,1,0 days 00:35:28.554000,Mercedes,BOT,1,TRUE,15:28.8,20.1,48.4,1013.9,FALSE,42.2,201,1.2,3
2,0 days 00:39:03.750000,77,0 days 00:01:47.604000,3,,,0 days 00:00:38.169000,0 days 00:00:43.336000,0 days 00:00:26.099000,0 days 00:37:54.315000,0 days 00:38:37.651000,0 days 00:39:03.750000,206,214,299,307,FALSE,SOFT,6,FALSE,1,0 days 00:37:16.146000,Mercedes,BOT,1,TRUE,17:16.4,20.3,48.1,1013.9,FALSE,42.4,221,0.6,3
3,0 days 00:40:51.448000,77,0 days 00:01:47.698000,4,,,0 days 00:00:38.249000,0 days 00:00:43.365000,0 days 00:00:26.084000,0 days 00:39:41.999000,0 days 00:40:25.364000,0 days 00:40:51.448000,207,226,299,307,FALSE,SOFT,7,FALSE,1,0 days 00:39:03.750000,Mercedes,BOT,1,TRUE,19:04.0,20.3,49.5,1013.8,FALSE,41.8,208,1.1,3
4,0 days 00:42:38.998000,77,0 days 00:01:47.550000,5,,,0 days 00:00:38.168000,0 days 00:00:43.413000,0 days 00:00:25.969000,0 days 00:41:29.616000,0 days 00:42:13.029000,0 days 00:42:38.998000,,225,302,308,FALSE,SOFT,8,FALSE,1,0 days 00:40:51.448000,Mercedes,BOT,1,TRUE,20:51.7,20,49.6,1013.9,FALSE,41.8,218,1.7,3
5,0 days 00:44:26.889000,77,0 days 00:01:47.891000,6,,,0 days 00:00:38.212000,0 days 00:00:43.686000,0 days 00:00:25.993000,0 days 00:43:17.210000,0 days 00:44:00.896000,0 days 00:44:26.889000,212,217,301,306,FALSE,SOFT,9,FALSE,1,0 days 00:42:38.998000,Mercedes,BOT,1,TRUE,22:39.2,20.1,50.4,1013.8,FALSE,41.7,260,0.8,3
6,0 days 00:46:14.981000,77,0 days 00:01:48.092000,7,,,0 days 00:00:38.205000,0 days 00:00:43.742000,0 days 00:00:26.145000,0 days 00:45:05.094000,0 days 00:45:48.836000,0 days 00:46:14.981000,209,216,300,307,FALSE,SOFT,10,FALSE,1,0 days 00:44:26.889000,Mercedes,BOT,1,TRUE,24:27.1,20.1,51.1,1013.9,FALSE,41.3,104,1.4,3
7,0 days 00:48:03.585000,77,0 days 00:01:48.604000,8,,,0 days 00:00:38.439000,0 days 00:00:44.003000,0 days 00:00:26.162000,0 days 00:46:53.420000,0 days 00:47:37.423000,0 days 00:48:03.585000,,224,299,305,FALSE,SOFT,11,FALSE,1,0 days 00:46:14.981000,Mercedes,BOT,1,TRUE,26:15.2,20.1,51.3,1014,FALSE,41.5,244,0.8,3
8,0 days 00:49:52.556000,77,0 days 00:01:48.971000,9,,,0 days 00:00:38.805000,0 days 00:00:43.972000,0 days 00:00:26.194000,0 days 00:48:42.390000,0 days 00:49:26.362000,0 days 00:49:52.556000,202,221,299,306,FALSE,SOFT,12,FALSE,1,0 days 00:48:03.585000,Mercedes,BOT,1,TRUE,28:03.8,20.2,51.7,1014,FALSE,41.3,219,0.9,3
9,0 days 00:51:41.805000,77,0 days 00:01:49.249000,10,,,0 days 00:00:38.902000,0 days 00:00:44.170000,0 days 00:00:26.177000,0 days 00:50:31.458000,0 days 00:51:15.628000,0 days 00:51:41.805000,203,217,303,306,FALSE,SOFT,13,FALSE,1,0 days 00:49:52.556000,Mercedes,BOT,1,TRUE,29:52.8,20,53.3,1013.9,FALSE,41.3,231,1.4,3
