,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:35:44.615000,16,,1,0 days 00:00:07.751000,,,0 days 00:01:02.080000,0 days 00:00:41.784000,,0 days 00:35:02.831000,0 days 00:35:45.064000,318,150,154,304,FALSE,SOFT,4,FALSE,1,0 days 00:33:26.693000,Ferrari,LEC,24,FALSE,13:26.9,16.9,59.2,968.2,FALSE,27,26,2.4,5
1,0 days 00:38:43.880000,16,,2,,,0 days 00:01:01.565000,0 days 00:01:15.830000,0 days 00:00:41.921000,0 days 00:36:46.253000,0 days 00:38:01.959000,0 days 00:38:44.298000,231,179,172,91,FALSE,SOFT,5,FALSE,1,0 days 00:35:44.615000,Ferrari,LEC,4,FALSE,15:44.8,17.2,58,968.2,FALSE,27.7,353,2.1,5
2,0 days 00:41:46.053000,16,,3,,,0 days 00:00:53.749000,0 days 00:01:15.827000,0 days 00:00:52.617000,0 days 00:39:37.664000,0 days 00:40:53.436000,0 days 00:41:46.183000,230,90,166,99,FALSE,SOFT,6,FALSE,1,0 days 00:38:43.880000,Ferrari,LEC,4,FALSE,18:44.1,17.3,56.1,968.1,FALSE,29.2,34,2.9,5
3,0 days 00:44:39.519000,16,,4,,,0 days 00:00:43.045000,0 days 00:01:16.287000,0 days 00:00:54.175000,0 days 00:42:29.143000,0 days 00:43:45.363000,0 days 00:44:39.922000,258,108,220,187,FALSE,SOFT,7,FALSE,1,0 days 00:41:46.053000,Ferrari,LEC,4,FALSE,21:46.3,17.5,55.2,968.2,FALSE,28.5,4,1.9,5
4,0 days 00:46:29.204000,16,0 days 00:01:49.685000,5,,,0 days 00:00:31.398000,0 days 00:00:48.596000,0 days 00:00:29.691000,0 days 00:45:10.917000,0 days 00:45:59.513000,0 days 00:46:29.204000,314,194,218,307,FALSE,SOFT,8,FALSE,1,0 days 00:44:39.519000,Ferrari,LEC,1,FALSE,24:39.7,17.4,56.3,968.2,FALSE,27.8,27,2,5
5,0 days 00:48:18.762000,16,0 days 00:01:49.558000,6,,,0 days 00:00:31.569000,0 days 00:00:48.377000,0 days 00:00:29.612000,0 days 00:47:00.773000,0 days 00:47:49.150000,0 days 00:48:18.762000,309,195,217,306,FALSE,SOFT,9,FALSE,1,0 days 00:46:29.204000,Ferrari,LEC,1,TRUE,26:29.4,17.4,56.7,968.2,FALSE,27.8,340,1.5,5
6,0 days 00:50:08.250000,16,0 days 00:01:49.488000,7,,,0 days 00:00:31.504000,0 days 00:00:48.492000,0 days 00:00:29.492000,0 days 00:48:50.266000,0 days 00:49:38.758000,0 days 00:50:08.250000,314,197,217,307,FALSE,SOFT,10,FALSE,1,0 days 00:48:18.762000,Ferrari,LEC,1,TRUE,28:19.0,17.6,56.9,968.3,FALSE,27.3,319,0.8,5
7,0 days 00:51:57.702000,16,0 days 00:01:49.452000,8,,,0 days 00:00:31.463000,0 days 00:00:48.386000,0 days 00:00:29.603000,0 days 00:50:39.713000,0 days 00:51:28.099000,0 days 00:51:57.702000,315,195,216,309,FALSE,SOFT,11,FALSE,1,0 days 00:50:08.250000,Ferrari,LEC,1,TRUE,30:08.5,17.2,56.8,968.2,FALSE,26.6,222,1.5,5
8,0 days 00:53:47.793000,16,0 days 00:01:50.091000,9,,,0 days 00:00:31.499000,0 days 00:00:49.034000,0 days 00:00:29.558000,0 days 00:52:29.201000,0 days 00:53:18.235000,0 days 00:53:47.793000,316,195,218,308,FALSE,SOFT,12,FALSE,1,0 days 00:51:57.702000,Ferrari,LEC,1,TRUE,31:57.9,17.4,57.5,968.2,FALSE,26.6,1,2.9,5
9,0 days 00:55:37.461000,16,0 days 00:01:49.668000,10,,,0 days 00:00:31.543000,0 days 00:00:48.559000,0 days 00:00:29.566000,0 days 00:54:19.336000,0 days 00:55:07.895000,0 days 00:55:37.461000,312,196,218,307,FALSE,SOFT,13,FALSE,1,0 days 00:53:47.793000,Ferrari,LEC,1,TRUE,33:48.0,17.3,57.7,968.3,FALSE,26.8,273,0.9,5
