,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:34:43.743000,44,,1,0 days 00:00:04.751000,,,0 days 00:00:37.656000,0 days 00:00:25.458000,,0 days 00:34:18.345000,0 days 00:34:43.898000,303,261,248,307,FALSE,MEDIUM,5,FALSE,1,0 days 00:33:08.644000,Mercedes,HAM,1,FALSE,13:08.9,18.9,64.6,1006.4,FALSE,32.5,31,2.6,7
1,0 days 00:36:15.666000,44,0 days 00:01:31.923000,2,,,0 days 00:00:29.161000,0 days 00:00:37.504000,0 days 00:00:25.258000,0 days 00:35:12.904000,0 days 00:35:50.408000,0 days 00:36:15.666000,298,257,246,301,FALSE,MEDIUM,6,FALSE,1,0 days 00:34:43.743000,Mercedes,HAM,1,TRUE,14:44.0,19,64.1,1006.4,FALSE,32.1,279,1.4,7
2,0 days 00:37:47.301000,44,0 days 00:01:31.635000,3,,,0 days 00:00:29.079000,0 days 00:00:37.230000,0 days 00:00:25.326000,0 days 00:36:44.745000,0 days 00:37:21.975000,0 days 00:37:47.301000,303,264,249,331,FALSE,MEDIUM,7,FALSE,1,0 days 00:36:15.666000,Mercedes,HAM,1,TRUE,16:15.9,19.1,63,1006.3,FALSE,31.8,47,0.4,7
3,0 days 00:39:19.359000,44,0 days 00:01:32.058000,4,,,0 days 00:00:28.860000,0 days 00:00:37.917000,0 days 00:00:25.281000,0 days 00:38:16.161000,0 days 00:38:54.078000,0 days 00:39:19.359000,307,262,246,316,FALSE,MEDIUM,8,FALSE,1,0 days 00:37:47.301000,Mercedes,HAM,1,TRUE,17:47.6,19,62.3,1006.3,FALSE,31.7,73,0.9,7
4,0 days 00:40:50.899000,44,0 days 00:01:31.540000,5,,,0 days 00:00:29.107000,0 days 00:00:37.308000,0 days 00:00:25.125000,0 days 00:39:48.466000,0 days 00:40:25.774000,0 days 00:40:50.899000,303,259,247,300,FALSE,MEDIUM,9,FALSE,1,0 days 00:39:19.359000,Mercedes,HAM,1,TRUE,19:19.6,19.3,61.5,1006.3,FALSE,31.5,36,1.5,7
5,0 days 00:42:21.866000,44,0 days 00:01:30.967000,6,,,0 days 00:00:29.037000,0 days 00:00:36.859000,0 days 00:00:25.071000,0 days 00:41:19.936000,0 days 00:41:56.795000,0 days 00:42:21.866000,291,261,246,316,FALSE,MEDIUM,10,FALSE,1,0 days 00:40:50.899000,Mercedes,HAM,1,TRUE,20:51.2,19,59.7,1006.3,FALSE,31.3,48,1.9,7
6,0 days 00:43:52.806000,44,0 days 00:01:30.940000,7,,,0 days 00:00:28.915000,0 days 00:00:36.950000,0 days 00:00:25.075000,0 days 00:42:50.781000,0 days 00:43:27.731000,0 days 00:43:52.806000,305,261,245,317,FALSE,MEDIUM,11,FALSE,1,0 days 00:42:21.866000,Mercedes,HAM,1,TRUE,22:22.1,18.8,59.2,1006.4,FALSE,31,43,2.7,7
7,0 days 00:45:23.656000,44,0 days 00:01:30.850000,8,,,0 days 00:00:28.913000,0 days 00:00:36.946000,0 days 00:00:24.991000,0 days 00:44:21.719000,0 days 00:44:58.665000,0 days 00:45:23.656000,307,262,246,319,FALSE,MEDIUM,12,FALSE,1,0 days 00:43:52.806000,Mercedes,HAM,1,TRUE,23:53.1,18.7,61.6,1006.2,FALSE,31.1,51,2.6,7
8,0 days 00:46:54.796000,44,0 days 00:01:31.140000,9,,,0 days 00:00:28.908000,0 days 00:00:37.122000,0 days 00:00:25.110000,0 days 00:45:52.564000,0 days 00:46:29.686000,0 days 00:46:54.796000,306,261,248,320,FALSE,MEDIUM,13,FALSE,1,0 days 00:45:23.656000,Mercedes,HAM,1,TRUE,25:23.9,18.8,61.5,1006.2,FALSE,31.3,38,2.1,7
9,0 days 00:48:25.768000,44,0 days 00:01:30.972000,10,,,0 days 00:00:28.942000,0 days 00:00:37.060000,0 days 00:00:24.970000,0 days 00:47:23.738000,0 days 00:48:00.798000,0 days 00:48:25.768000,305,263,247,319,FALSE,MEDIUM,14,FALSE,1,0 days 00:46:54.796000,Mercedes,HAM,1,TRUE,26:55.1,18.6,60.5,1006.4,FALSE,31.3,23,1.5,7
