,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:34:16.729000,44,,1,0 days 00:00:04.575000,,,0 days 00:00:30.046000,0 days 00:00:23.087000,,0 days 00:33:53.727000,0 days 00:34:16.960000,275,238,249,250,FALSE,MEDIUM,4,FALSE,1,0 days 00:32:49.099000,Mercedes,HAM,1,FALSE,12:49.1,25.9,35.7,986.6,FALSE,44,267,1.3,12
1,0 days 00:35:39.064000,44,0 days 00:01:22.335000,2,,,0 days 00:00:29.502000,0 days 00:00:29.662000,0 days 00:00:23.171000,0 days 00:34:46.231000,0 days 00:35:15.893000,0 days 00:35:39.064000,273,239,248,288,FALSE,MEDIUM,5,FALSE,1,0 days 00:34:16.729000,Mercedes,HAM,2,TRUE,14:16.8,25.9,36.1,986.6,FALSE,43.2,353,1.6,12
2,0 days 00:37:01.010000,44,0 days 00:01:21.946000,3,,,0 days 00:00:29.428000,0 days 00:00:29.407000,0 days 00:00:23.111000,0 days 00:36:08.492000,0 days 00:36:37.899000,0 days 00:37:01.010000,274,239,247,282,FALSE,MEDIUM,6,FALSE,1,0 days 00:35:39.064000,Mercedes,HAM,1,TRUE,15:39.1,26.1,34.7,986.6,FALSE,42.3,276,0.5,12
3,0 days 00:38:22.656000,44,0 days 00:01:21.646000,4,,,0 days 00:00:29.418000,0 days 00:00:29.228000,0 days 00:00:23,0 days 00:37:30.428000,0 days 00:37:59.656000,0 days 00:38:22.656000,271,241,247,,FALSE,MEDIUM,7,FALSE,1,0 days 00:37:01.010000,Mercedes,HAM,1,TRUE,17:01.0,26,34.5,986.6,FALSE,41.8,152,1.1,12
4,0 days 00:39:44.423000,44,0 days 00:01:21.767000,5,,,0 days 00:00:29.441000,0 days 00:00:29.228000,0 days 00:00:23.098000,0 days 00:38:52.097000,0 days 00:39:21.325000,0 days 00:39:44.423000,273,239,247,287,FALSE,MEDIUM,8,FALSE,1,0 days 00:38:22.656000,Mercedes,HAM,1,TRUE,18:22.7,25.8,35.2,986.6,FALSE,41.3,337,1.2,12
5,0 days 00:41:06.025000,44,0 days 00:01:21.602000,6,,,0 days 00:00:29.394000,0 days 00:00:29.157000,0 days 00:00:23.051000,0 days 00:40:13.817000,0 days 00:40:42.974000,0 days 00:41:06.025000,276,243,247,288,FALSE,MEDIUM,9,FALSE,1,0 days 00:39:44.423000,Mercedes,HAM,1,TRUE,19:44.5,25.5,35.8,986.5,FALSE,40.9,271,0.8,12
6,0 days 00:42:27.683000,44,0 days 00:01:21.658000,7,,,0 days 00:00:29.420000,0 days 00:00:29.203000,0 days 00:00:23.035000,0 days 00:41:35.445000,0 days 00:42:04.648000,0 days 00:42:27.683000,273,243,248,289,FALSE,MEDIUM,10,FALSE,1,0 days 00:41:06.025000,Mercedes,HAM,1,TRUE,21:06.1,25.4,36,986.6,FALSE,40.7,257,0.8,12
7,0 days 00:43:48.976000,44,0 days 00:01:21.293000,8,,,0 days 00:00:29.340000,0 days 00:00:29.008000,0 days 00:00:22.945000,0 days 00:42:57.023000,0 days 00:43:26.031000,0 days 00:43:48.976000,277,244,248,,FALSE,MEDIUM,11,FALSE,1,0 days 00:42:27.683000,Mercedes,HAM,1,TRUE,22:27.7,25.3,36.2,986.6,FALSE,40.3,275,1.2,12
8,0 days 00:45:10.511000,44,0 days 00:01:21.535000,9,,,0 days 00:00:29.288000,0 days 00:00:29.152000,0 days 00:00:23.095000,0 days 00:44:18.264000,0 days 00:44:47.416000,0 days 00:45:10.511000,274,241,248,,FALSE,MEDIUM,12,FALSE,1,0 days 00:43:48.976000,Mercedes,HAM,1,TRUE,23:49.0,25,37,986.6,FALSE,39.4,240,0.8,12
9,0 days 00:46:31.995000,44,0 days 00:01:21.484000,10,,,0 days 00:00:29.331000,0 days 00:00:29.062000,0 days 00:00:23.091000,0 days 00:45:39.842000,0 days 00:46:08.904000,0 days 00:46:31.995000,277,243,247,,FALSE,MEDIUM,13,FALSE,1,0 days 00:45:10.511000,Mercedes,HAM,1,TRUE,25:10.5,25,37.1,986.6,FALSE,39.3,256,0.7,12
10,0 days 00:47:53.569000,44,0 days 00:01:21.574000,11,,,0 days 00:00:29.403000,0 days 00:00:29.151000,0 days 00:00:23.020000,0 days 00:47:01.398000,0 days 00:47:30.549000,0 days 00:47:53.569000,275,242,249,290,FALSE,MEDIUM,14,FALSE,1,0 days 00:46:31.995000,Mercedes,HAM,1,TRUE,26:32.0,25,37.1,986.5,FALSE,38.9,15,0.6,12
11,0 days 00:49:15.286000,44,0 days 00:01:21.717000,12,,,0 days 00:00:29.543000,0 days 00:00:29.149000,0 days 00:00:23.025000,0 days 00:48:23.112000,0 days 00:48:52.261000,0 days 00:49:15.286000,277,241,250,291,FALSE,MEDIUM,15,FALSE,1,0 days 00:47:53.569000,Mercedes,HAM,1,TRUE,27:53.6,25.3,36.4,986.5,FALSE,40,0,0.7,12
12,0 days 00:50:36.937000,44,0 days 00:01:21.651000,13,,,0 days 00:00:29.387000,0 days 00:00:29.166000,0 days 00:00:23.098000,0 days 00:49:44.673000,0 days 00:50:13.839000,0 days 00:50:36.937000,,244,248,,FALSE,MEDIUM,16,FALSE,1,0 days 00:49:15.286000,Mercedes,HAM,1,TRUE,29:15.3,25.6,35.9,986.5,FALSE,41.5,135,0.6,12
13,0 days 00:51:58.836000,44,0 days 00:01:21.899000,14,,,0 days 00:00:29.363000,0 days 00:00:29.459000,0 days 00:00:23.077000,0 days 00:51:06.300000,0 days 00:51:35.759000,0 days 00:51:58.836000,,242,249,,FALSE,MEDIUM,17,FALSE,1,0 days 00:50:36.937000,Mercedes,HAM,1,TRUE,30:37.0,25.5,35.1,986.5,FALSE,42.7,148,1.7,12
14,0 days 00:53:20.532000,44,0 days 00:01:21.696000,15,,,0 days 00:00:29.372000,0 days 00:00:29.171000,0 days 00:00:23.153000,0 days 00:52:28.208000,0 days 00:52:57.379000,0 days 00:53:20.532000,,243,248,,FALSE,MEDIUM,18,FALSE,1,0 days 00:51:58.836000,Mercedes,HAM,1,TRUE,31:58.9,25.1,35.4,986.4,FALSE,42.9,118,1.7,12
15,0 days 00:54:42.140000,44,0 days 00:01:21.608000,16,,,0 days 00:00:29.343000,0 days 00:00:29.186000,0 days 00:00:23.079000,0 days 00:53:49.875000,0 days 00:54:19.061000,0 days 00:54:42.140000,278,240,249,290,FALSE,MEDIUM,19,FALSE,1,0 days 00:53:20.532000,Mercedes,HAM,1,TRUE,33:20.6,24.9,36,986.5,FALSE,43.2,135,1.8,12
16,0 days 00:56:03.825000,44,0 days 00:01:21.685000,17,,,0 days 00:00:29.396000,0 days 00:00:29.134000,0 days 00:00:23.155000,0 days 00:55:11.536000,0 days 00:55:40.670000,0 days 00:56:03.825000,279,243,248,289,FALSE,MEDIUM,20,FALSE,1,0 days 00:54:42.140000,Mercedes,HAM,1,TRUE,34:42.2,25.1,36.2,986.5,FALSE,43.7,216,1.6,12
17,0 days 00:57:25.590000,44,0 days 00:01:21.765000,18,,,0 days 00:00:29.612000,0 days 00:00:29.087000,0 days 00:00:23.066000,0 days 00:56:33.437000,0 days 00:57:02.524000,0 days 00:57:25.590000,276,245,249,290,FALSE,MEDIUM,21,FALSE,1,0 days 00:56:03.825000,Mercedes,HAM,1,TRUE,36:03.9,25.2,36.2,986.5,FALSE,44.1,134,1.7,12
18,0 days 00:58:47.276000,44,0 days 00:01:21.686000,19,,,0 days 00:00:29.540000,0 days 00:00:29.117000,0 days 00:00:23.029000,0 days 00:57:55.130000,0 days 00:58:24.247000,0 days 00:58:47.276000,278,244,248,291,FALSE,MEDIUM,22,FALSE,1,0 days 00:57:25.590000,Mercedes,HAM,1,TRUE,37:25.6,25.6,35.6,986.6,FALSE,44.6,284,1.3,12
19,0 days 01:00:09.517000,44,0 days 00:01:22.241000,20,,,0 days 00:00:29.667000,0 days 00:00:29.375000,0 days 00:00:23.199000,0 days 00:59:16.943000,0 days 00:59:46.318000,0 days 01:00:09.517000,,241,250,290,FALSE,MEDIUM,23,FALSE,1,0 days 00:58:47.276000,Mercedes,HAM,1,TRUE,38:47.3,25.5,35,986.5,FALSE,44.7,160,1.4,12
20,0 days 01:01:31.777000,44,0 days 00:01:22.260000,21,,,0 days 00:00:29.680000,0 days 00:00:29.427000,0 days 00:00:23.153000,0 days 01:00:39.197000,0 days 01:01:08.624000,0 days 01:01:31.777000,280,239,250,292,FALSE,MEDIUM,24,FALSE,1,0 days 01:00:09.517000,Mercedes,HAM,1,TRUE,40:09.5,25.4,34.8,986.5,FALSE,44.8,296,1.2,12
