,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:34:46.902000,16,,1,0 days 00:00:02.756000,,,0 days 00:00:28.626000,0 days 00:00:28.449000,,0 days 00:34:18.597000,0 days 00:34:47.379000,314,306,303,286,FALSE,SOFT,4,FALSE,1,0 days 00:33:20.098000,Ferrari,LEC,2,FALSE,13:21.4,20.2,55.1,989.4,FALSE,32.5,201,0.9,13
1,0 days 00:36:12.096000,16,0 days 00:01:25.194000,2,,,0 days 00:00:28.169000,0 days 00:00:28.608000,0 days 00:00:28.417000,0 days 00:35:15.071000,0 days 00:35:43.679000,0 days 00:36:12.096000,305,307,304,310,FALSE,SOFT,5,FALSE,1,0 days 00:34:46.902000,Ferrari,LEC,1,TRUE,14:48.2,20.4,54.3,989.4,FALSE,32.3,198,2.2,13
2,0 days 00:37:37.050000,16,0 days 00:01:24.954000,3,,,0 days 00:00:28.023000,0 days 00:00:28.592000,0 days 00:00:28.339000,0 days 00:36:40.119000,0 days 00:37:08.711000,0 days 00:37:37.050000,308,309,305,313,FALSE,SOFT,6,FALSE,1,0 days 00:36:12.096000,Ferrari,LEC,2,TRUE,16:13.4,20.4,53.2,989.4,FALSE,32.2,220,2.8,13
3,0 days 00:39:01.999000,16,0 days 00:01:24.949000,4,,,0 days 00:00:27.903000,0 days 00:00:28.565000,0 days 00:00:28.481000,0 days 00:38:04.953000,0 days 00:38:33.518000,0 days 00:39:01.999000,311,311,304,316,FALSE,SOFT,7,FALSE,1,0 days 00:37:37.050000,Ferrari,LEC,1,TRUE,17:38.4,20.5,52.6,989.4,FALSE,32.9,206,3.1,13
4,0 days 00:40:26.906000,16,0 days 00:01:24.907000,5,,,0 days 00:00:27.917000,0 days 00:00:28.665000,0 days 00:00:28.325000,0 days 00:39:29.916000,0 days 00:39:58.581000,0 days 00:40:26.906000,,312,305,317,FALSE,SOFT,8,FALSE,1,0 days 00:39:01.999000,Ferrari,LEC,1,TRUE,19:03.3,20.6,52.2,989.3,FALSE,32.9,246,2.8,13
5,0 days 00:41:51.806000,16,0 days 00:01:24.900000,6,,,0 days 00:00:27.836000,0 days 00:00:28.616000,0 days 00:00:28.448000,0 days 00:40:54.742000,0 days 00:41:23.358000,0 days 00:41:51.806000,312,313,305,,FALSE,SOFT,9,FALSE,1,0 days 00:40:26.906000,Ferrari,LEC,2,TRUE,20:28.2,20.5,52.5,989.3,FALSE,32.9,208,2,13
6,0 days 00:43:16.868000,16,0 days 00:01:25.062000,7,,,0 days 00:00:27.977000,0 days 00:00:28.694000,0 days 00:00:28.391000,0 days 00:42:19.783000,0 days 00:42:48.477000,0 days 00:43:16.868000,310,311,306,314,FALSE,SOFT,10,FALSE,1,0 days 00:41:51.806000,Ferrari,LEC,2,TRUE,21:53.1,20.7,52.8,989.3,FALSE,32.6,218,3,13
7,0 days 00:44:41.892000,16,0 days 00:01:25.024000,8,,,0 days 00:00:28.014000,0 days 00:00:28.682000,0 days 00:00:28.328000,0 days 00:43:44.882000,0 days 00:44:13.564000,0 days 00:44:41.892000,312,313,306,315,FALSE,SOFT,11,FALSE,1,0 days 00:43:16.868000,Ferrari,LEC,1,TRUE,23:18.2,20.8,52.5,989.3,FALSE,32.3,190,2.1,13
8,0 days 00:46:06.879000,16,0 days 00:01:24.987000,9,,,0 days 00:00:28.032000,0 days 00:00:28.616000,0 days 00:00:28.339000,0 days 00:45:09.924000,0 days 00:45:38.540000,0 days 00:46:06.879000,313,314,306,,FALSE,SOFT,12,FALSE,1,0 days 00:44:41.892000,Ferrari,LEC,1,TRUE,24:43.2,21,52.2,989.2,FALSE,32.3,205,1.5,13
9,0 days 00:47:31.889000,16,0 days 00:01:25.010000,10,,,0 days 00:00:28.047000,0 days 00:00:28.613000,0 days 00:00:28.350000,0 days 00:46:34.926000,0 days 00:47:03.539000,0 days 00:47:31.889000,,316,306,316,FALSE,SOFT,13,FALSE,1,0 days 00:46:06.879000,Ferrari,LEC,1,TRUE,26:08.2,21.2,52,989.4,FALSE,32.2,320,1.5,13
10,0 days 00:48:56.815000,16,0 days 00:01:24.926000,11,,,0 days 00:00:28.077000,0 days 00:00:28.567000,0 days 00:00:28.282000,0 days 00:47:59.966000,0 days 00:48:28.533000,0 days 00:48:56.815000,,316,306,,FALSE,SOFT,14,FALSE,1,0 days 00:47:31.889000,Ferrari,LEC,1,TRUE,27:33.2,21.1,51.9,989.4,FALSE,32.2,292,1.3,13
11,0 days 00:50:21.497000,16,0 days 00:01:24.682000,12,,,0 days 00:00:27.987000,0 days 00:00:28.443000,0 days 00:00:28.252000,0 days 00:49:24.802000,0 days 00:49:53.245000,0 days 00:50:21.497000,,315,306,317,FALSE,SOFT,15,FALSE,1,0 days 00:48:56.815000,Ferrari,LEC,1,TRUE,28:58.1,21.2,51.7,989.3,FALSE,33.3,318,1.9,13
