,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:34:40.360000,44,,1,0 days 00:00:03.143000,,,0 days 00:00:33.700000,0 days 00:00:32.027000,,0 days 00:34:09.529000,0 days 00:34:40.553000,282,284,151,316,FALSE,MEDIUM,4,FALSE,1,0 days 00:33:01.144000,Mercedes,HAM,6,FALSE,13:01.5,22.6,46.8,781,FALSE,41,93,3.1,15
1,0 days 00:36:26.364000,44,0 days 00:01:46.004000,2,,,0 days 00:00:37.047000,0 days 00:00:41.599000,0 days 00:00:27.358000,0 days 00:35:17.407000,0 days 00:35:59.006000,0 days 00:36:26.364000,194,218,160,284,FALSE,MEDIUM,5,FALSE,1,0 days 00:34:40.360000,Mercedes,HAM,67,FALSE,14:40.7,22.7,46.6,781,FALSE,41.6,122,1.1,15
2,0 days 00:37:52.846000,44,0 days 00:01:26.482000,3,,,0 days 00:00:32.916000,0 days 00:00:32.198000,0 days 00:00:21.368000,0 days 00:36:59.280000,0 days 00:37:31.478000,0 days 00:37:52.846000,272,291,249,257,FALSE,MEDIUM,6,FALSE,1,0 days 00:36:26.364000,Mercedes,HAM,7,FALSE,16:26.7,22.7,46.6,781,FALSE,41.6,122,1.1,15
3,0 days 00:39:14.121000,44,0 days 00:01:21.275000,4,,,0 days 00:00:28.300000,0 days 00:00:31.769000,0 days 00:00:21.206000,0 days 00:38:21.146000,0 days 00:38:52.915000,0 days 00:39:14.121000,279,284,246,352,FALSE,MEDIUM,7,FALSE,1,0 days 00:37:52.846000,Mercedes,HAM,1,TRUE,17:53.2,23.1,46.5,781,FALSE,42.9,124,3,15
4,0 days 00:40:36.103000,44,0 days 00:01:21.982000,5,,,0 days 00:00:28.804000,0 days 00:00:31.763000,0 days 00:00:21.415000,0 days 00:39:42.925000,0 days 00:40:14.688000,0 days 00:40:36.103000,284,284,248,329,FALSE,MEDIUM,8,FALSE,1,0 days 00:39:14.121000,Mercedes,HAM,2,TRUE,19:14.4,23.2,45.4,780.9,FALSE,42.9,78,1.8,15
5,0 days 00:41:57.744000,44,0 days 00:01:21.641000,6,,,0 days 00:00:28.771000,0 days 00:00:31.733000,0 days 00:00:21.137000,0 days 00:41:04.874000,0 days 00:41:36.607000,0 days 00:41:57.744000,288,282,247,330,FALSE,MEDIUM,9,FALSE,1,0 days 00:40:36.103000,Mercedes,HAM,1,TRUE,20:36.4,23.5,45.2,780.9,FALSE,43.5,41,1.8,15
6,0 days 00:43:19.574000,44,0 days 00:01:21.830000,7,,,0 days 00:00:28.686000,0 days 00:00:31.811000,0 days 00:00:21.333000,0 days 00:42:26.430000,0 days 00:42:58.241000,0 days 00:43:19.574000,290,282,247,332,FALSE,MEDIUM,10,FALSE,1,0 days 00:41:57.744000,Mercedes,HAM,1,TRUE,21:58.1,23.3,45.9,780.9,FALSE,43.5,113,1.1,15
7,0 days 00:44:41.389000,44,0 days 00:01:21.815000,8,,,0 days 00:00:28.750000,0 days 00:00:31.810000,0 days 00:00:21.255000,0 days 00:43:48.324000,0 days 00:44:20.134000,0 days 00:44:41.389000,285,282,247,334,FALSE,MEDIUM,11,FALSE,1,0 days 00:43:19.574000,Mercedes,HAM,1,TRUE,23:19.9,23.3,45.2,780.8,FALSE,43.2,54,1.1,15
8,0 days 00:46:03.243000,44,0 days 00:01:21.854000,9,,,0 days 00:00:28.680000,0 days 00:00:31.781000,0 days 00:00:21.393000,0 days 00:45:10.069000,0 days 00:45:41.850000,0 days 00:46:03.243000,282,282,247,,FALSE,MEDIUM,12,FALSE,1,0 days 00:44:41.389000,Mercedes,HAM,1,TRUE,24:41.7,23.4,44.7,780.7,FALSE,43.7,204,2,15
9,0 days 00:47:24.869000,44,0 days 00:01:21.626000,10,,,0 days 00:00:28.424000,0 days 00:00:31.859000,0 days 00:00:21.343000,0 days 00:46:31.667000,0 days 00:47:03.526000,0 days 00:47:24.869000,284,290,246,350,FALSE,MEDIUM,13,FALSE,1,0 days 00:46:03.243000,Mercedes,HAM,1,TRUE,26:03.6,23.3,46,780.7,FALSE,43.7,163,1.2,15
10,0 days 00:48:46.996000,44,0 days 00:01:22.127000,11,,,0 days 00:00:28.984000,0 days 00:00:31.954000,0 days 00:00:21.189000,0 days 00:47:53.853000,0 days 00:48:25.807000,0 days 00:48:46.996000,280,282,247,324,FALSE,MEDIUM,14,FALSE,1,0 days 00:47:24.869000,Mercedes,HAM,1,TRUE,27:25.2,23.3,46.3,780.7,FALSE,43.7,109,0.9,15
11,0 days 00:50:08.612000,44,0 days 00:01:21.616000,12,,,0 days 00:00:28.727000,0 days 00:00:31.751000,0 days 00:00:21.138000,0 days 00:49:15.723000,0 days 00:49:47.474000,0 days 00:50:08.612000,278,281,248,330,FALSE,MEDIUM,15,FALSE,1,0 days 00:48:46.996000,Mercedes,HAM,1,TRUE,28:47.3,23.6,45,780.7,FALSE,44.7,91,1.3,15
12,0 days 00:51:29.708000,44,0 days 00:01:21.096000,13,,,0 days 00:00:28.503000,0 days 00:00:31.538000,0 days 00:00:21.055000,0 days 00:50:37.115000,0 days 00:51:08.653000,0 days 00:51:29.708000,290,282,248,332,FALSE,MEDIUM,16,FALSE,1,0 days 00:50:08.612000,Mercedes,HAM,1,TRUE,30:08.9,23.6,44.9,780.6,FALSE,44.5,94,1.5,15
13,0 days 00:52:51.134000,44,0 days 00:01:21.426000,14,,,0 days 00:00:28.609000,0 days 00:00:31.548000,0 days 00:00:21.269000,0 days 00:51:58.317000,0 days 00:52:29.865000,0 days 00:52:51.134000,294,283,246,334,FALSE,MEDIUM,17,FALSE,1,0 days 00:51:29.708000,Mercedes,HAM,1,TRUE,31:30.0,23.4,44.7,780.6,FALSE,44,95,1.2,15
14,0 days 00:54:11.794000,44,0 days 00:01:20.660000,15,,,0 days 00:00:28.245000,0 days 00:00:31.228000,0 days 00:00:21.187000,0 days 00:53:19.379000,0 days 00:53:50.607000,0 days 00:54:11.794000,295,284,246,344,FALSE,MEDIUM,18,FALSE,1,0 days 00:52:51.134000,Mercedes,HAM,1,TRUE,32:51.5,22.9,46.1,780.5,FALSE,44.2,15,1,15
15,0 days 00:55:32.979000,44,0 days 00:01:21.185000,16,,,0 days 00:00:28.629000,0 days 00:00:31.127000,0 days 00:00:21.429000,0 days 00:54:40.423000,0 days 00:55:11.550000,0 days 00:55:32.979000,,284,247,328,FALSE,MEDIUM,19,FALSE,1,0 days 00:54:11.794000,Mercedes,HAM,1,TRUE,34:12.1,23.2,45.7,780.5,FALSE,44.7,52,1.4,15
16,0 days 00:56:54.243000,44,0 days 00:01:21.264000,17,,,0 days 00:00:28.678000,0 days 00:00:31.342000,0 days 00:00:21.244000,0 days 00:56:01.657000,0 days 00:56:32.999000,0 days 00:56:54.243000,288,283,247,329,FALSE,MEDIUM,20,FALSE,1,0 days 00:55:32.979000,Mercedes,HAM,1,TRUE,35:33.3,23.3,44.8,780.6,FALSE,44.8,331,0.9,15
17,0 days 00:58:15.255000,44,0 days 00:01:21.012000,18,,,0 days 00:00:28.604000,0 days 00:00:31.282000,0 days 00:00:21.126000,0 days 00:57:22.847000,0 days 00:57:54.129000,0 days 00:58:15.255000,291,284,247,330,FALSE,MEDIUM,21,FALSE,1,0 days 00:56:54.243000,Mercedes,HAM,1,TRUE,36:54.6,23.2,45.4,780.5,FALSE,44.4,0,0.8,15
18,0 days 00:59:36.568000,44,0 days 00:01:21.313000,19,,,0 days 00:00:28.589000,0 days 00:00:31.405000,0 days 00:00:21.319000,0 days 00:58:43.844000,0 days 00:59:15.249000,0 days 00:59:36.568000,295,283,246,,FALSE,MEDIUM,22,FALSE,1,0 days 00:58:15.255000,Mercedes,HAM,1,TRUE,38:15.6,23.3,45.3,780.5,FALSE,44.4,83,1.1,15
19,0 days 01:00:57.821000,44,0 days 00:01:21.253000,20,,,0 days 00:00:28.620000,0 days 00:00:31.445000,0 days 00:00:21.188000,0 days 01:00:05.188000,0 days 01:00:36.633000,0 days 01:00:57.821000,293,282,247,332,FALSE,MEDIUM,23,FALSE,1,0 days 00:59:36.568000,Mercedes,HAM,1,TRUE,39:36.9,23.9,44.6,780.4,FALSE,45.3,82,2.2,15
20,0 days 01:02:18.829000,44,0 days 00:01:21.008000,21,,,0 days 00:00:28.634000,0 days 00:00:31.195000,0 days 00:00:21.179000,0 days 01:01:26.455000,0 days 01:01:57.650000,0 days 01:02:18.829000,287,283,247,331,FALSE,MEDIUM,24,FALSE,1,0 days 01:00:57.821000,Mercedes,HAM,1,TRUE,40:58.1,23.9,44.8,780.5,FALSE,45.7,95,2,15
21,0 days 01:03:39.940000,44,0 days 00:01:21.111000,22,,,0 days 00:00:28.605000,0 days 00:00:31.291000,0 days 00:00:21.215000,0 days 01:02:47.434000,0 days 01:03:18.725000,0 days 01:03:39.940000,291,284,247,,FALSE,MEDIUM,25,FALSE,1,0 days 01:02:18.829000,Mercedes,HAM,1,TRUE,42:19.1,23.9,43.9,780.3,FALSE,45.7,57,2.4,15
22,0 days 01:05:04.274000,44,0 days 00:01:24.334000,23,,0 days 01:05:01.664000,0 days 00:00:28.392000,0 days 00:00:31.415000,0 days 00:00:24.527000,0 days 01:04:08.332000,0 days 01:04:39.747000,0 days 01:05:04.274000,301,285,,333,FALSE,MEDIUM,26,FALSE,1,0 days 01:03:39.940000,Mercedes,HAM,1,FALSE,43:40.3,23.8,44.1,780.4,FALSE,45.7,79,2.3,15
23,0 days 01:06:43.177000,44,0 days 00:01:38.903000,24,0 days 01:05:24.145000,,0 days 00:00:47.193000,0 days 00:00:30.797000,0 days 00:00:20.913000,0 days 01:05:51.467000,0 days 01:06:22.264000,0 days 01:06:43.177000,297,285,253,304,FALSE,HARD,1,TRUE,2,0 days 01:05:04.274000,Mercedes,HAM,1,FALSE,45:04.6,23.7,44.9,780.4,FALSE,45.8,94,1.4,15
24,0 days 01:08:03.103000,44,0 days 00:01:19.926000,25,,,0 days 00:00:28.401000,0 days 00:00:30.765000,0 days 00:00:20.760000,0 days 01:07:11.578000,0 days 01:07:42.343000,0 days 01:08:03.103000,296,283,250,351,FALSE,HARD,2,TRUE,2,0 days 01:06:43.177000,Mercedes,HAM,1,TRUE,46:43.5,23.5,45.1,780.3,FALSE,45.3,68,2.2,15
25,0 days 01:09:24.096000,44,0 days 00:01:20.993000,26,,,0 days 00:00:28.643000,0 days 00:00:31.333000,0 days 00:00:21.017000,0 days 01:08:31.746000,0 days 01:09:03.079000,0 days 01:09:24.096000,276,283,248,324,FALSE,HARD,3,TRUE,2,0 days 01:08:03.103000,Mercedes,HAM,1,TRUE,48:03.4,23.1,46,780.4,FALSE,45.3,13,1.6,15
26,0 days 01:10:45.071000,44,0 days 00:01:20.975000,27,,,0 days 00:00:28.761000,0 days 00:00:31.339000,0 days 00:00:20.875000,0 days 01:09:52.857000,0 days 01:10:24.196000,0 days 01:10:45.071000,282,283,250,,FALSE,HARD,4,TRUE,2,0 days 01:09:24.096000,Mercedes,HAM,1,TRUE,49:24.4,23.3,46.1,780.3,FALSE,45.4,19,1.1,15
27,0 days 01:12:05.655000,44,0 days 00:01:20.584000,28,,,0 days 00:00:28.657000,0 days 00:00:31.028000,0 days 00:00:20.899000,0 days 01:11:13.728000,0 days 01:11:44.756000,0 days 01:12:05.655000,283,283,250,328,FALSE,HARD,5,TRUE,2,0 days 01:10:45.071000,Mercedes,HAM,1,TRUE,50:45.4,23.6,44.2,780.4,FALSE,46.3,51,1.2,15
