,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:34:07.668000,44,,1,0 days 00:00:03.490000,,,0 days 00:00:36.714000,0 days 00:00:20.669000,,0 days 00:33:47.062000,0 days 00:34:07.807000,169,190,256,272,FALSE,SOFT,6,FALSE,1,0 days 00:32:45.521000,Mercedes,HAM,2,FALSE,12:46.0,22.5,52.4,1011.1,FALSE,34.4,331,0.5,16
1,0 days 00:35:24.797000,44,0 days 00:01:17.129000,2,,,0 days 00:00:20.352000,0 days 00:00:36.147000,0 days 00:00:20.630000,0 days 00:34:28.020000,0 days 00:35:04.167000,0 days 00:35:24.797000,190,190,257,274,FALSE,SOFT,7,FALSE,1,0 days 00:34:07.668000,Mercedes,HAM,1,TRUE,14:08.1,22.4,52,1011.1,FALSE,34.4,59,0.9,16
2,0 days 00:36:41.517000,44,0 days 00:01:16.720000,3,,,0 days 00:00:20.135000,0 days 00:00:36.193000,0 days 00:00:20.392000,0 days 00:35:44.932000,0 days 00:36:21.125000,0 days 00:36:41.517000,197,190,256,274,FALSE,SOFT,8,FALSE,1,0 days 00:35:24.797000,Mercedes,HAM,1,TRUE,15:25.3,22.2,52.9,1011.1,FALSE,34,186,0.4,16
3,0 days 00:37:57.872000,44,0 days 00:01:16.355000,4,,,0 days 00:00:20.100000,0 days 00:00:35.917000,0 days 00:00:20.338000,0 days 00:37:01.617000,0 days 00:37:37.534000,0 days 00:37:57.872000,192,189,256,275,FALSE,SOFT,9,FALSE,1,0 days 00:36:41.517000,Mercedes,HAM,1,TRUE,16:42.0,22.3,53.1,1011.1,FALSE,34.3,268,1.2,16
4,0 days 00:39:14.583000,44,0 days 00:01:16.711000,5,,,0 days 00:00:20.097000,0 days 00:00:36.078000,0 days 00:00:20.536000,0 days 00:38:17.969000,0 days 00:38:54.047000,0 days 00:39:14.583000,207,187,256,275,FALSE,SOFT,10,FALSE,1,0 days 00:37:57.872000,Mercedes,HAM,1,TRUE,17:58.3,22.3,52.8,1011,TRUE,34,358,0.5,16
5,0 days 00:40:31.252000,44,0 days 00:01:16.669000,6,,,0 days 00:00:20.129000,0 days 00:00:35.993000,0 days 00:00:20.547000,0 days 00:39:34.712000,0 days 00:40:10.705000,0 days 00:40:31.252000,198,193,256,275,FALSE,SOFT,11,FALSE,1,0 days 00:39:14.583000,Mercedes,HAM,2,TRUE,19:15.0,22.7,52.6,1011,TRUE,34.6,148,0.6,16
6,0 days 00:41:47.711000,44,0 days 00:01:16.459000,7,,,0 days 00:00:20.097000,0 days 00:00:35.946000,0 days 00:00:20.416000,0 days 00:40:51.349000,0 days 00:41:27.295000,0 days 00:41:47.711000,200,190,256,273,FALSE,SOFT,12,FALSE,1,0 days 00:40:31.252000,Mercedes,HAM,1,TRUE,20:31.7,22.9,52.2,1011,TRUE,34.6,0,0.4,16
7,0 days 00:43:04.009000,44,0 days 00:01:16.298000,8,,,0 days 00:00:20.128000,0 days 00:00:35.823000,0 days 00:00:20.347000,0 days 00:42:07.839000,0 days 00:42:43.662000,0 days 00:43:04.009000,,195,256,273,FALSE,SOFT,13,FALSE,1,0 days 00:41:47.711000,Mercedes,HAM,1,TRUE,21:48.2,22.9,51.7,1011.1,TRUE,34.3,195,0.7,16
8,0 days 00:44:20.176000,44,0 days 00:01:16.167000,9,,,0 days 00:00:19.995000,0 days 00:00:35.895000,0 days 00:00:20.277000,0 days 00:43:24.004000,0 days 00:43:59.899000,0 days 00:44:20.176000,193,196,256,274,TRUE,SOFT,14,FALSE,1,0 days 00:43:04.009000,Mercedes,HAM,2,TRUE,23:04.5,22.9,51.5,1011.1,TRUE,34.3,0,0.4,16
9,0 days 00:45:37.410000,44,0 days 00:01:17.234000,10,,,0 days 00:00:19.763000,0 days 00:00:36.385000,0 days 00:00:21.086000,0 days 00:44:39.939000,0 days 00:45:16.324000,0 days 00:45:37.410000,202,186,256,276,FALSE,SOFT,15,FALSE,1,0 days 00:44:20.176000,Mercedes,HAM,2,TRUE,24:20.6,22.7,52.2,1011,TRUE,33.8,0,0.7,16
