,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:35:36.921000,44,,1,0 days 00:00:04.672000,,,0 days 00:00:51.079000,0 days 00:00:39.919000,,0 days 00:34:57.002000,0 days 00:35:37.114000,220,180,151,281,FALSE,MEDIUM,4,FALSE,1,0 days 00:33:27.500000,Mercedes,HAM,24,FALSE,13:27.8,21.7,68.2,1017,FALSE,34.9,251,2.5,17
1,0 days 00:38:16.822000,44,,2,,,0 days 00:01:05.578000,0 days 00:00:50.762000,0 days 00:00:43.561000,0 days 00:36:42.693000,0 days 00:37:33.261000,0 days 00:38:17.442000,98,192,129,236,FALSE,MEDIUM,5,FALSE,1,0 days 00:35:36.921000,Mercedes,HAM,4,FALSE,15:37.2,21.5,69.5,1017,FALSE,34.7,291,1.6,17
2,0 days 00:40:58.898000,44,,3,,,0 days 00:00:58.765000,0 days 00:00:55.847000,0 days 00:00:47.480000,0 days 00:39:15.651000,0 days 00:40:11.497000,0 days 00:40:59.750000,173,113,160,109,FALSE,MEDIUM,6,FALSE,1,0 days 00:38:16.822000,Mercedes,HAM,4,FALSE,18:17.1,21.4,69.4,1017,FALSE,34.7,295,1,17
3,0 days 00:42:39.949000,44,0 days 00:01:41.051000,4,,,0 days 00:00:36.238000,0 days 00:00:35.112000,0 days 00:00:29.701000,0 days 00:41:35.136000,0 days 00:42:10.248000,0 days 00:42:39.949000,235,295,164,300,FALSE,MEDIUM,7,FALSE,1,0 days 00:40:58.898000,Mercedes,HAM,1,FALSE,20:59.2,21.7,68.1,1016.9,FALSE,34.8,311,2.3,17
4,0 days 00:44:20.074000,44,0 days 00:01:40.125000,5,,,0 days 00:00:35.940000,0 days 00:00:34.842000,0 days 00:00:29.343000,0 days 00:43:15.889000,0 days 00:43:50.731000,0 days 00:44:20.074000,245,293,165,289,FALSE,MEDIUM,8,FALSE,1,0 days 00:42:39.949000,Mercedes,HAM,1,TRUE,22:40.2,21.8,67.7,1016.9,FALSE,34.8,290,2.1,17
5,0 days 00:46:00.042000,44,0 days 00:01:39.968000,6,,,0 days 00:00:36.039000,0 days 00:00:34.705000,0 days 00:00:29.224000,0 days 00:44:56.113000,0 days 00:45:30.818000,0 days 00:46:00.042000,253,290,161,294,FALSE,MEDIUM,9,FALSE,1,0 days 00:44:20.074000,Mercedes,HAM,1,TRUE,24:20.4,21.8,67.2,1017,FALSE,35,251,1.7,17
6,0 days 00:47:39.623000,44,0 days 00:01:39.581000,7,,,0 days 00:00:35.836000,0 days 00:00:34.404000,0 days 00:00:29.341000,0 days 00:46:35.878000,0 days 00:47:10.282000,0 days 00:47:39.623000,259,296,165,288,FALSE,MEDIUM,10,FALSE,1,0 days 00:46:00.042000,Mercedes,HAM,1,TRUE,26:00.3,21.9,66.8,1016.9,FALSE,34.9,251,2.3,17
7,0 days 00:49:19.005000,44,0 days 00:01:39.382000,8,,,0 days 00:00:35.670000,0 days 00:00:34.345000,0 days 00:00:29.367000,0 days 00:48:15.293000,0 days 00:48:49.638000,0 days 00:49:19.005000,,294,158,295,FALSE,MEDIUM,11,FALSE,1,0 days 00:47:39.623000,Mercedes,HAM,1,TRUE,27:39.9,21.7,67.5,1017,FALSE,34.8,0,2.1,17
8,0 days 00:50:58.196000,44,0 days 00:01:39.191000,9,,,0 days 00:00:35.686000,0 days 00:00:34.414000,0 days 00:00:29.091000,0 days 00:49:54.691000,0 days 00:50:29.105000,0 days 00:50:58.196000,258,294,164,293,FALSE,MEDIUM,12,FALSE,1,0 days 00:49:19.005000,Mercedes,HAM,1,TRUE,29:19.3,21.8,67.4,1017,FALSE,35.5,343,0.6,17
9,0 days 00:52:38.521000,44,0 days 00:01:40.325000,10,,,0 days 00:00:35.603000,0 days 00:00:35.443000,0 days 00:00:29.279000,0 days 00:51:33.799000,0 days 00:52:09.242000,0 days 00:52:38.521000,259,296,165,295,FALSE,MEDIUM,13,FALSE,1,0 days 00:50:58.196000,Mercedes,HAM,1,TRUE,30:58.5,22.3,64.8,1017,FALSE,35.6,258,2.2,17
10,0 days 00:54:17.856000,44,0 days 00:01:39.335000,11,,,0 days 00:00:35.696000,0 days 00:00:34.500000,0 days 00:00:29.139000,0 days 00:53:14.217000,0 days 00:53:48.717000,0 days 00:54:17.856000,258,292,160,,FALSE,MEDIUM,14,FALSE,1,0 days 00:52:38.521000,Mercedes,HAM,1,TRUE,32:38.8,22.1,66.1,1017,FALSE,35.5,327,1.9,17
11,0 days 00:55:57.102000,44,0 days 00:01:39.246000,12,,,0 days 00:00:35.748000,0 days 00:00:34.426000,0 days 00:00:29.072000,0 days 00:54:53.604000,0 days 00:55:28.030000,0 days 00:55:57.102000,,296,164,292,FALSE,MEDIUM,15,FALSE,1,0 days 00:54:17.856000,Mercedes,HAM,1,TRUE,34:18.1,22.1,66.4,1017,FALSE,35.3,296,1.6,17
12,0 days 00:57:35.732000,44,0 days 00:01:38.630000,13,,,0 days 00:00:35.491000,0 days 00:00:34.227000,0 days 00:00:28.912000,0 days 00:56:32.593000,0 days 00:57:06.820000,0 days 00:57:35.732000,259,295,162,295,FALSE,MEDIUM,16,FALSE,1,0 days 00:55:57.102000,Mercedes,HAM,1,TRUE,35:57.4,22.5,65.8,1016.9,FALSE,35.4,213,2.1,17
13,0 days 00:59:14.265000,44,0 days 00:01:38.533000,14,,,0 days 00:00:35.514000,0 days 00:00:34.153000,0 days 00:00:28.866000,0 days 00:58:11.246000,0 days 00:58:45.399000,0 days 00:59:14.265000,257,295,164,,FALSE,MEDIUM,17,FALSE,1,0 days 00:57:35.732000,Mercedes,HAM,1,TRUE,37:36.0,22.6,65.1,1016.8,FALSE,35.1,240,1.5,17
14,0 days 01:00:52.584000,44,0 days 00:01:38.319000,15,,,0 days 00:00:35.383000,0 days 00:00:34.073000,0 days 00:00:28.863000,0 days 00:59:49.648000,0 days 01:00:23.721000,0 days 01:00:52.584000,261,295,165,296,FALSE,MEDIUM,18,FALSE,1,0 days 00:59:14.265000,Mercedes,HAM,1,TRUE,39:14.6,22.6,65.5,1016.8,FALSE,35.1,254,2,17
15,0 days 01:02:31.085000,44,0 days 00:01:38.501000,16,,,0 days 00:00:35.369000,0 days 00:00:34.199000,0 days 00:00:28.933000,0 days 01:01:27.953000,0 days 01:02:02.152000,0 days 01:02:31.085000,260,296,163,,FALSE,MEDIUM,19,FALSE,1,0 days 01:00:52.584000,Mercedes,HAM,1,TRUE,40:52.9,22.7,66.3,1016.8,FALSE,35.3,278,0.6,17
16,0 days 01:04:10.077000,44,0 days 00:01:38.992000,17,,,0 days 00:00:35.719000,0 days 00:00:34.289000,0 days 00:00:28.984000,0 days 01:03:06.804000,0 days 01:03:41.093000,0 days 01:04:10.077000,257,296,162,297,FALSE,MEDIUM,20,FALSE,1,0 days 01:02:31.085000,Mercedes,HAM,1,TRUE,42:31.4,22.9,65.1,1016.8,FALSE,35.5,237,1.2,17
