,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:35:32.345000,5,,1,0 days 00:00:06.115000,,,0 days 00:00:42.348000,0 days 00:00:37.427000,,0 days 00:34:55.074000,0 days 00:35:32.966000,307,269,250,204,FALSE,SOFT,4,FALSE,1,0 days 00:33:40.429000,Ferrari,VET,1,FALSE,13:41.4,30.2,64.5,1010.6,FALSE,36.7,164,1.4,18
1,0 days 00:37:21.370000,5,0 days 00:01:49.025000,2,,,0 days 00:00:29.168000,0 days 00:00:42.580000,0 days 00:00:37.277000,0 days 00:36:01.513000,0 days 00:36:44.093000,0 days 00:37:21.370000,290,263,250,286,FALSE,SOFT,5,FALSE,1,0 days 00:35:32.345000,Ferrari,VET,1,TRUE,15:33.3,30.2,64.8,1010.6,FALSE,36.6,148,1.8,18
2,0 days 00:39:10.215000,5,0 days 00:01:48.845000,3,,,0 days 00:00:29.195000,0 days 00:00:42.299000,0 days 00:00:37.351000,0 days 00:37:50.565000,0 days 00:38:32.864000,0 days 00:39:10.215000,295,266,248,284,FALSE,SOFT,6,FALSE,1,0 days 00:37:21.370000,Ferrari,VET,1,TRUE,17:22.3,30.2,64.6,1010.7,FALSE,36.6,178,2.4,18
3,0 days 00:40:59.419000,5,0 days 00:01:49.204000,4,,,0 days 00:00:29.173000,0 days 00:00:42.494000,0 days 00:00:37.537000,0 days 00:39:39.388000,0 days 00:40:21.882000,0 days 00:40:59.419000,296,267,248,287,FALSE,SOFT,7,FALSE,1,0 days 00:39:10.215000,Ferrari,VET,1,TRUE,19:11.2,30.2,64.2,1010.7,FALSE,36.9,160,1.9,18
4,0 days 00:42:48.582000,5,0 days 00:01:49.163000,5,,,0 days 00:00:29.074000,0 days 00:00:42.356000,0 days 00:00:37.733000,0 days 00:41:28.493000,0 days 00:42:10.849000,0 days 00:42:48.582000,299,268,248,289,FALSE,SOFT,8,FALSE,1,0 days 00:40:59.419000,Ferrari,VET,1,TRUE,21:00.4,30.3,64.6,1010.6,FALSE,36.5,170,2,18
5,0 days 00:44:38.534000,5,0 days 00:01:49.952000,6,,,0 days 00:00:29.180000,0 days 00:00:42.800000,0 days 00:00:37.972000,0 days 00:43:17.762000,0 days 00:44:00.562000,0 days 00:44:38.534000,296,269,248,295,FALSE,SOFT,9,FALSE,1,0 days 00:42:48.582000,Ferrari,VET,1,TRUE,22:49.5,30.3,64.5,1010.8,FALSE,36.5,163,2.9,18
6,0 days 00:46:27.868000,5,0 days 00:01:49.334000,7,,,0 days 00:00:29.249000,0 days 00:00:42.364000,0 days 00:00:37.721000,0 days 00:45:07.783000,0 days 00:45:50.147000,0 days 00:46:27.868000,300,270,249,286,FALSE,SOFT,10,FALSE,1,0 days 00:44:38.534000,Ferrari,VET,1,TRUE,24:39.5,30.2,65.2,1010.7,FALSE,36.4,175,2,18
7,0 days 00:48:17.117000,5,0 days 00:01:49.249000,8,,,0 days 00:00:29.094000,0 days 00:00:42.561000,0 days 00:00:37.594000,0 days 00:46:56.962000,0 days 00:47:39.523000,0 days 00:48:17.117000,301,269,249,291,FALSE,SOFT,11,FALSE,1,0 days 00:46:27.868000,Ferrari,VET,1,TRUE,26:28.8,30.2,65.7,1010.9,FALSE,36.3,180,2.1,18
8,0 days 00:50:07.095000,5,0 days 00:01:49.978000,9,,,0 days 00:00:29.269000,0 days 00:00:42.806000,0 days 00:00:37.903000,0 days 00:48:46.386000,0 days 00:49:29.192000,0 days 00:50:07.095000,300,269,248,297,FALSE,SOFT,12,FALSE,1,0 days 00:48:17.117000,Ferrari,VET,1,TRUE,28:18.1,30.1,65.8,1010.8,FALSE,36.2,169,2.1,18
9,0 days 00:51:56.856000,5,0 days 00:01:49.761000,10,,,0 days 00:00:29.412000,0 days 00:00:42.785000,0 days 00:00:37.564000,0 days 00:50:36.507000,0 days 00:51:19.292000,0 days 00:51:56.856000,298,270,249,296,FALSE,SOFT,13,FALSE,1,0 days 00:50:07.095000,Ferrari,VET,1,TRUE,30:08.1,30.1,66.3,1010.8,FALSE,35.7,169,1.9,18
