,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Track
0,0 days 00:35:04.094000,77,,1,0 days 00:00:03.778000,,,0 days 00:00:39.998000,0 days 00:00:33.004000,,0 days 00:34:31.095000,0 days 00:35:04.383000,217,186,206,297,FALSE,MEDIUM,4,FALSE,1,0 days 00:33:23.612000,Mercedes,BOT,1,FALSE,13:24.3,20.9,24.6,1001.9,FALSE,28.7,149,3,20
1,0 days 00:36:45.530000,77,0 days 00:01:41.436000,2,,,0 days 00:00:27.543000,0 days 00:00:40.606000,0 days 00:00:33.287000,0 days 00:35:31.637000,0 days 00:36:12.243000,0 days 00:36:45.530000,210,184,205,292,FALSE,MEDIUM,5,FALSE,1,0 days 00:35:04.094000,Mercedes,BOT,1,TRUE,15:04.8,21.4,24,1001.9,FALSE,29,157,2.7,20
2,0 days 00:38:26.516000,77,0 days 00:01:40.986000,3,,,0 days 00:00:27.311000,0 days 00:00:40.672000,0 days 00:00:33.003000,0 days 00:37:12.841000,0 days 00:37:53.513000,0 days 00:38:26.516000,209,186,204,293,FALSE,MEDIUM,6,FALSE,1,0 days 00:36:45.530000,Mercedes,BOT,1,TRUE,16:46.2,21.4,24.3,1001.9,FALSE,28.9,194,3.2,20
3,0 days 00:40:07.305000,77,0 days 00:01:40.789000,4,,,0 days 00:00:27.133000,0 days 00:00:40.565000,0 days 00:00:33.091000,0 days 00:38:53.649000,0 days 00:39:34.214000,0 days 00:40:07.305000,215,186,203,290,FALSE,MEDIUM,7,FALSE,1,0 days 00:38:26.516000,Mercedes,BOT,1,TRUE,18:27.2,21.3,24.5,1001.9,FALSE,29.2,180,3,20
4,0 days 00:41:47.734000,77,0 days 00:01:40.429000,5,,,0 days 00:00:27.139000,0 days 00:00:40.163000,0 days 00:00:33.127000,0 days 00:40:34.444000,0 days 00:41:14.607000,0 days 00:41:47.734000,,185,204,293,FALSE,MEDIUM,8,FALSE,1,0 days 00:40:07.305000,Mercedes,BOT,1,TRUE,20:08.0,21.1,24.8,1001.8,FALSE,29,268,1.6,20
5,0 days 00:43:28.581000,77,0 days 00:01:40.847000,6,,,0 days 00:00:27.167000,0 days 00:00:40.383000,0 days 00:00:33.297000,0 days 00:42:14.901000,0 days 00:42:55.284000,0 days 00:43:28.581000,,185,203,296,FALSE,MEDIUM,9,FALSE,1,0 days 00:41:47.734000,Mercedes,BOT,1,TRUE,21:48.4,21.2,25,1001.7,FALSE,29,54,1.4,20
6,0 days 00:45:10.159000,77,0 days 00:01:41.578000,7,,,0 days 00:00:27.349000,0 days 00:00:40.774000,0 days 00:00:33.455000,0 days 00:43:55.930000,0 days 00:44:36.704000,0 days 00:45:10.159000,212,184,204,294,FALSE,MEDIUM,10,FALSE,1,0 days 00:43:28.581000,Mercedes,BOT,1,TRUE,23:29.3,21.6,23.8,1001.7,FALSE,29.5,132,1.4,20
7,0 days 00:46:51.549000,77,0 days 00:01:41.390000,8,,,0 days 00:00:27.464000,0 days 00:00:40.484000,0 days 00:00:33.442000,0 days 00:45:37.623000,0 days 00:46:18.107000,0 days 00:46:51.549000,210,184,204,293,FALSE,MEDIUM,11,FALSE,1,0 days 00:45:10.159000,Mercedes,BOT,2,TRUE,25:10.9,21.8,23.9,1001.8,FALSE,29.5,0,2.6,20
8,0 days 00:48:33.593000,77,0 days 00:01:42.044000,9,,,0 days 00:00:27.335000,0 days 00:00:41.375000,0 days 00:00:33.334000,0 days 00:47:18.884000,0 days 00:48:00.259000,0 days 00:48:33.593000,212,185,202,297,FALSE,MEDIUM,12,FALSE,1,0 days 00:46:51.549000,Mercedes,BOT,2,TRUE,26:52.3,21.7,23.2,1001.7,FALSE,29.3,125,2.9,20
9,0 days 00:50:14.581000,77,0 days 00:01:40.988000,10,,,0 days 00:00:27.403000,0 days 00:00:40.425000,0 days 00:00:33.160000,0 days 00:49:00.996000,0 days 00:49:41.421000,0 days 00:50:14.581000,207,185,204,286,FALSE,MEDIUM,13,FALSE,1,0 days 00:48:33.593000,Mercedes,BOT,1,TRUE,28:34.3,21.4,24.3,1001.8,FALSE,29.3,269,3.2,20
10,0 days 00:51:56.116000,77,0 days 00:01:41.535000,11,,,0 days 00:00:27.367000,0 days 00:00:40.898000,0 days 00:00:33.270000,0 days 00:50:41.948000,0 days 00:51:22.846000,0 days 00:51:56.116000,210,186,204,290,FALSE,MEDIUM,14,FALSE,1,0 days 00:50:14.581000,Mercedes,BOT,1,TRUE,30:15.3,21.4,24.3,1001.6,FALSE,29.1,181,1.9,20
11,0 days 00:53:37.470000,77,0 days 00:01:41.354000,12,,,0 days 00:00:27.344000,0 days 00:00:40.806000,0 days 00:00:33.204000,0 days 00:52:23.460000,0 days 00:53:04.266000,0 days 00:53:37.470000,215,186,205,292,FALSE,MEDIUM,15,FALSE,1,0 days 00:51:56.116000,Mercedes,BOT,1,TRUE,31:56.8,21.2,24.6,1001.6,FALSE,29.1,111,2,20
12,0 days 00:55:18.539000,77,0 days 00:01:41.069000,13,,,0 days 00:00:27.426000,0 days 00:00:40.641000,0 days 00:00:33.002000,0 days 00:54:04.896000,0 days 00:54:45.537000,0 days 00:55:18.539000,207,185,205,294,FALSE,MEDIUM,16,FALSE,1,0 days 00:53:37.470000,Mercedes,BOT,1,TRUE,33:38.2,21.4,25.5,1001.5,FALSE,29.3,359,2.5,20
13,0 days 00:56:59.593000,77,0 days 00:01:41.054000,14,,0 days 00:56:58.610000,0 days 00:00:27.283000,0 days 00:00:40.545000,0 days 00:00:33.226000,0 days 00:55:45.822000,0 days 00:56:26.367000,0 days 00:56:59.593000,211,188,,299,FALSE,MEDIUM,17,FALSE,1,0 days 00:55:18.539000,Mercedes,BOT,1,FALSE,35:19.3,21.6,25.1,1001.5,FALSE,29.4,149,1.9,20
14,0 days 00:58:58.831000,77,0 days 00:01:59.238000,15,0 days 00:57:22.800000,,0 days 00:00:47.628000,0 days 00:00:39.067000,0 days 00:00:32.543000,0 days 00:57:47.221000,0 days 00:58:26.288000,0 days 00:58:58.831000,226,190,211,299,FALSE,HARD,1,TRUE,2,0 days 00:56:59.593000,Mercedes,BOT,1,FALSE,37:00.3,21.7,25.2,1001.5,FALSE,29.4,188,2.3,20
15,0 days 01:00:38.032000,77,0 days 00:01:39.201000,16,,,0 days 00:00:26.856000,0 days 00:00:39.689000,0 days 00:00:32.656000,0 days 00:59:25.687000,0 days 01:00:05.376000,0 days 01:00:38.032000,212,185,207,290,FALSE,HARD,2,TRUE,2,0 days 00:58:58.831000,Mercedes,BOT,1,TRUE,38:59.5,21.8,26.1,1001.5,FALSE,29.4,337,2.8,20
16,0 days 01:02:16.975000,77,0 days 00:01:38.943000,17,,,0 days 00:00:26.848000,0 days 00:00:39.788000,0 days 00:00:32.307000,0 days 01:01:04.880000,0 days 01:01:44.668000,0 days 01:02:16.975000,215,186,207,291,FALSE,HARD,3,TRUE,2,0 days 01:00:38.032000,Mercedes,BOT,1,TRUE,40:38.7,21.6,27.7,1001.5,FALSE,29.2,151,3.2,20
17,0 days 01:03:55.944000,77,0 days 00:01:38.969000,18,,,0 days 00:00:26.758000,0 days 00:00:39.910000,0 days 00:00:32.301000,0 days 01:02:43.733000,0 days 01:03:23.643000,0 days 01:03:55.944000,219,188,208,294,FALSE,HARD,4,TRUE,2,0 days 01:02:16.975000,Mercedes,BOT,1,TRUE,42:17.7,21.5,28,1001.4,FALSE,29.1,199,1.2,20
18,0 days 01:05:34.860000,77,0 days 00:01:38.916000,19,,,0 days 00:00:26.729000,0 days 00:00:39.732000,0 days 00:00:32.455000,0 days 01:04:22.673000,0 days 01:05:02.405000,0 days 01:05:34.860000,220,188,208,295,FALSE,HARD,5,TRUE,2,0 days 01:03:55.944000,Mercedes,BOT,1,TRUE,43:56.7,21.7,28.4,1001.2,FALSE,29.3,157,2.3,20
19,0 days 01:07:14.995000,77,0 days 00:01:40.135000,20,,,0 days 00:00:26.943000,0 days 00:00:40.400000,0 days 00:00:32.792000,0 days 01:06:01.803000,0 days 01:06:42.203000,0 days 01:07:14.995000,214,189,207,297,FALSE,HARD,6,TRUE,2,0 days 01:05:34.860000,Mercedes,BOT,1,TRUE,45:35.6,21.8,28,1001.3,FALSE,29.5,74,1.8,20
20,0 days 01:08:54.922000,77,0 days 00:01:39.927000,21,,,0 days 00:00:26.753000,0 days 00:00:40.313000,0 days 00:00:32.861000,0 days 01:07:41.748000,0 days 01:08:22.061000,0 days 01:08:54.922000,222,187,204,295,FALSE,HARD,7,TRUE,2,0 days 01:07:14.995000,Mercedes,BOT,1,TRUE,47:15.7,21.9,28.1,1001.4,FALSE,29.5,0,1,20
21,0 days 01:10:35.206000,77,0 days 00:01:40.284000,22,,,0 days 00:00:26.983000,0 days 00:00:40.417000,0 days 00:00:32.884000,0 days 01:09:21.905000,0 days 01:10:02.322000,0 days 01:10:35.206000,217,187,206,293,FALSE,HARD,8,TRUE,2,0 days 01:08:54.922000,Mercedes,BOT,1,TRUE,48:55.6,21.9,29.3,1001.3,FALSE,29.2,153,2.5,20
22,0 days 01:12:15.607000,77,0 days 00:01:40.401000,23,,,0 days 00:00:26.858000,0 days 00:00:40.297000,0 days 00:00:33.246000,0 days 01:11:02.064000,0 days 01:11:42.361000,0 days 01:12:15.607000,216,186,208,293,FALSE,HARD,9,TRUE,2,0 days 01:10:35.206000,Mercedes,BOT,1,TRUE,50:35.9,21.8,29.7,1001.2,FALSE,29.3,238,2.3,20
23,0 days 01:13:56.061000,77,0 days 00:01:40.454000,24,,,0 days 00:00:27.355000,0 days 00:00:40.203000,0 days 00:00:32.896000,0 days 01:12:42.962000,0 days 01:13:23.165000,0 days 01:13:56.061000,209,188,206,316,FALSE,HARD,10,TRUE,2,0 days 01:12:15.607000,Mercedes,BOT,1,TRUE,52:16.3,21.8,30.3,1001.3,FALSE,29.3,264,3.7,20
