,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
7,0 days 00:07:57.159000,24.2,36.3,997.0,False,38.9,307,4.1
8,0 days 00:08:58.221000,24.2,36.3,996.9,False,38.2,296,3.8
10,0 days 00:10:57.202000,23.9,36.5,997.1,False,36.7,289,4.3
11,0 days 00:11:57.661000,23.9,36.3,997.1,False,36.8,255,2.9
13,0 days 00:13:57.637000,23.5,36.3,997.2,False,36.4,267,2.5
14,0 days 00:14:57.832000,23.4,36.5,997.2,False,36.3,283,2.1
16,0 days 00:16:57.351000,23.5,36.7,997.1,False,36.4,301,3.4
17,0 days 00:17:57.370000,23.8,35.6,997.0,False,37.5,297,2.9
19,0 days 00:19:57.349000,23.9,35.9,997.0,False,38.0,294,2.0
20,0 days 00:20:57.606000,24.1,35.1,997.1,False,38.0,283,4.0
22,0 days 00:22:57.588000,23.9,35.3,997.0,False,37.9,297,2.4
23,0 days 00:23:57.524000,24.0,35.0,997.0,False,37.1,267,0.9
25,0 days 00:25:57.411000,23.9,35.6,997.0,False,36.3,283,1.5
26,0 days 00:26:57.439000,23.9,35.6,997.0,False,36.2,354,1.2
28,0 days 00:28:57.450000,23.7,35.6,997.1,False,37.2,270,2.0
29,0 days 00:29:57.489000,23.9,35.2,997.0,False,37.7,211,2.3
31,0 days 00:31:57.489000,24.3,34.4,997.0,False,38.4,294,2.4
32,0 days 00:32:57.572000,24.4,33.8,997.0,False,38.4,275,3.4
33,0 days 00:33:57.516000,24.2,34.0,996.9,False,38.6,289,3.5
35,0 days 00:35:57.925000,24.0,35.0,996.8,False,38.6,291,2.9
37,0 days 00:37:57.570000,24.1,34.5,996.8,False,38.3,292,3.2
38,0 days 00:38:58.795000,24.1,34.5,996.8,False,38.3,292,3.2
40,0 days 00:40:58.303000,24.2,34.4,996.9,False,38.0,282,3.8
41,0 days 00:41:58.081000,23.9,34.9,996.7,False,37.8,279,2.5
43,0 days 00:43:58.309000,23.7,34.6,996.8,False,36.7,278,2.5
44,0 days 00:44:57.659000,23.7,33.4,996.9,False,36.6,290,3.7
46,0 days 00:46:57.915000,24.1,30.9,996.8,False,37.8,298,2.9
48,0 days 00:48:57.915000,24.5,28.1,996.8,False,38.4,320,3.7
50,0 days 00:50:57.738000,24.7,27.0,996.9,False,38.5,300,4.3
52,0 days 00:52:58.114000,24.8,25.9,996.8,False,38.3,286,4.9
55,0 days 00:55:57.800000,24.2,26.0,996.8,False,37.6,312,5.3
57,0 days 00:57:57.898000,24.2,26.4,996.9,False,37.3,300,4.9
58,0 days 00:58:58.675000,24.3,26.8,996.9,False,37.3,297,2.9
60,0 days 01:00:58.138000,24.4,27.8,996.9,False,37.4,318,3.6
