,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
18,0 days 00:18:50.817000,17.3,38.7,967.1,False,29.7,161,2.3
21,0 days 00:21:50.858000,17.3,38.1,967.1,False,29.7,140,3.3
24,0 days 00:24:50.901000,17.7,38.1,967.0,False,30.3,174,1.7
27,0 days 00:27:50.938000,18.3,36.2,967.1,False,29.9,171,3.0
30,0 days 00:30:50.982000,17.7,35.5,967.0,False,29.3,175,2.9
31,0 days 00:31:50.993000,17.6,35.3,967.0,False,29.1,156,2.6
33,0 days 00:33:51.062000,17.3,34.5,967.0,False,28.9,155,2.8
35,0 days 00:35:51.048000,17.4,35.0,967.1,False,28.8,156,2.8
37,0 days 00:37:51.076000,17.2,35.4,966.8,False,28.4,156,0.9
39,0 days 00:39:51.103000,17.0,37.6,966.9,False,28.3,177,2.3
41,0 days 00:41:51.130000,17.5,35.5,967.0,False,28.3,158,2.6
42,0 days 00:42:51.145000,17.3,36.1,966.9,False,27.9,166,2.6
44,0 days 00:44:51.177000,17.1,36.5,967.0,False,27.6,36,1.8
46,0 days 00:46:51.198000,17.0,37.1,966.9,False,27.5,143,1.2
48,0 days 00:48:51.226000,17.5,37.5,966.9,False,27.5,183,2.0
50,0 days 00:50:51.254000,17.6,36.6,966.9,False,27.5,180,1.4
51,0 days 00:51:51.269000,17.5,36.6,966.9,False,27.3,48,1.3
53,0 days 00:53:51.295000,17.4,37.4,966.9,False,27.2,192,2.5
55,0 days 00:55:51.322000,17.0,38.2,966.9,False,27.0,182,0.7
57,0 days 00:57:51.350000,17.3,38.7,966.9,False,27.1,185,2.0
59,0 days 00:59:51.376000,17.3,37.2,966.9,False,27.1,155,2.6
61,0 days 01:01:51.403000,17.0,36.5,966.9,False,27.1,146,1.1
63,0 days 01:03:51.433000,17.0,36.4,966.9,False,27.1,200,1.9
64,0 days 01:04:51.446000,17.1,37.3,966.8,False,27.2,154,1.1
66,0 days 01:06:51.527000,17.3,37.1,966.9,False,27.1,195,2.1
68,0 days 01:08:51.501000,17.1,37.7,966.7,False,26.9,172,2.5
70,0 days 01:10:51.527000,17.3,37.1,966.9,False,26.8,121,1.3
71,0 days 01:11:51.540000,17.3,37.4,966.8,False,26.9,133,1.8
