,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
34,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
35,0 days 00:35:19.593000,24.5,71.5,924.1,False,40.0,0,1.9
36,0 days 00:36:19.608000,24.6,71.4,924.2,False,40.0,148,2.9
37,0 days 00:37:19.780000,24.4,72.2,924.2,False,40.1,153,3.5
39,0 days 00:39:19.650000,23.9,74.3,924.2,False,39.2,144,3.0
40,0 days 00:40:19.666000,24.2,73.1,924.2,False,40.9,162,2.2
41,0 days 00:41:19.823000,24.5,72.2,924.1,False,41.1,170,1.6
42,0 days 00:42:19.731000,24.4,72.1,924.1,False,40.3,150,1.9
44,0 days 00:44:19.728000,24.4,72.4,924.1,False,40.2,151,1.5
45,0 days 00:45:19.736000,24.5,72.1,924.1,False,40.3,172,2.0
46,0 days 00:46:19.754000,24.5,72.0,924.2,False,39.9,190,1.3
47,0 days 00:47:19.767000,24.4,73.0,924.0,False,39.8,123,2.6
48,0 days 00:48:19.812000,24.5,72.8,924.0,False,39.4,183,1.6
50,0 days 00:50:19.808000,24.9,70.9,924.0,False,39.7,172,0.7
51,0 days 00:51:19.926000,24.7,71.5,924.0,False,41.0,190,1.8
52,0 days 00:52:19.840000,24.9,70.6,924.0,False,41.3,188,2.1
53,0 days 00:53:19.853000,24.9,70.3,924.0,False,41.1,173,1.7
55,0 days 00:55:19.883000,24.7,71.6,923.9,False,40.4,182,1.1
56,0 days 00:56:19.993000,25.1,69.5,923.8,False,42.1,198,0.8
57,0 days 00:57:19.915000,25.1,69.9,923.9,False,42.8,193,1.8
59,0 days 00:59:19.942000,24.9,70.8,923.8,False,43.1,113,2.3
60,0 days 01:00:19.969000,24.7,71.4,923.9,False,43.4,189,1.9
61,0 days 01:01:20.001000,24.9,72.1,923.8,False,43.4,192,1.7
62,0 days 01:02:20.103000,24.9,71.7,923.8,False,44.2,180,2.3
64,0 days 01:04:20.260000,24.5,72.5,923.8,False,44.1,165,3.2
65,0 days 01:05:20.031000,24.2,73.7,923.9,False,44.0,138,2.8
66,0 days 01:06:20.178000,24.1,74.4,923.9,False,44.0,181,2.7
67,0 days 01:07:20.396000,24.3,73.4,924.0,False,44.0,162,2.2
69,0 days 01:09:20.262000,23.9,74.9,923.9,False,42.3,126,3.4
70,0 days 01:10:20.299000,23.8,76.0,924.0,False,41.9,179,2.0
71,0 days 01:11:20.504000,23.9,75.0,924.0,False,41.6,165,1.5
72,0 days 01:12:20.236000,24.0,74.3,923.9,False,42.0,134,2.0
73,0 days 01:13:20.143000,23.6,76.2,924.0,False,41.5,165,3.0
75,0 days 01:15:20.199000,23.2,78.0,924.0,False,40.9,145,3.3
76,0 days 01:16:20.189000,23.0,78.1,923.9,False,40.5,131,3.7
77,0 days 01:17:20.205000,22.8,79.6,923.8,False,40.1,149,3.7
78,0 days 01:18:20.214000,22.6,79.9,923.8,False,39.3,124,4.1
80,0 days 01:20:20.245000,22.7,79.6,924.0,False,39.0,166,3.0
81,0 days 01:21:20.259000,22.4,80.6,923.9,False,38.9,121,3.9
82,0 days 01:22:20.272000,22.3,81.4,923.8,False,38.9,122,2.6
83,0 days 01:23:20.382000,22.3,81.8,923.7,False,39.1,151,2.7
84,0 days 01:24:20.383000,22.5,80.6,923.8,False,39.7,189,2.9
86,0 days 01:26:20.333000,23.0,78.9,923.7,False,41.5,115,1.1
87,0 days 01:27:20.345000,23.1,78.4,923.7,False,42.2,163,2.5
88,0 days 01:28:20.368000,23.0,78.5,923.8,False,42.2,141,2.3
89,0 days 01:29:20.374000,23.0,79.4,923.8,False,41.5,194,2.1
91,0 days 01:31:20.476000,22.9,79.1,923.7,False,40.9,164,2.2
92,0 days 01:32:20.419000,22.9,79.2,923.7,False,40.1,190,1.6
93,0 days 01:33:20.433000,23.0,78.4,923.6,False,40.1,140,1.8
94,0 days 01:34:20.447000,22.7,79.5,923.6,False,39.2,132,2.6
95,0 days 01:35:20.461000,22.7,80.3,923.7,False,38.8,173,2.2
97,0 days 01:37:20.526000,23.0,78.4,923.8,False,39.4,179,1.7
98,0 days 01:38:20.632000,23.0,78.5,923.7,False,38.5,179,2.0
99,0 days 01:39:20.520000,23.0,78.6,923.7,False,38.2,123,1.9
100,0 days 01:40:20.616000,23.1,78.0,923.7,False,38.2,164,1.4
101,0 days 01:41:20.548000,23.1,78.3,923.8,False,38.2,149,1.9
103,0 days 01:43:20.577000,23.1,78.2,923.7,False,38.0,148,1.5
104,0 days 01:44:20.590000,22.8,78.9,923.7,False,37.5,129,1.8
105,0 days 01:45:20.606000,22.3,81.9,923.8,False,36.7,123,2.8
106,0 days 01:46:20.622000,22.0,82.6,923.8,False,36.5,136,1.8
107,0 days 01:47:20.640000,22.1,83.2,923.8,False,36.6,154,1.9
109,0 days 01:49:20.664000,22.2,82.1,923.8,False,37.3,178,1.4
110,0 days 01:50:20.678000,22.2,81.8,923.7,False,36.8,139,1.7
111,0 days 01:51:20.692000,22.4,80.8,923.8,False,37.0,145,1.0
112,0 days 01:52:20.752000,22.3,81.4,923.8,False,37.0,148,1.7
113,0 days 01:53:20.721000,22.1,81.9,923.8,False,36.6,147,1.9
115,0 days 01:55:20.751000,21.9,82.9,923.8,False,36.2,150,2.5
116,0 days 01:56:20.764000,21.8,83.5,923.6,False,36.1,115,2.5
117,0 days 01:57:20.782000,21.6,84.1,923.7,False,35.9,188,3.5
118,0 days 01:58:20.794000,21.5,84.2,923.8,False,35.7,137,2.2
119,0 days 01:59:20.927000,21.3,85.5,923.8,False,35.6,136,3.1
34,0 days 00:34:19.578000,24.7,70.6,924.2,False,41.2,202,2.4
35,0 days 00:35:19.593000,24.5,71.5,924.1,False,40.0,0,1.9
36,0 days 00:36:19.608000,24.6,71.4,924.2,False,40.0,148,2.9
38,0 days 00:38:19.635000,24.0,73.7,924.2,False,39.1,133,3.3
