,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
7,0 days 00:07:50.255000,24.3,50.4,966.4,False,42.6,108,1.8
9,0 days 00:09:50.281000,24.2,51.3,966.4,False,41.4,97,2.1
12,0 days 00:12:50.321000,24.5,49.9,966.6,False,42.1,110,2.1
14,0 days 00:14:50.347000,24.2,49.8,966.4,False,42.4,140,1.7
17,0 days 00:17:50.386000,24.7,48.6,966.4,False,44.2,111,2.4
19,0 days 00:19:50.413000,24.6,48.5,966.4,False,44.6,118,3.1
21,0 days 00:21:50.444000,24.6,48.5,966.2,False,44.6,124,1.9
23,0 days 00:23:50.476000,24.9,48.0,966.3,False,45.2,140,2.5
24,0 days 00:24:50.490000,24.9,47.5,966.3,False,45.0,115,3.6
26,0 days 00:26:50.520000,25.1,45.4,966.3,False,45.0,121,3.3
27,0 days 00:27:50.534000,25.3,44.6,966.3,False,44.6,128,3.6
29,0 days 00:29:50.564000,24.9,47.8,966.3,False,44.8,106,2.0
31,0 days 00:31:50.594000,25.1,48.1,966.2,False,44.7,114,2.2
32,0 days 00:32:50.610000,25.1,48.5,966.2,False,44.5,114,3.7
34,0 days 00:34:50.639000,24.9,48.9,966.2,False,44.3,117,3.7
35,0 days 00:35:50.653000,24.9,48.9,966.2,False,44.3,117,3.7
37,0 days 00:37:50.685000,24.9,48.7,966.1,False,44.7,126,2.1
39,0 days 00:39:50.716000,25.0,48.6,966.2,False,42.5,120,2.5
40,0 days 00:40:50.730000,24.6,49.5,966.1,False,42.5,148,1.8
42,0 days 00:42:50.760000,24.7,49.6,966.2,False,44.5,14,1.9
44,0 days 00:44:50.790000,25.0,48.7,966.0,False,44.7,26,1.4
45,0 days 00:45:50.804000,25.2,48.0,966.1,False,44.7,348,1.5
47,0 days 00:47:50.835000,25.5,47.4,966.2,False,44.3,123,1.4
48,0 days 00:48:50.850000,25.6,45.8,966.2,False,44.6,76,2.1
50,0 days 00:50:50.881000,24.9,47.8,966.1,False,44.1,140,1.1
52,0 days 00:52:50.909000,25.3,46.1,966.0,False,43.7,83,2.3
53,0 days 00:53:50.923000,24.9,47.3,965.9,False,43.0,126,2.6
