,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
7,0 days 00:07:19.478000,23.2,36.7,936.2,False,47.9,71,3.1
8,0 days 00:08:19.491000,22.7,38.1,936.3,False,47.4,58,2.8
9,0 days 00:09:19.504000,22.7,37.4,936.2,False,47.4,44,2.6
10,0 days 00:10:19.519000,22.7,37.4,936.2,False,47.4,44,2.6
12,0 days 00:12:19.547000,22.9,36.9,936.1,False,46.9,68,2.5
13,0 days 00:13:19.561000,23.2,36.6,936.2,False,46.9,71,3.0
14,0 days 00:14:19.574000,23.2,36.9,936.1,False,47.1,61,3.3
15,0 days 00:15:19.589000,23.5,37.1,936.1,False,47.1,74,3.1
16,0 days 00:16:19.603000,23.6,37.7,936.3,False,47.2,57,2.5
17,0 days 00:17:19.617000,23.8,36.2,936.2,False,47.2,70,2.4
19,0 days 00:19:19.646000,23.5,36.7,936.2,False,47.0,73,2.1
20,0 days 00:20:19.660000,23.1,37.4,936.2,False,46.9,39,2.7
21,0 days 00:21:19.673000,22.8,37.0,936.2,False,46.9,72,2.8
7,0 days 00:07:19.478000,23.2,36.7,936.2,False,47.9,71,3.1
8,0 days 00:08:19.491000,22.7,38.1,936.3,False,47.4,58,2.8
9,0 days 00:09:19.504000,22.7,37.4,936.2,False,47.4,44,2.6
11,0 days 00:11:19.534000,22.8,37.6,936.2,False,47.3,57,2.7
12,0 days 00:12:19.547000,22.9,36.9,936.1,False,46.9,68,2.5
13,0 days 00:13:19.561000,23.2,36.6,936.2,False,46.9,71,3.0
14,0 days 00:14:19.574000,23.2,36.9,936.1,False,47.1,61,3.3
15,0 days 00:15:19.589000,23.5,37.1,936.1,False,47.1,74,3.1
17,0 days 00:17:19.617000,23.8,36.2,936.2,False,47.2,70,2.4
18,0 days 00:18:19.631000,23.6,36.3,936.2,False,47.2,41,3.4
19,0 days 00:19:19.646000,23.5,36.7,936.2,False,47.0,73,2.1
20,0 days 00:20:19.660000,23.1,37.4,936.2,False,46.9,39,2.7
