,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
18,0 days 00:18:56.680000,21.8,66.2,995.4,True,29.5,225,1.0
20,0 days 00:20:56.706000,21.7,67.0,995.4,True,29.5,174,0.4
22,0 days 00:22:56.732000,21.8,66.2,995.4,False,30.3,187,0.8
24,0 days 00:24:56.761000,21.9,65.9,995.3,False,30.5,0,1.3
26,0 days 00:26:56.792000,22.2,64.3,995.3,False,30.9,251,0.8
27,0 days 00:27:56.805000,22.3,63.7,995.3,False,30.9,317,1.5
29,0 days 00:29:56.835000,22.3,64.1,995.3,False,30.2,197,0.7
30,0 days 00:30:56.842000,22.3,64.3,995.3,False,30.4,181,2.6
31,0 days 00:31:56.856000,22.4,64.0,995.2,False,30.4,201,2.0
33,0 days 00:33:56.885000,22.5,64.3,995.2,False,30.4,138,1.8
34,0 days 00:34:56.898000,22.5,64.1,995.2,False,30.4,0,1.0
36,0 days 00:36:56.927000,22.5,63.7,995.3,False,30.3,199,2.8
37,0 days 00:37:56.936000,22.2,64.9,995.2,False,30.2,183,3.7
38,0 days 00:38:56.951000,22.2,64.6,995.2,False,30.1,192,3.3
40,0 days 00:40:56.978000,22.1,64.8,995.2,False,30.1,191,3.1
41,0 days 00:41:56.991000,22.2,64.9,995.1,False,30.2,176,2.2
43,0 days 00:43:57.019000,22.4,63.9,995.2,False,30.4,18,2.1
44,0 days 00:44:57.033000,22.4,64.2,995.1,False,30.1,194,2.6
45,0 days 00:45:57.047000,22.4,64.2,995.2,False,30.2,186,1.5
47,0 days 00:47:57.074000,22.3,63.6,995.2,False,29.8,175,4.0
48,0 days 00:48:57.089000,22.1,63.3,995.2,False,29.5,195,2.7
50,0 days 00:50:57.115000,22.2,63.6,995.1,False,29.8,0,2.1
51,0 days 00:51:57.127000,22.2,63.6,995.1,False,29.8,196,0.9
53,0 days 00:53:57.155000,22.3,63.5,995.1,False,30.0,207,2.2
