Epoch,Loss
20,196.5171
40,194.8229
60,190.0933
80,187.6328
100,190.787
120,193.4475
140,185.0018
160,181.4832
180,181.7081
200,179.8624
220,179.3873
240,177.4143
260,176.421
280,187.0483
300,185.0712
320,176.3417
340,171.6704
360,172.5883
380,176.0434
400,167.963
420,167.0015
440,165.5471
460,164.8899
480,176.0278
500,164.6415
520,168.1738
540,160.7907
560,162.9585
580,157.2756
600,158.8082
620,156.7922
640,156.9885
660,156.9286
680,170.0897
700,152.4462
720,156.7594
740,150.0991
760,153.2494
780,172.9543
800,180.4909
820,146.5015
840,145.5132
860,155.1209
880,145.7048
900,144.7354
920,141.8026
940,145.7826
960,142.3165
980,136.9709
1000,133.238
1020,132.0787
1040,131.2549
1060,134.9685
1080,126.6844
1100,123.9826
1120,117.9065
1140,123.1064
1160,121.9372
1180,152.5472
1200,121.3079
1220,107.2812
1240,106.0257
1260,116.8592
1280,101.9067
1300,100.7926
1320,100.5992
1340,99.6473
1360,99.3456
1380,101.8958
1400,97.2321
1420,102.9116
1440,96.844
1460,94.9411
1480,99.5313
1500,114.0891
1520,117.1011
1540,96.2009
1560,93.5405
1580,115.6746
1600,97.2646
1620,93.0232
1640,92.3769
1660,131.1899
1680,93.8531
1700,92.9725
1720,94.0375
1740,92.1392
1760,91.3069
1780,91.9582
1800,90.6777
1820,90.1814
1840,93.9788
1860,91.9597
1880,93.095
1900,146.6987
1920,90.12
1940,102.869
1960,104.3009
1980,112.1358
2000,92.4244
2020,89.1086
2040,104.2046
2060,90.5008
2080,92.0148
2100,90.9249
2120,105.3443
2140,89.7546
2160,92.9234
2180,91.8728
2200,103.6957
2220,87.7631
2240,91.1834
2260,88.2861
2280,87.6088
2300,91.4448
2320,87.5518
2340,90.7362
2360,87.4582
2380,87.2135
2400,91.3553
2420,88.244
2440,88.4778
2460,86.9357
2480,89.8714
2500,86.2956
2520,87.2324
2540,90.7993
2560,96.7355
2580,87.6037
2600,85.1319
2620,85.976
2640,99.285
2660,86.168
2680,85.8301
2700,92.0497
2720,85.827
2740,86.9914
2760,86.472
2780,85.1437
2800,89.3116
2820,85.6432
2840,84.0765
2860,85.0304
2880,87.0672
2900,84.2816
2920,84.1211
2940,85.7443
2960,83.6802
2980,86.7343
3000,84.244
3020,82.2741
3040,82.6885
3060,83.5189
3080,82.4514
3100,85.6812
3120,84.0893
3140,82.406
3160,83.2204
3180,89.3296
3200,89.2772
3220,83.9092
3240,83.3114
3260,82.847
3280,83.5884
3300,81.0583
3320,81.0535
3340,80.2778
3360,81.8396
3380,81.033
3400,82.9881
3420,83.5676
3440,79.7904
3460,82.9815
3480,79.0646
3500,78.7856
3520,80.3789
3540,78.0519
3560,79.4442
3580,78.9385
3600,78.8315
3620,79.2713
3640,79.2482
3660,78.9427
3680,80.7186
3700,77.636
3720,78.2867
3740,77.0591
3760,76.863
3780,76.9031
3800,75.6145
3820,77.6547
3840,75.6607
3860,77.881
3880,75.155
3900,75.7227
3920,75.3253
3940,76.6028
3960,76.964
3980,74.9469
4000,74.7806
4020,75.9989
4040,78.0321
4060,74.2135
4080,87.6086
4100,80.9821
4120,76.9307
4140,85.6721
4160,76.5126
4180,77.7328
4200,74.266
4220,81.1622
4240,74.5314
4260,76.7409
4280,72.6671
4300,73.6784
4320,73.7945
4340,72.9674
4360,78.7921
4380,75.2585
4400,74.1226
4420,75.2661
4440,74.3192
4460,72.976
4480,72.8427
4500,73.9269
4520,74.0464
4540,72.5529
4560,74.2992
4580,72.1622
4600,75.5472
4620,80.2124
4640,76.7294
4660,78.2066
4680,72.1002
4700,72.4449
4720,71.3001
4740,71.3763
4760,74.3824
4780,70.8683
4800,73.1537
4820,74.12
4840,70.7146
4860,72.9471
4880,75.0307
4900,72.7894
4920,70.1273
4940,70.7357
4960,70.0933
4980,74.3769
5000,71.0499
5020,69.6677
5040,74.4834
5060,71.0415
5080,68.6793
5100,79.77
5120,74.2308
5140,71.7753
5160,72.0056
5180,71.2248
5200,71.0424
5220,74.6305
5240,69.3773
5260,70.7279
5280,69.4433
5300,72.0342
5320,75.3478
5340,69.8433
5360,69.0991
5380,69.0258
5400,72.235
5420,73.7871
5440,71.2922
5460,71.5383
5480,68.3533
5500,68.0381
5520,76.3197
5540,69.4126
5560,75.5928
5580,67.7953
5600,69.3379
5620,69.2492
5640,73.6559
5660,69.2277
5680,67.871
5700,66.7039
5720,69.3206
5740,66.805
5760,66.6297
5780,71.2025
5800,71.6097
5820,68.7633
5840,67.4571
5860,71.6949
5880,67.1416
5900,68.9628
5920,75.718
5940,69.3555
5960,67.1268
5980,66.6009
6000,68.9096
6020,71.977
6040,71.5015
6060,70.7059
6080,65.7713
6100,67.4763
6120,65.3297
6140,72.8397
6160,65.0293
6180,65.5618
6200,71.9809
6220,69.7601
6240,65.0171
6260,74.7168
6280,65.8073
6300,67.2036
6320,66.9322
6340,66.5298
6360,66.0948
6380,67.9258
6400,69.3084
6420,65.4339
6440,68.4065
6460,80.3448
6480,64.4878
6500,67.146
6520,64.6289
6540,73.5149
6560,67.1637
6580,65.5558
6600,63.8607
6620,66.8985
6640,65.8826
6660,66.7517
6680,67.0459
6700,63.3989
6720,64.0222
6740,64.8482
6760,69.5956
6780,69.7291
6800,64.3726
6820,63.0011
6840,64.0136
6860,67.7837
6880,64.1719
6900,66.4834
6920,64.6054
6940,64.3648
6960,64.4718
6980,63.609
7000,63.8986
